"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718920450615446E9,"2024-06-20 23:54:10.615 UTC+02:00"
"PAUSE",3.006386855833116E2,1.718920751286899E9,"2024-06-20 23:59:11.287 UTC+02:00"
