"event","experiment time","system time","system time text"
"START",0.000000000E0,1718966551.093,"2024-06-21 12:42:31.093 UTC+02:00"
"PAUSE",3.000407201E2,1718966851.133,"2024-06-21 12:47:31.133 UTC+02:00"
