X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0.163,0.659,0.427,0.256,0.106,0.133,0.119,0.204,0.304,jab
2.568,9.398,7.955,1.385,2.644,0.93,4.492,6.989,5.778,jab
0.199,0.367,0.131,0.231,0.252,0.15,0.721,0.576,1.281,jab
3.714,9.132,7.237,2.134,2.372,0.897,0.238,0.241,0.27,jab
0.244,0.69,0.271,0.13,0.168,0.16,4.524,7.174,6.708,jab
0.488,2.356,2.264,0.832,0.518,0.368,0.505,0.549,0.811,jab
3.183,6.764,4.926,1.153,1.548,0.707,0.108,0.103,0.177,jab
0.091,0.149,0.13,0.05,0.065,0.071,4.722,8.469,6.706,jab
1.481,6.46,3.726,0.966,1.284,0.753,0.762,0.388,0.899,jab
1.896,2.484,1.645,0.9,0.91,0.579,0.311,0.139,0.365,jab
0.047,0.15,0.089,0.066,0.042,0.046,4.7,7.501,7.031,jab
4.035,8.453,6.329,1.36,1.402,0.696,0.51,0.396,1.046,jab
0.66,0.968,0.578,0.482,0.332,0.519,0.27,0.114,0.337,jab
0.107,0.095,0.11,0.09,0.107,0.052,4.181,6.01,7.775,jab
4.39,7.701,7.541,2.031,2.396,1.041,0.458,0.545,1.335,jab
0.399,0.871,0.446,0.313,0.255,0.36,0.14,0.074,0.133,jab
0.1,0.115,0.106,0.092,0.075,0.072,4.326,6.831,8.868,jab
4.545,7.804,6.92,1.983,1.984,1.203,0.71,0.258,1.241,jab
0.398,1.116,0.709,0.47,0.477,0.409,0.139,0.072,0.063,jab
0.047,0.106,0.089,0.053,0.071,0.039,0.694,0.994,2.317,jab
4.565,7.403,6.606,1.445,1.574,1.155,3.223,4.673,7.693,jab
0.444,1.052,0.609,0.247,0.467,0.487,0.174,0.115,0.319,jab
0.225,0.418,0.201,0.314,0.166,0.253,0.246,0.12,0.287,jab
5.635,8.618,5.734,1.868,1.856,1.382,4.065,6.452,9.618,jab
0.266,0.52,0.136,0.214,0.117,0.251,0.586,0.294,1.154,jab
0.316,0.62,0.278,0.197,0.126,0.176,0.248,0.118,0.228,jab
7.619,10.136,6.964,2.049,1.903,1.481,4.038,5.957,9.537,jab
0.118,0.375,0.225,0.066,0.292,0.22,0.802,0.322,1.58,jab
