X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
2.643,1.376,2.61,2.34,7.012,3.569,1.161,1.149,1.159,cross
0.373,0.157,0.094,0.129,0.162,0.128,0.096,0.031,0.094,cross
0.054,0.071,0.082,0.831,2.053,1.239,0.368,0.298,0.649,cross
2.155,1.263,2.113,3.127,5.103,4.735,2.14,1.144,1.473,cross
1.118,0.53,0.473,0.37,0.888,0.354,0.205,0.148,0.484,cross
0.084,0.116,0.13,0.885,2.314,1.31,0.345,0.319,0.699,cross
1.835,0.775,1.749,3.172,8.221,5.989,1.415,1.505,1.476,cross
1.494,0.735,1.118,0.145,0.338,0.124,0.116,0.048,0.14,cross
0.054,0.095,0.073,0.233,0.42,0.202,0.204,0.041,0.265,cross
0.746,0.116,0.598,4.468,8.512,5.353,1.72,1.595,1.989,cross
2.304,1.502,1.795,0.335,1.127,0.29,0.172,0.214,0.461,cross
0.092,0.113,0.054,0.154,0.328,0.113,0.17,0.036,0.277,cross
0.082,0.076,0.076,3.991,8.056,4.528,1.745,1.43,1.625,cross
1.812,0.765,1.936,0.285,1.195,0.439,0.508,0.234,0.704,cross
1.421,0.681,0.813,0.075,0.213,0.13,0.148,0.043,0.189,cross
0.051,0.07,0.055,3.448,7.547,5.154,1.444,1.502,1.346,cross
0.39,0.213,0.111,0.48,1.317,0.99,0.61,0.539,0.797,cross
2.626,1.377,2.381,0.09,0.211,0.097,0.079,0.056,0.247,cross
0.203,0.241,0.154,2.564,7.417,4.167,1.217,1.097,0.949,cross
0.037,0.058,0.07,1.665,2.089,1.506,0.98,0.534,1.235,cross
0.809,0.249,0.529,0.137,0.197,0.138,0.078,0.048,0.188,cross
2.135,1.518,2.247,2.009,4.731,3.568,1.106,0.97,0.869,cross
0.134,0.087,0.063,1.97,4.061,2.962,1.09,1.148,1.394,cross
0.024,0.05,0.027,0.161,0.374,0.147,0.077,0.058,0.179,cross
2.565,1.219,2.134,3.052,2.504,2.403,0.977,0.236,1.097,cross
0.555,0.211,0.059,3.118,7.27,4.243,0.951,1.964,1.478,cross
0.034,0.052,0.053,0.113,0.208,0.088,0.098,0.054,0.162,cross
0.032,0.11,0.042,2.142,2.5,2.388,0.887,0.51,0.976,cross
2.828,0.899,1.811,2.183,6.026,4.216,1.337,1.379,1.27,cross
0.801,0.44,0.132,0.227,0.352,0.118,0.1,0.042,0.174,cross
0.032,0.043,0.052,0.202,0.528,0.113,0.171,0.052,0.194,cross
0.036,0.067,0.062,3.054,8.339,6.772,1.93,1.836,1.589,cross
2.955,1.355,2.226,0.3,0.747,0.198,0.192,0.134,0.443,cross
0.635,0.474,0.231,0.179,0.437,0.13,0.156,0.07,0.113,cross
0.051,0.085,0.044,5.682,9.237,5.739,1.827,1.539,1.906,cross
1.629,0.876,1.805,0.518,1.007,0.261,0.314,0.141,0.517,cross
1.632,0.925,1.289,0.283,0.772,0.249,0.183,0.071,0.167,cross
0.082,0.092,0.074,3.571,8.431,6.291,2.307,1.401,1.711,cross
0.389,0.137,0.138,0.188,0.838,0.221,0.148,0.169,0.358,cross
2.578,1.798,2.476,0.095,0.444,0.146,0.192,0.058,0.111,cross
0.461,0.374,0.103,2.911,8.219,5.889,1.843,1.54,1.625,cross
0.054,0.065,0.038,0.188,0.793,0.198,0.145,0.168,0.389,cross
1.792,1.064,1.8,0.109,0.116,0.058,0.059,0.032,0.075,cross
1.257,0.738,0.98,3.103,7.775,5.07,1.354,1.115,1.173,cross
0.048,0.075,0.058,0.818,1.389,0.975,0.686,0.31,0.943,cross
0.459,0.222,0.137,0.136,0.093,0.073,0.037,0.025,0.128,cross
2.738,1.703,2.443,1.616,2.662,2.437,0.858,0.452,0.74,cross
0.173,0.158,0.097,2.478,7.041,3.589,1.121,1.069,1.211,cross
0.025,0.057,0.021,0.141,0.331,0.105,0.07,0.045,0.151,cross
0.289,0.097,0.098,1.14,2.287,1.451,0.458,0.301,0.735,cross
3.44,1.724,2.539,3.024,7.301,5.407,2.109,1.195,1.293,cross
0.252,0.222,0.133,0.131,0.618,0.285,0.2,0.104,0.374,cross
0.068,0.049,0.053,0.202,2.183,1.332,0.244,0.336,0.399,cross
2.037,0.955,1.978,2.742,5.95,5.278,1.989,1.513,1.616,cross
1.329,0.529,0.613,0.279,0.702,0.192,0.163,0.075,0.418,cross
0.049,0.038,0.059,0.332,0.945,0.227,0.171,0.123,0.219,cross
0.077,0.08,0.098,3.287,7.613,6.464,2.07,1.617,1.584,cross
