X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
0.064,0.07,0.046,0.156,0.081,0.19,0.039,0.149,0.042,right_nopunch
0.09,0.257,0.07,6.594,4.534,4.622,1.047,2.59,1.549,right_nopunch
1.185,5.078,2.826,0.882,0.836,0.92,0.409,2.118,0.967,right_nopunch
0.092,0.07,0.08,0.082,0.065,0.148,0.023,0.081,0.025,right_nopunch
0.034,0.054,0.034,5.518,5.485,5.297,1.095,2.711,1.902,right_nopunch
0.867,5.614,2.477,0.526,0.406,0.748,0.148,1.761,0.654,right_nopunch
0.194,0.163,0.094,0.146,0.076,0.168,0.025,0.238,0.037,right_nopunch
0.026,0.063,0.015,6.912,5.711,4.819,1.249,4.411,2.447,right_nopunch
1.068,5.379,2.886,0.187,0.31,0.241,0.104,0.133,0.076,right_nopunch
0.097,0.336,0.128,0.215,0.096,0.377,0.049,0.582,0.193,right_nopunch
0.037,0.063,0.02,6.341,6.18,4.5,1.107,3.697,2.002,right_nopunch
1.233,5.508,2.755,3.634,2.902,2.376,1.253,2.517,1.559,right_nopunch
0.138,0.157,0.094,2.825,4.898,3.625,0.735,2.451,1.671,right_nopunch
0.016,0.027,0.016,0.179,0.098,0.151,0.062,0.146,0.037,right_nopunch
1.062,4.789,2.776,7.064,5.623,4.027,1.12,4.199,2.603,right_nopunch
0.246,0.531,0.3,0.309,0.205,0.334,0.05,0.191,0.142,right_nopunch
0.019,0.046,0.012,4.691,4.112,3.336,0.791,2.273,1.355,right_nopunch
0.788,3.656,2.33,1.813,1.931,1.2,0.335,2.124,1.508,right_nopunch
0.289,1.875,0.801,0.125,0.06,0.079,0.039,0.123,0.027,right_nopunch
0.051,0.055,0.027,5.475,5.721,4.62,1.05,2.89,1.774,right_nopunch
0.883,4.206,2.638,0.72,0.497,0.603,0.266,1.392,0.671,right_nopunch
0.172,1.348,0.671,0.255,0.109,0.301,0.072,0.329,0.107,right_nopunch
0.015,0.06,0.014,5.584,6.302,4.516,1.188,3.792,2.834,right_nopunch
0.909,5.099,2.574,0.163,0.236,0.239,0.073,0.056,0.047,right_nopunch
0.579,0.687,0.296,0.825,0.413,0.749,0.282,1.296,0.338,right_nopunch
0.049,0.111,0.039,5.891,5.243,3.693,1.084,3.148,2.244,right_nopunch
1.248,5.434,3.493,0.113,0.074,0.094,0.035,0.044,0.034,right_nopunch
0.06,0.064,0.036,0.156,0.072,0.275,0.03,0.256,0.05,right_nopunch
0.109,0.502,0.235,6.0,5.332,5.522,1.265,4.463,2.289,right_nopunch
1.221,4.869,2.908,0.073,0.105,0.159,0.04,0.092,0.023,right_nopunch
0.026,0.071,0.02,0.113,0.129,0.201,0.069,0.306,0.078,right_nopunch
0.071,0.228,0.058,5.302,5.827,4.868,1.169,4.227,2.412,right_nopunch
1.285,5.336,2.756,0.063,0.098,0.168,0.029,0.068,0.022,right_nopunch
0.042,0.072,0.024,0.06,0.052,0.058,0.018,0.041,0.018,right_nopunch
0.094,0.114,0.082,6.088,5.753,4.877,0.914,2.421,2.104,right_nopunch
1.144,4.672,3.417,0.755,0.445,0.856,0.292,1.969,0.815,right_nopunch
0.068,0.09,0.086,0.066,0.065,0.062,0.035,0.11,0.027,right_nopunch
0.12,0.169,0.045,0.171,0.099,0.321,0.066,0.28,0.082,right_nopunch
1.288,5.037,2.933,7.975,6.385,5.594,1.338,4.437,2.625,right_nopunch
0.075,0.24,0.082,0.18,0.085,0.291,0.117,0.093,0.104,right_nopunch
0.031,0.243,0.085,0.082,0.079,0.077,0.047,0.288,0.064,right_nopunch
1.38,5.231,3.207,6.822,5.151,3.833,0.966,3.107,1.911,right_nopunch
0.064,0.146,0.088,0.564,0.508,0.757,0.195,1.724,0.762,right_nopunch
0.104,0.659,0.22,0.192,0.193,0.216,0.072,0.121,0.061,right_nopunch
1.161,4.512,3.051,0.069,0.038,0.103,0.025,0.118,0.031,right_nopunch
0.042,0.078,0.032,6.411,6.002,4.683,1.027,3.001,2.093,right_nopunch
0.309,1.526,0.756,0.637,0.577,1.028,0.116,1.693,0.776,right_nopunch
1.029,4.184,2.379,0.089,0.061,0.056,0.025,0.087,0.024,right_nopunch
0.044,0.052,0.021,3.005,1.911,1.235,0.462,2.258,1.167,right_nopunch
0.897,3.837,2.109,4.422,4.482,3.347,0.588,2.458,1.273,right_nopunch
0.533,1.653,0.816,0.065,0.046,0.05,0.017,0.064,0.023,right_nopunch
0.015,0.026,0.016,2.384,0.824,1.083,0.263,1.94,0.951,right_nopunch
0.881,5.051,2.336,4.803,4.274,3.563,0.962,2.807,1.731,right_nopunch
0.546,0.73,0.368,0.077,0.067,0.115,0.052,0.051,0.039,right_nopunch
0.047,0.409,0.143,5.829,5.398,4.508,0.883,4.415,2.092,right_nopunch
