X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
0.93,0.485,1.248,0.269,0.233,0.256,leadhook
2.74,6.813,6.529,1.914,1.127,0.988,leadhook
0.764,1.193,1.381,1.289,0.228,0.543,leadhook
1.944,7.334,6.027,1.987,0.656,0.98,leadhook
1.947,1.32,2.79,1.947,0.679,0.655,leadhook
0.15,0.321,0.2,0.134,0.083,0.055,leadhook
4.319,7.317,8.644,2.444,1.494,1.046,leadhook
0.891,1.112,2.051,1.45,0.255,0.345,leadhook
0.123,0.182,0.09,0.246,0.047,0.149,leadhook
4.377,8.268,9.195,2.152,1.318,0.908,leadhook
0.608,0.909,1.584,1.447,0.298,0.319,leadhook
0.136,0.345,0.36,0.199,0.093,0.225,leadhook
3.366,7.596,9.135,3.025,1.219,1.048,leadhook
0.277,0.475,0.749,0.713,0.115,0.274,leadhook
0.108,0.095,0.185,0.065,0.054,0.134,leadhook
4.661,7.738,9.749,2.782,1.275,1.081,leadhook
0.57,0.432,1.105,0.793,0.141,0.268,leadhook
0.192,0.291,0.455,0.25,0.141,0.289,leadhook
4.984,8.31,7.995,2.892,1.652,1.01,leadhook
0.233,0.558,0.546,0.483,0.119,0.152,leadhook
0.589,1.968,2.208,1.174,0.402,0.384,leadhook
3.338,6.262,5.755,2.509,1.038,0.861,leadhook
0.136,0.46,0.439,0.328,0.121,0.149,leadhook
0.252,0.958,0.974,0.631,0.312,0.319,leadhook
3.539,6.516,6.396,2.52,1.325,0.978,leadhook
0.17,0.569,0.496,0.394,0.071,0.105,leadhook
0.07,0.286,0.202,0.147,0.089,0.127,leadhook
3.705,8.395,8.959,2.91,1.99,0.978,leadhook
0.307,0.716,0.735,0.523,0.107,0.036,leadhook
0.109,0.194,0.142,0.127,0.097,0.092,leadhook
4.216,8.795,8.722,2.552,1.752,1.24,leadhook
0.505,0.791,1.182,1.04,0.151,0.245,leadhook
0.095,0.224,0.114,0.104,0.045,0.054,leadhook
4.504,8.254,7.866,2.266,1.4,1.301,leadhook
0.588,0.885,1.808,1.612,0.262,0.199,leadhook
0.088,0.132,0.149,0.108,0.078,0.047,leadhook
3.075,8.043,7.975,2.253,1.52,1.079,leadhook
0.645,1.08,1.879,1.595,0.322,0.391,leadhook
0.159,0.19,0.097,0.071,0.037,0.048,leadhook
0.246,0.791,0.809,0.422,0.15,0.278,leadhook
4.457,7.786,9.394,3.297,1.541,1.172,leadhook
0.216,0.517,0.491,0.296,0.099,0.115,leadhook
0.095,0.157,0.111,0.05,0.086,0.074,leadhook
4.848,8.173,7.685,2.678,1.604,1.249,leadhook
0.406,0.797,1.094,1.097,0.13,0.256,leadhook
0.124,0.128,0.057,0.039,0.042,0.033,leadhook
3.829,7.036,6.921,1.974,1.094,1.073,leadhook
1.317,0.944,2.181,1.99,0.5,0.68,leadhook
0.194,0.236,0.23,0.077,0.082,0.019,leadhook
0.145,0.838,1.012,0.569,0.275,0.207,leadhook
4.84,6.684,7.596,2.95,1.428,1.187,leadhook
0.259,0.473,0.437,0.415,0.049,0.126,leadhook
0.085,0.145,0.066,0.063,0.067,0.06,leadhook
4.306,7.951,8.481,2.326,1.41,0.997,leadhook
0.333,0.848,1.429,1.371,0.148,0.196,leadhook
0.098,0.189,0.101,0.132,0.062,0.093,leadhook
4.247,7.351,7.85,2.169,1.366,1.31,leadhook
0.528,0.774,1.511,1.594,0.222,0.361,leadhook
0.141,0.218,0.089,0.071,0.07,0.045,leadhook
3.387,7.146,7.643,2.069,1.358,1.192,leadhook
1.442,1.026,2.112,1.786,0.5,0.483,leadhook
0.144,0.162,0.137,0.043,0.071,0.032,leadhook
0.486,1.568,2.026,1.142,0.495,0.339,leadhook
5.328,7.341,7.412,2.556,1.16,1.281,leadhook
0.129,0.364,0.281,0.216,0.047,0.054,leadhook
0.36,1.157,1.359,0.783,0.234,0.321,leadhook
4.432,6.652,7.444,2.731,1.223,1.359,leadhook
0.185,0.289,0.49,0.425,0.086,0.147,leadhook
0.341,0.945,1.289,0.773,0.317,0.342,leadhook
4.966,7.19,7.505,2.75,1.432,1.11,leadhook
0.204,0.331,0.516,0.551,0.099,0.161,leadhook
0.119,0.692,0.903,0.539,0.228,0.229,leadhook
5.101,6.676,7.246,2.963,1.305,1.089,leadhook
0.183,0.605,0.976,0.721,0.099,0.043,leadhook
0.101,0.136,0.107,0.145,0.087,0.066,leadhook
5.746,8.036,8.504,2.966,1.545,1.515,leadhook
0.457,0.795,1.272,1.149,0.158,0.235,leadhook
0.112,0.26,0.277,0.223,0.128,0.149,leadhook
4.736,7.312,7.908,3.063,1.672,1.4,leadhook
0.242,0.744,0.933,0.886,0.204,0.089,leadhook
0.126,0.108,0.13,0.111,0.126,0.088,leadhook
5.351,7.735,7.788,2.561,1.158,1.642,leadhook
0.302,0.689,1.477,1.478,0.172,0.343,leadhook
0.111,0.13,0.09,0.105,0.044,0.027,leadhook
1.185,1.523,3.512,1.569,0.452,0.593,leadhook
4.439,6.552,6.541,2.508,1.206,1.186,leadhook
0.119,0.335,0.284,0.251,0.075,0.076,leadhook
0.499,1.14,1.556,0.916,0.415,0.348,leadhook
5.76,7.276,8.035,2.928,1.332,1.707,leadhook
0.178,0.417,0.528,0.447,0.117,0.117,leadhook
0.224,0.53,0.762,0.503,0.179,0.235,leadhook
5.496,7.583,8.018,3.053,1.661,1.071,leadhook
0.212,0.532,0.51,0.441,0.093,0.179,leadhook
0.096,0.137,0.128,0.054,0.075,0.064,leadhook
4.664,6.875,7.879,2.758,1.295,1.573,leadhook
0.269,0.646,1.363,1.229,0.202,0.201,leadhook
0.089,0.077,0.055,0.049,0.035,0.028,leadhook
3.566,6.419,6.916,2.043,0.649,0.912,leadhook
2.322,1.26,3.11,1.939,0.88,0.637,leadhook
0.126,0.325,0.204,0.191,0.049,0.029,leadhook
0.117,0.634,0.759,0.465,0.163,0.17,leadhook
4.321,6.689,8.188,2.849,1.268,1.628,leadhook
0.126,0.468,0.743,0.746,0.118,0.109,leadhook
0.087,0.078,0.089,0.096,0.052,0.037,leadhook
4.248,7.252,8.017,2.149,0.95,1.193,leadhook
1.24,0.965,2.036,1.834,0.593,0.689,leadhook
0.114,0.243,0.122,0.117,0.042,0.08,leadhook
1.176,1.251,3.555,1.699,0.33,0.694,leadhook
3.667,5.505,6.288,2.351,1.182,1.178,leadhook
0.123,0.327,0.363,0.308,0.071,0.104,leadhook
0.083,0.129,0.205,0.109,0.109,0.077,leadhook
4.779,6.758,7.884,2.673,1.277,1.232,leadhook
0.317,0.631,1.357,1.346,0.12,0.279,leadhook
0.11,0.101,0.086,0.134,0.063,0.059,leadhook
4.11,6.626,7.817,2.129,1.114,1.079,leadhook
1.095,0.844,1.667,1.789,0.382,0.623,leadhook
0.072,0.147,0.104,0.05,0.033,0.047,leadhook
1.549,1.765,4.193,1.911,0.497,0.885,leadhook
3.538,5.895,5.609,1.724,1.062,0.794,leadhook
0.11,0.17,0.149,0.156,0.057,0.073,leadhook
0.141,0.349,0.458,0.285,0.103,0.188,leadhook
