"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.577043820E0,1.510922909E0,9.163465500E-1,-6.925015450E-1
1.596949341E0,1.664821029E0,7.791500092E-1,-8.544639945E-1
1.616843820E0,1.349625587E0,7.984113693E-1,-7.002293468E-1
1.636725955E0,9.546158314E-1,8.752326965E-1,-2.623118162E-1
1.656623716E0,9.317815304E-1,7.068176270E-1,4.074490070E-2
1.676514185E0,1.258377314E0,5.422515869E-1,1.260617971E-1
1.696404757E0,1.562505484E0,5.705537796E-1,3.757941723E-2
1.716309237E0,1.608692169E0,8.063001633E-1,2.481280565E-1
1.736215955E0,1.417244554E0,8.204078674E-1,5.402399302E-1
1.756071528E0,1.177069426E0,5.941905975E-1,6.336888075E-1
1.775951632E0,9.701492786E-1,5.051555634E-1,3.608499765E-1
1.795875851E0,8.019382954E-1,5.547189713E-1,-1.105079055E-1
1.815761997E0,6.782422066E-1,5.743370056E-1,-1.933223605E-1
1.835615018E0,7.386789322E-1,2.797403336E-1,4.084479809E-2
1.855548247E0,8.806409836E-1,-1.143474579E-1,2.329838276E-1
1.875437726E0,7.662889957E-1,-6.732559204E-2,1.859809756E-1
1.895320382E0,5.171360970E-1,3.521461487E-1,6.938421726E-2
1.915226997E0,2.778000832E-1,4.917058945E-1,8.450615406E-2
1.935084914E0,1.172535419E-1,2.635221481E-1,1.067043543E-1
1.955003039E0,1.108553410E-1,4.532966614E-1,8.626031876E-2
1.974871632E0,-2.185630798E-2,8.370294571E-1,4.015058279E-2
1.994781060E0,-5.424852371E-1,5.720024109E-1,-8.719170094E-2
2.014665487E0,-1.006005764E0,1.649398804E-1,-9.212344885E-2
2.034600382E0,-1.385719776E0,7.460594177E-2,-1.234559119E-1
2.054478924E0,-1.526420832E0,3.802967072E-2,-1.765446663E-1
2.074312882E0,-1.305526495E0,-4.783067703E-1,-2.187024057E-1
2.094213299E0,-8.096780777E-1,-1.099461555E0,-2.289408743E-1
2.114119653E0,-2.208504677E-1,-1.597344875E0,-2.808426321E-1
2.133986164E0,2.638809681E-1,-2.265742302E0,-5.016914010E-1
2.153875174E0,1.021733522E0,-2.837749481E0,-5.584606528E-1
2.173774185E0,1.962423682E0,-3.454404354E0,-3.028844595E-1
2.193681789E0,3.312988520E0,-4.331121922E0,9.633222222E-2
2.213572935E0,4.390968323E0,-5.225064278E0,6.890057325E-1
2.233445903E0,4.994730949E0,-6.225744247E0,1.155112863E0
2.253336997E0,4.869128704E0,-7.097856998E0,1.458419323E0
2.273241737E0,3.975300789E0,-7.144417286E0,2.212357521E0
2.293136372E0,3.127136230E0,-6.423789501E0,2.981648922E0
2.313031268E0,2.798369408E0,-5.168579578E0,3.089515209E0
2.332916476E0,2.253715992E0,-3.451742411E0,2.747602224E0
2.352789185E0,6.067075729E-1,-1.141807079E0,2.253195524E0
2.372721685E0,-2.069314003E0,1.666986465E0,1.103536487E0
2.392656528E0,-5.951606750E0,6.363593102E0,-2.149758339E0
2.412521997E0,-1.184711266E1,1.523154354E1,-6.713569164E0
2.432355174E0,-1.924120331E1,2.557311630E1,-1.082391357E1
2.452285122E0,-2.678785324E1,3.586260223E1,-1.516493988E1
2.472158195E0,-2.955676842E1,3.893606949E1,-2.228176498E1
2.492066580E0,-2.536550522E1,3.748006439E1,-3.086653709E1
2.511924393E0,-1.514548683E1,2.964503860E1,-4.261555481E1
2.531823872E0,-4.006685257E0,1.777572441E1,-5.573890686E1
2.551739289E0,5.491299152E0,5.398972034E0,-6.392617416E1
2.571605174E0,9.524017334E0,-6.633954048E0,-6.688193512E1
2.591567049E0,7.092667580E0,-2.239708710E1,-6.778324127E1
2.611397257E0,2.706564426E0,-4.439108658E1,-6.539292145E1
2.631282674E0,8.545410156E0,-6.280103683E1,-5.457418442E1
2.651171216E0,1.828108788E1,-5.405484772E1,-3.025068283E1
2.671070174E0,1.909870529E1,-5.134191513E1,-2.049669456E1
2.690958872E0,1.949591827E1,-5.194454193E1,-1.609955215E1
2.710832518E0,1.442665482E1,-4.137250519E1,-4.401009560E0
2.730741737E0,8.067792892E0,-3.191726112E1,2.283218145E0
2.750645018E0,2.670686245E0,-2.782562065E1,3.781962395E0
2.770581424E0,1.172395706E0,-2.555184174E1,6.685159683E0
2.790421997E0,-2.131021500E0,-1.494604778E1,1.140364361E1
2.810302935E0,-4.429024696E0,-9.331768036E0,7.589224815E0
2.830230903E0,-1.728690147E0,-4.815368652E0,2.466288567E0
2.850074757E0,-3.017247200E0,2.571777582E0,1.895518541E0
2.869989289E0,-6.096073151E0,6.296205997E0,1.023100376E0
2.889879914E0,-6.289777279E0,8.034749985E0,-3.671932220E-1
2.909767362E0,-4.859674931E0,8.068864822E0,-1.134471536E0
2.929647466E0,-4.131641865E0,6.675013065E0,-5.719387531E-1
2.949556268E0,-3.405415535E0,5.280380249E0,4.501724243E-1
2.969438351E0,-2.068225861E0,3.282013416E0,4.970345497E-1
2.989335018E0,-5.886783600E-1,1.320892811E0,-1.386748552E-1
3.009234393E0,1.220632076E0,3.469762802E-1,-2.964632511E-1
3.029123039E0,2.325088978E0,2.311515808E-1,8.628040552E-1
3.048996320E0,2.632851124E0,-1.135082245E-1,1.593486428E0
3.068867570E0,2.784997463E0,-4.162216187E-1,1.010990262E0
3.088799653E0,2.972397327E0,-1.987161636E-1,3.361004591E-1
3.108679705E0,2.684449196E0,-2.059726715E-1,4.058810472E-1
3.128568612E0,2.209522724E0,-8.355903625E-2,8.285876513E-1
3.148475487E0,1.923224092E0,1.640539169E-1,7.676928043E-1
3.168359080E0,1.775623679E0,1.002435684E-1,-1.026791334E-1
