"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.548642883E0,6.657156944E-1,9.706840515E-1,-5.686696768E-1
1.568548352E0,5.684266090E-1,6.675853729E-1,-6.437290907E-1
1.588459497E0,3.141655922E-1,4.424047470E-1,-6.559553146E-1
1.608326477E0,1.903343201E-2,1.778516769E-1,-7.460436821E-1
1.628264081E0,-2.233104706E-1,-7.591247559E-2,-7.746230364E-1
1.648165174E0,-4.930438995E-1,-4.326982498E-1,-7.376267910E-1
1.668029393E0,-7.499117851E-1,-7.132558823E-1,-7.133615017E-1
1.687904237E0,-8.240671158E-1,-9.186968803E-1,-8.625460863E-1
1.707775174E0,-8.002974987E-1,-1.103148460E0,-9.477115273E-1
1.727675799E0,-6.014916897E-1,-1.244851112E0,-9.533215761E-1
1.747548195E0,-3.442368507E-1,-1.347942352E0,-9.813735485E-1
1.767444758E0,-1.265115738E-1,-1.022462845E0,-9.669024944E-1
1.787334758E0,7.921600342E-2,-4.111881256E-1,-9.221357107E-1
1.807232362E0,5.006380081E-1,-8.295631409E-2,-9.621702433E-1
1.827136477E0,7.885932922E-1,3.153133392E-1,-7.761902213E-1
1.847058924E0,8.506884575E-1,1.010370255E0,-6.362590790E-1
1.866927727E0,9.583511353E-1,1.446447372E0,-6.015245914E-1
1.886819914E0,1.154578209E0,1.593904495E0,-3.252311647E-1
1.906681841E0,1.211739063E0,1.668460846E0,-3.092797995E-1
1.926593039E0,9.961462021E-1,1.802072525E0,-4.148962498E-1
1.946482258E0,7.246847153E-1,1.610567093E0,-3.283544779E-1
1.966373247E0,4.041428566E-1,1.164498329E0,-2.081470788E-1
1.986265070E0,1.089825630E-1,7.950477600E-1,-2.559524179E-1
2.006167102E0,-1.898703575E-1,2.956819534E-1,-2.389512956E-1
2.026082674E0,-3.962087631E-1,-2.815828323E-1,-1.744559407E-1
2.045918560E0,-5.509417057E-1,-8.232526779E-1,-3.013043702E-1
2.065831893E0,-7.038679123E-1,-1.285023212E0,-4.467791319E-1
2.085707362E0,-7.738156319E-1,-1.755452156E0,-5.986063480E-1
2.105585747E0,-8.133108616E-1,-2.181052208E0,-6.825751066E-1
2.125475174E0,-7.416005135E-1,-2.191931725E0,-5.927737951E-1
2.145368768E0,-6.912794113E-1,-1.931322575E0,-4.784370661E-1
2.165261893E0,-6.208345890E-1,-1.504105568E0,-4.365237355E-1
2.185146424E0,-7.205293179E-1,-5.139141083E-1,-3.568044007E-1
2.205121268E0,-6.948065758E-1,1.059473038E0,-4.475433826E-1
2.224963247E0,-2.590382099E-1,1.592344284E0,-5.227698684E-1
2.244820070E0,1.404941082E-1,1.599338531E0,-1.945425570E-1
2.264705174E0,4.962601662E-1,1.723975182E0,2.717040181E-1
2.284611424E0,5.702738762E-1,1.822608948E0,4.702444375E-1
2.304489445E0,5.838885307E-1,1.970579147E0,4.905474484E-1
2.324390904E0,5.754075050E-1,2.033670425E0,5.117334127E-1
2.344300018E0,7.504391670E-1,1.756807327E0,4.831286371E-1
2.364212362E0,8.618474007E-1,1.407012939E0,3.319733739E-1
2.384130747E0,7.988615036E-1,9.493522644E-1,1.678006798E-1
2.404061633E0,6.523528099E-1,5.237751007E-1,1.531522721E-1
2.423881893E0,5.585670471E-1,1.450052261E-1,3.946664929E-2
