"event","experiment time","system time","system time text"
"START",0.000000000E0,1718967360.764,"2024-06-21 12:56:00.764 UTC+02:00"
"PAUSE",3.000993309E2,1718967660.863,"2024-06-21 13:01:00.863 UTC+02:00"
