"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.654888917E0,1.066577042E1,4.659061432E0,1.821038132E1
1.674890917E0,1.116662888E1,1.848506012E0,1.736284378E1
1.694893792E0,1.074630295E1,-2.453098755E0,1.605710907E1
1.714895792E0,1.139849670E1,-9.789043579E0,1.181073944E1
1.734897792E0,1.252789810E1,-2.052397018E1,-1.002076172E1
1.754899792E0,3.784804459E1,-1.038562798E2,-5.624972809E1
1.774902792E0,-1.084060684E1,-4.209501297E1,4.690346375E0
1.794904792E0,7.747888184E-1,-1.109792175E0,1.572255478E1
1.814906792E0,1.170925049E1,3.685336304E0,-6.927144928E0
1.834908792E0,1.744247818E1,6.234684906E0,-5.111271057E0
1.854911792E0,6.807843018E0,6.513704681E0,-1.002914429E-1
1.874913792E0,7.657925262E0,6.337371368E0,6.198909302E0
1.894915792E0,2.030527496E1,-2.219883728E0,1.125299927E1
1.914917792E0,1.985171814E1,-8.510701904E0,1.196402069E1
1.934920792E0,1.561986832E1,-5.882317657E0,8.935817871E0
1.954922792E0,1.034932846E1,-4.381388855E-1,7.527696075E0
1.974924792E0,7.784861298E0,1.132844238E0,5.597010956E0
1.994927792E0,6.912325745E0,5.209167480E-1,5.715863800E0
2.014929792E0,6.889872437E0,-8.396040344E-1,6.693929901E0
2.034931792E0,7.235503693E0,-9.131011963E-1,7.128925323E0
2.054933792E0,6.810238037E0,-5.673202515E-2,7.587122498E0
2.074936792E0,6.664890289E0,7.584727478E-1,7.721393280E0
2.094938792E0,6.796316986E0,1.520538025E0,7.958949280E0
2.114940792E0,6.762038269E0,1.179846497E0,8.882079620E0
2.134942792E0,6.310876465E0,1.449435883E0,9.314230957E0
2.154945792E0,5.483397217E0,2.397115173E0,9.092991028E0
2.174947792E0,4.949008484E0,3.230881348E0,8.415499878E0
2.194949792E0,4.844675446E0,3.828139343E0,8.370144196E0
2.214951792E0,5.184169464E0,3.338806915E0,8.867410126E0
2.234954792E0,5.278922424E0,2.666255493E0,8.891809387E0
