"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718569439386643E9,"2024-06-16 22:23:59.387 UTC+02:00"
"PAUSE",1.805916655000037E2,1.718569619978316E9,"2024-06-16 22:26:59.978 UTC+02:00"
