"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.493470542E0,4.464657903E-1,-9.827440381E-1,-1.980001926E-1
1.513358771E0,4.806198180E-1,-9.113734365E-1,-2.549901605E-1
1.533280177E0,4.886090755E-1,-7.493248582E-1,-3.136445582E-1
1.553195333E0,4.939352274E-1,-5.744934678E-1,-3.445363045E-1
1.573046271E0,5.163051486E-1,-4.358800352E-1,-3.450689316E-1
1.592951323E0,5.205660462E-1,-3.581180274E-1,-3.061879277E-1
1.612851583E0,4.880764484E-1,-3.197030723E-1,-2.576532364E-1
1.632728042E0,4.352808297E-1,-3.074528873E-1,-2.150439173E-1
1.652620594E0,3.601153493E-1,-3.074528873E-1,-1.697049290E-1
1.672512000E0,3.025927544E-1,-2.760285139E-1,-1.382805556E-1
1.692393667E0,2.615146935E-1,-2.189719677E-1,-1.036604866E-1
1.712313510E0,1.852839738E-1,-1.480673850E-1,-7.003907114E-2
1.732250125E0,8.615072072E-2,-8.734910935E-2,-2.157096937E-2
1.752083042E0,-1.990654133E-2,-3.881442919E-2,3.495295718E-2
1.771984656E0,-1.451379955E-1,2.569874749E-2,8.987903595E-2
1.791863198E0,-2.725664973E-1,1.023955271E-1,1.463363916E-1
1.811752000E0,-3.962001204E-1,1.759631783E-1,2.097843289E-1
1.831641323E0,-4.884093404E-1,2.383458912E-1,2.732322812E-1
1.851514240E0,-5.704988837E-1,3.289572597E-1,3.211677670E-1
1.871420542E0,-6.419360638E-1,4.344819188E-1,3.552552164E-1
1.891311167E0,-7.069152594E-1,5.442674756E-1,3.633110523E-1
1.911226115E0,-7.506564260E-1,6.418029070E-1,3.595161438E-1
1.931088354E0,-7.698305845E-1,7.212293148E-1,3.547225893E-1
1.950990229E0,-7.682327628E-1,8.011884093E-1,3.621792197E-1
1.970880229E0,-7.410693169E-1,8.864735961E-1,3.621792197E-1
1.990772885E0,-6.994586587E-1,9.595086575E-1,3.483312130E-1
2.010655698E0,-6.499252915E-1,1.027683616E0,3.232982159E-1
2.030565073E0,-6.072493792E-1,1.083674908E0,3.083849549E-1
2.050433042E0,-5.598465204E-1,1.106044769E0,2.961347699E-1
2.070346323E0,-5.182358623E-1,1.086870551E0,2.598502934E-1
2.090237729E0,-4.804200828E-1,1.033542395E0,2.001972347E-1
2.110130646E0,-4.143090546E-1,9.786828160E-1,1.213034093E-1
2.130010958E0,-3.370130956E-1,8.949954510E-1,5.359453708E-2
2.149886375E0,-2.768274248E-1,7.377404571E-1,2.270277962E-2
2.169789656E0,-2.282927483E-1,5.272237659E-1,-6.058512721E-3
2.189692885E0,-1.766289473E-1,3.028590679E-1,-2.636451647E-2
2.209557417E0,-1.296921223E-1,1.029281393E-1,-2.796236612E-2
2.229460802E0,-8.974587917E-2,-4.307536036E-2,-2.210358530E-2
2.249341792E0,-4.014597088E-2,-1.352845877E-1,-1.677742042E-2
2.269254240E0,1.531272475E-2,-1.902106702E-1,-1.731003635E-2
2.289158562E0,5.792204663E-2,-2.195045799E-1,-3.648423031E-2
2.309023979E0,9.467258304E-2,-2.680392563E-1,-7.749570161E-2
2.328914917E0,1.245656833E-1,-3.842162490E-1,-1.175085157E-1
