X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
0.686,0.891,0.639,0.217,0.421,0.631,leadhook
6.821,11.935,11.356,2.767,3.318,2.581,leadhook
1.681,0.798,1.168,0.199,0.701,0.665,leadhook
6.973,12.3,12.417,3.289,3.096,3.116,leadhook
1.627,1.391,0.793,0.447,0.958,0.654,leadhook
5.768,12.859,13.513,3.738,3.058,2.994,leadhook
1.493,1.428,0.799,0.355,1.032,0.911,leadhook
8.549,9.965,9.854,2.711,3.053,2.996,leadhook
1.094,0.912,0.821,0.155,0.613,0.453,leadhook
4.93,11.716,14.197,2.939,3.947,2.976,leadhook
1.57,1.008,1.018,0.254,1.037,0.7,leadhook
5.926,12.047,13.772,3.438,3.076,2.708,leadhook
1.927,1.034,1.041,0.236,1.051,0.675,leadhook
5.046,11.247,13.051,3.418,3.651,2.928,leadhook
1.573,1.058,0.79,0.288,0.868,0.693,leadhook
4.384,11.822,13.818,4.064,3.009,2.852,leadhook
1.283,0.832,1.105,0.37,0.522,0.888,leadhook
8.778,10.804,12.351,2.623,3.601,2.766,leadhook
1.185,0.768,0.789,0.164,0.902,0.549,leadhook
5.141,12.004,12.836,3.139,3.375,2.796,leadhook
1.383,0.882,0.599,0.254,0.611,0.432,leadhook
4.808,12.074,11.98,3.487,3.012,3.106,leadhook
1.613,0.794,1.118,0.233,1.051,0.628,leadhook
7.526,11.784,13.852,2.97,3.668,2.951,leadhook
1.475,0.564,0.962,0.178,0.843,0.61,leadhook
6.877,11.526,14.265,3.337,3.195,3.044,leadhook
1.673,1.009,0.97,0.156,1.177,0.836,leadhook
4.322,12.808,14.017,3.444,3.483,2.693,leadhook
1.378,0.623,0.917,0.414,0.627,0.644,leadhook
6.002,10.387,10.508,2.586,3.378,3.142,leadhook
1.999,1.165,1.527,0.243,1.141,0.93,leadhook
5.157,11.544,13.283,3.207,4.085,2.568,leadhook
1.149,0.68,0.847,0.249,0.599,0.319,leadhook
4.215,12.016,15.125,3.299,3.712,3.339,leadhook
1.887,0.734,1.044,0.173,1.316,0.605,leadhook
6.515,10.977,14.109,3.237,3.67,2.713,leadhook
1.621,0.713,0.843,0.175,1.053,0.581,leadhook
7.339,12.047,12.906,3.282,2.939,2.676,leadhook
1.726,0.634,1.241,0.309,1.069,0.855,leadhook
5.206,11.727,13.966,3.241,3.401,2.757,leadhook
1.937,0.658,1.143,0.277,1.107,0.801,leadhook
5.267,11.522,14.298,3.557,3.471,3.151,leadhook
1.651,0.75,0.751,0.223,0.959,0.604,leadhook
7.218,12.143,14.124,3.802,2.821,3.316,leadhook
1.702,0.67,1.028,0.237,0.939,0.654,leadhook
5.2,11.448,14.503,3.381,3.377,3.282,leadhook
1.971,0.711,0.819,0.219,0.931,0.62,leadhook
5.364,12.159,15.236,3.647,3.332,3.12,leadhook
1.557,0.579,0.491,0.217,0.631,0.532,leadhook
8.119,9.634,8.649,5.881,9.825,5.574,leadhook
4.182,6.183,7.541,0.911,3.309,1.157,leadhook
4.165,3.498,4.797,1.164,2.98,1.133,leadhook
1.332,2.018,2.634,1.348,1.259,0.953,leadhook
1.22,1.878,1.127,0.367,0.449,0.175,leadhook
9.812,11.595,9.041,2.488,2.07,3.433,leadhook
1.09,0.881,0.828,0.387,0.677,0.753,leadhook
6.599,12.883,14.551,3.512,3.858,2.838,leadhook
1.146,0.678,0.995,0.5,0.609,0.666,leadhook
6.623,11.623,15.451,4.109,3.558,3.594,leadhook
1.287,1.167,1.076,0.462,0.751,0.922,leadhook
11.903,13.227,15.226,3.588,3.683,2.94,leadhook
1.209,10.05,2.872,0.224,0.285,0.255,leadhook
6.82,11.993,17.352,3.828,3.379,3.57,leadhook
1.143,6.426,2.017,0.338,0.733,0.454,leadhook
6.117,12.268,16.608,4.009,3.061,4.167,leadhook
1.312,4.009,1.306,0.15,0.517,0.595,leadhook
8.398,12.297,15.857,3.234,3.057,4.019,leadhook
1.401,2.621,1.189,0.143,0.73,0.538,leadhook
5.488,12.216,16.393,3.598,3.171,3.85,leadhook
1.131,1.683,1.049,0.176,0.661,0.631,leadhook
8.512,12.827,13.299,3.404,2.572,3.687,leadhook
0.968,1.158,0.641,0.228,0.527,0.467,leadhook
6.942,14.082,14.656,3.139,3.613,2.981,leadhook
1.304,1.919,1.425,0.363,0.668,0.931,leadhook
6.645,13.651,15.087,3.744,3.143,2.672,leadhook
0.94,1.105,0.929,0.298,0.64,0.748,leadhook
9.787,13.207,13.445,3.285,2.497,3.635,leadhook
0.929,0.88,0.89,0.323,0.412,0.746,leadhook
9.838,12.126,11.569,3.054,3.054,3.404,leadhook
1.501,0.794,1.436,0.286,0.571,0.955,leadhook
6.702,10.956,15.37,3.8,3.634,3.193,leadhook
1.164,1.032,0.832,0.112,0.592,0.864,leadhook
6.439,12.286,13.812,3.081,3.118,3.086,leadhook
1.899,0.745,0.756,0.29,0.902,0.598,leadhook
11.36,12.488,13.03,2.878,3.633,3.293,leadhook
0.844,0.842,0.72,0.259,0.743,0.626,leadhook
6.908,12.57,13.516,3.29,3.187,3.479,leadhook
1.48,1.222,0.701,0.341,0.596,0.777,leadhook
7.754,13.15,13.347,3.379,3.092,3.016,leadhook
1.849,1.414,1.04,0.477,0.923,1.09,leadhook
8.648,11.669,13.216,3.869,2.833,3.581,leadhook
1.594,0.82,1.075,0.488,1.16,0.668,leadhook
5.16,14.663,16.819,3.7,3.797,3.753,leadhook
1.787,1.524,1.331,0.593,1.217,1.164,leadhook
5.945,13.94,16.881,3.756,4.14,4.06,leadhook
1.406,1.603,1.224,0.538,0.824,1.107,leadhook
6.965,12.506,13.562,3.287,3.507,2.688,leadhook
1.235,1.617,1.051,0.301,0.778,0.659,leadhook
9.395,12.981,15.087,3.733,3.215,3.065,leadhook
1.195,1.161,0.713,0.311,0.748,0.52,leadhook
7.074,9.27,11.022,3.072,2.866,2.753,leadhook
2.116,1.238,0.768,0.599,1.142,1.082,leadhook
7.858,10.828,15.353,4.213,2.836,2.676,leadhook
2.032,2.038,1.73,1.041,1.514,1.697,leadhook
7.312,12.156,13.268,4.019,2.337,2.52,leadhook
1.384,1.58,0.766,0.54,0.981,1.198,leadhook
10.07,12.472,12.145,3.3,2.493,3.327,leadhook
1.539,1.69,0.744,0.533,1.527,1.161,leadhook
9.687,10.696,11.771,3.191,3.208,3.33,leadhook
1.254,1.452,0.822,0.364,1.205,0.77,leadhook
4.99,12.252,17.339,3.944,4.018,3.428,leadhook
1.403,1.638,1.231,0.437,1.365,0.871,leadhook
5.556,10.486,15.496,3.376,4.84,3.545,leadhook
1.615,2.438,2.209,0.359,1.231,0.899,leadhook
5.384,12.763,14.139,3.406,2.899,2.881,leadhook
2.092,2.204,1.188,0.259,0.806,0.954,leadhook
6.808,12.277,14.02,3.748,2.569,3.316,leadhook
1.457,2.17,1.355,0.577,1.372,0.811,leadhook
5.593,13.337,14.684,3.087,4.017,2.481,leadhook
1.045,1.598,1.218,0.755,0.878,1.021,leadhook
5.373,13.301,13.475,3.649,2.935,2.382,leadhook
1.408,1.286,1.05,0.306,0.854,0.81,leadhook
7.257,10.084,11.095,2.8,3.205,1.256,leadhook
1.108,1.536,0.72,0.423,1.193,1.114,leadhook
9.931,10.543,11.392,2.776,2.63,2.903,leadhook
1.111,1.515,1.251,0.219,1.245,1.13,leadhook
4.306,12.334,14.264,3.333,3.534,2.956,leadhook
1.165,1.631,1.182,0.563,0.932,0.926,leadhook
6.151,10.243,13.814,3.548,3.545,3.194,leadhook
1.406,1.301,1.061,0.347,1.27,1.281,leadhook
6.394,11.415,14.331,3.396,3.098,2.896,leadhook
1.189,1.528,0.791,0.317,1.156,1.082,leadhook
4.137,10.454,13.406,3.527,2.956,2.311,leadhook
1.208,1.789,1.328,0.238,1.381,1.199,leadhook
6.056,9.038,14.816,3.449,2.836,2.748,leadhook
4.058,6.16,2.52,0.373,1.545,1.389,leadhook
4.064,11.611,14.653,3.684,2.632,2.034,leadhook
3.443,4.133,1.41,0.342,1.3,1.111,leadhook
5.538,10.96,15.26,4.088,2.412,3.018,leadhook
2.331,3.206,1.535,0.279,1.331,1.085,leadhook
6.613,10.852,14.419,3.126,3.178,3.182,leadhook
1.605,2.396,1.21,0.228,1.112,1.189,leadhook
5.96,9.856,13.711,3.066,3.412,2.801,leadhook
1.555,2.289,1.325,0.417,1.134,1.486,leadhook
6.352,10.003,13.366,3.179,2.997,2.638,leadhook
1.787,1.523,0.693,0.474,1.316,0.925,leadhook
5.02,11.649,16.222,3.883,2.996,3.074,leadhook
1.55,1.625,1.049,0.411,1.04,0.938,leadhook
6.682,11.144,12.642,3.49,2.161,2.583,leadhook
1.219,1.513,0.694,0.284,1.36,1.036,leadhook
7.263,11.197,14.62,3.564,2.486,2.725,leadhook
1.257,1.968,1.036,0.328,1.096,0.835,leadhook
8.379,10.82,13.189,2.92,2.449,2.375,leadhook
1.532,2.626,1.537,0.793,1.058,1.12,leadhook
7.064,10.104,11.652,3.008,2.387,2.602,leadhook
1.157,1.087,0.731,0.312,0.98,1.084,leadhook
6.109,11.702,14.295,3.45,3.238,2.778,leadhook
1.939,2.183,1.114,0.43,1.162,0.93,leadhook
4.31,9.635,14.551,2.926,2.778,2.705,leadhook
1.903,4.366,1.973,0.763,1.241,1.261,leadhook
7.969,9.935,12.998,3.156,2.199,3.002,leadhook
1.578,3.186,1.144,0.52,1.019,1.069,leadhook
7.461,9.655,13.213,3.134,2.884,2.342,leadhook
1.768,1.852,0.933,0.282,1.23,1.163,leadhook
5.903,7.776,13.964,3.196,2.89,3.146,leadhook
1.875,4.459,1.823,0.815,1.11,1.006,leadhook
7.89,9.269,13.105,2.911,2.367,3.322,leadhook
1.892,4.669,1.623,1.074,1.489,1.44,leadhook
5.385,9.796,14.225,3.084,2.876,2.615,leadhook
2.56,3.916,1.867,0.861,1.705,1.527,leadhook
6.955,9.333,13.344,2.851,2.633,1.983,leadhook
1.984,4.193,1.766,0.989,1.262,1.302,leadhook
5.791,9.718,14.047,3.011,3.348,2.279,leadhook
2.974,6.769,2.574,0.506,1.305,1.038,leadhook
4.716,10.598,18.266,3.195,3.498,2.586,leadhook
2.399,6.153,2.894,0.677,1.759,1.403,leadhook
6.376,10.86,14.578,2.871,2.428,2.541,leadhook
1.778,4.005,1.873,0.33,1.633,0.874,leadhook
6.985,11.589,14.355,3.357,2.252,2.601,leadhook
1.611,3.723,1.407,0.358,1.048,1.086,leadhook
6.194,8.18,12.527,2.409,3.094,1.89,leadhook
1.234,5.362,2.052,0.923,1.304,1.202,leadhook
3.632,4.923,11.534,1.353,3.176,1.962,leadhook
2.395,9.023,4.517,2.361,1.548,1.866,leadhook
2.563,3.558,8.761,1.266,2.911,2.243,leadhook
3.861,8.811,7.302,2.716,1.517,1.492,leadhook
7.104,10.726,16.334,3.467,3.311,3.079,leadhook
1.484,3.418,1.562,0.577,1.177,0.893,leadhook
3.916,6.273,8.901,1.311,2.398,1.754,leadhook
3.499,7.185,5.683,1.982,1.639,1.444,leadhook
2.596,3.776,6.602,0.984,2.429,1.529,leadhook
3.223,8.548,7.854,2.786,1.886,1.544,leadhook
1.53,1.678,1.442,0.654,0.856,1.218,leadhook
4.179,10.925,12.49,3.399,2.298,2.543,leadhook
2.616,4.897,6.489,0.954,2.366,1.6,leadhook
2.924,8.158,8.034,2.568,2.13,1.61,leadhook
2.484,3.346,3.571,0.985,1.64,1.373,leadhook
3.434,11.662,12.551,3.057,2.217,1.818,leadhook
2.581,3.758,5.355,0.422,2.421,1.555,leadhook
3.045,8.828,9.912,2.494,2.249,1.684,leadhook
4.097,5.295,9.89,1.672,2.769,1.997,leadhook
5.783,9.077,5.254,1.966,1.305,1.38,leadhook
3.084,4.221,8.985,1.643,2.454,1.964,leadhook
3.25,9.034,6.092,2.474,1.579,1.104,leadhook
2.218,4.027,7.396,0.714,2.82,2.038,leadhook
3.401,8.813,9.378,2.575,2.375,1.675,leadhook
3.372,3.822,5.83,1.327,2.292,1.405,leadhook
3.075,9.566,9.828,2.684,1.685,2.067,leadhook
2.872,4.75,8.252,2.025,1.925,2.253,leadhook
2.466,8.755,6.616,2.556,1.637,1.306,leadhook
2.984,4.756,8.294,1.407,2.66,2.058,leadhook
2.568,8.442,8.254,2.819,1.553,1.67,leadhook
2.056,1.985,2.128,0.397,1.026,1.553,leadhook
4.466,9.653,13.323,3.329,3.57,2.264,leadhook
3.161,2.952,4.748,1.491,1.917,1.613,leadhook
3.085,8.403,8.463,2.721,1.697,1.448,leadhook
3.503,3.352,5.289,1.325,2.06,1.489,leadhook
6.133,10.473,9.1,2.868,2.168,1.787,leadhook
3.492,3.303,3.316,0.324,1.036,1.477,leadhook
6.842,12.059,14.733,3.561,3.523,2.159,leadhook
3.781,4.773,2.257,0.285,0.926,1.22,leadhook
5.108,12.916,15.063,3.519,3.335,2.737,leadhook
2.766,3.57,3.098,0.63,1.376,1.5,leadhook
3.286,11.712,11.788,2.873,3.43,1.615,leadhook
2.409,4.48,5.513,0.849,2.067,1.575,leadhook
3.039,6.716,5.907,2.113,1.295,1.437,leadhook
3.699,3.605,5.002,1.39,2.289,1.467,leadhook
2.471,6.614,7.043,2.591,2.154,2.147,leadhook
1.318,1.578,0.778,0.552,0.758,1.077,leadhook
1.002,0.883,0.517,0.466,0.456,0.329,leadhook
0.259,0.349,0.108,0.132,0.074,0.099,leadhook
