X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0.651,0.846,0.437,0.238,0.614,0.127,2.172,4.001,1.749,left_nopunch
0.622,0.858,0.649,0.213,0.193,0.206,1.685,2.41,1.84,left_nopunch
0.594,1.014,0.381,0.266,0.237,0.148,0.426,0.244,0.255,left_nopunch
0.463,0.801,0.318,0.286,0.203,0.113,4.009,6.656,2.856,left_nopunch
0.465,0.636,0.244,0.286,0.249,0.208,0.274,0.153,0.155,left_nopunch
0.827,0.619,0.412,0.537,0.465,0.428,2.993,6.258,2.69,left_nopunch
0.486,0.953,0.242,0.328,0.262,0.394,0.822,0.457,0.409,left_nopunch
0.596,0.86,0.44,0.503,0.357,0.391,3.512,6.663,2.224,left_nopunch
0.34,0.72,0.194,0.418,0.226,0.254,0.573,0.329,0.434,left_nopunch
0.267,0.582,0.147,0.265,0.177,0.176,3.758,6.927,2.908,left_nopunch
0.432,0.698,0.217,0.259,0.098,0.254,0.6,0.354,0.391,left_nopunch
0.179,0.344,0.134,0.254,0.065,0.161,2.655,6.306,1.807,left_nopunch
0.33,0.521,0.209,0.288,0.122,0.068,0.726,0.37,0.452,left_nopunch
0.217,0.509,0.328,0.375,0.192,0.109,3.951,6.574,3.537,left_nopunch
0.237,0.29,0.34,0.281,0.274,0.107,1.18,0.765,0.735,left_nopunch
0.649,0.336,0.593,0.287,0.503,0.17,3.152,6.642,2.347,left_nopunch
0.385,0.364,0.345,0.412,0.533,0.103,0.797,0.353,0.518,left_nopunch
0.206,0.268,0.37,0.368,0.382,0.078,3.911,7.407,2.704,left_nopunch
0.448,0.313,0.419,0.354,0.45,0.049,1.191,0.573,0.7,left_nopunch
0.264,0.469,0.422,0.271,0.288,0.056,3.54,6.434,2.496,left_nopunch
0.879,0.701,0.494,0.53,0.407,0.45,1.108,0.852,0.473,left_nopunch
0.33,0.222,0.274,0.121,0.255,0.221,3.861,6.94,2.285,left_nopunch
0.379,0.359,0.492,0.213,0.347,0.247,1.016,0.801,0.531,left_nopunch
0.262,0.283,0.428,0.362,0.203,0.106,2.942,6.424,2.716,left_nopunch
0.122,0.114,0.27,0.223,0.121,0.077,1.375,1.51,1.159,left_nopunch
0.232,0.222,0.416,0.322,0.187,0.139,3.421,6.347,3.301,left_nopunch
0.158,0.292,0.513,0.241,0.152,0.103,0.87,0.746,0.813,left_nopunch
0.206,0.305,0.528,0.296,0.111,0.08,3.261,6.275,3.022,left_nopunch
0.227,0.184,0.483,0.269,0.065,0.133,2.763,1.613,0.794,left_nopunch
0.141,0.367,0.506,0.351,0.191,0.082,5.169,7.477,3.97,left_nopunch
0.116,0.267,0.449,0.271,0.053,0.116,1.221,1.002,1.207,left_nopunch
0.167,0.278,0.499,0.333,0.134,0.177,3.604,5.962,3.123,left_nopunch
0.185,0.33,0.685,0.255,0.082,0.074,1.073,0.742,0.804,left_nopunch
0.228,0.429,0.576,0.31,0.108,0.065,3.497,6.06,2.64,left_nopunch
0.185,0.575,0.658,0.466,0.201,0.095,0.955,1.035,0.633,left_nopunch
0.369,0.708,0.836,0.446,0.195,0.09,3.717,5.662,1.658,left_nopunch
0.23,0.477,0.726,0.344,0.229,0.057,1.115,0.738,0.647,left_nopunch
