X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
3.24,1.937,1.974,4.497,2.743,1.775,1.285,2.87,1.464,cross
1.604,1.444,1.444,3.986,11.0,12.574,3.335,1.815,2.144,cross
3.644,2.322,2.863,1.381,1.193,0.992,0.746,0.496,0.52,cross
0.392,0.811,0.283,5.682,10.742,11.373,3.432,2.809,2.405,cross
2.981,1.977,2.359,0.284,0.161,0.143,0.1,0.18,0.083,cross
0.26,0.594,0.158,4.468,12.655,11.749,3.76,2.727,1.641,cross
2.71,1.508,2.245,0.889,0.601,0.459,0.334,0.386,0.46,cross
0.91,1.273,0.531,4.621,13.413,10.174,3.755,2.849,1.574,cross
2.611,1.931,2.162,1.298,0.869,0.546,0.36,0.859,0.409,cross
0.57,0.973,0.447,7.022,10.721,10.248,3.09,3.185,1.934,cross
2.398,1.356,1.876,1.082,1.045,0.692,0.287,0.784,0.594,cross
1.014,1.241,0.678,6.386,12.211,10.647,2.943,3.214,2.032,cross
2.272,1.213,2.215,1.108,0.822,0.645,0.285,0.635,0.483,cross
1.277,1.171,0.785,6.961,10.763,11.491,3.415,3.17,2.894,cross
3.084,1.698,1.934,1.037,0.797,0.383,0.372,0.462,0.586,cross
1.086,1.137,0.712,5.106,13.913,11.004,3.953,3.394,1.534,cross
3.265,2.011,2.24,1.243,0.879,0.542,0.439,0.501,0.4,cross
1.073,1.47,0.686,5.855,12.912,12.081,4.105,2.63,2.055,cross
2.373,1.831,2.096,0.983,0.824,0.549,0.232,0.524,0.449,cross
1.416,1.504,0.932,4.551,11.292,11.15,3.682,3.461,2.4,cross
2.389,1.381,2.149,1.043,0.671,0.838,0.387,0.65,0.364,cross
1.478,1.218,0.595,4.909,13.367,12.495,4.085,2.936,2.056,cross
2.461,1.644,1.895,1.005,1.322,0.925,0.44,0.797,0.556,cross
1.49,1.236,0.816,5.295,12.894,13.03,3.925,2.388,2.279,cross
2.545,1.842,2.319,1.142,1.495,0.923,0.359,0.899,0.754,cross
1.145,1.177,0.898,5.823,12.404,10.44,3.516,3.298,1.891,cross
2.56,1.327,1.977,1.238,1.447,1.307,0.348,0.917,0.455,cross
0.966,1.106,0.735,6.346,13.201,11.799,3.907,3.147,2.249,cross
2.623,1.67,2.047,1.525,1.328,0.921,0.487,0.959,0.708,cross
1.218,1.162,1.057,7.246,11.479,11.018,2.887,3.758,3.366,cross
2.878,1.43,1.694,1.472,0.715,0.417,0.406,0.846,0.372,cross
1.188,1.301,1.091,7.108,11.092,11.307,3.457,2.383,2.761,cross
2.592,0.909,1.648,1.522,0.958,0.807,0.525,0.916,0.531,cross
1.138,1.171,1.193,6.202,11.264,11.63,3.431,2.636,2.736,cross
2.874,1.306,2.644,1.562,1.248,0.931,0.462,1.17,0.984,cross
0.882,1.26,0.708,5.46,9.517,11.213,3.755,1.816,2.417,cross
2.992,1.433,2.333,1.539,2.631,0.958,0.707,1.212,0.881,cross
1.142,1.507,0.877,5.25,6.124,9.898,2.741,1.493,2.078,cross
2.696,1.581,2.41,2.135,6.015,2.432,1.725,1.432,0.77,cross
1.086,1.217,0.813,5.035,8.854,11.586,3.111,2.634,2.648,cross
2.92,1.456,2.535,1.945,3.681,1.456,0.902,1.094,0.912,cross
1.137,1.144,0.745,4.673,11.191,12.589,4.317,2.267,1.941,cross
2.86,1.184,2.196,1.355,1.919,0.679,0.495,1.208,0.632,cross
1.255,1.202,0.981,7.176,10.891,10.819,3.3,3.088,2.34,cross
2.102,1.445,1.87,1.419,1.15,0.874,0.473,1.166,0.663,cross
1.777,1.213,1.32,6.473,9.864,10.516,3.514,2.203,2.646,cross
2.206,1.432,2.239,1.484,1.515,1.481,0.686,1.147,0.503,cross
1.609,1.188,1.421,4.831,5.599,7.888,2.314,2.836,1.385,cross
2.352,1.093,2.344,3.118,7.471,4.961,1.791,1.311,1.41,cross
1.645,0.998,1.038,3.9,6.678,9.673,2.689,2.362,1.884,cross
1.5,0.891,2.077,2.228,5.233,2.277,1.231,1.298,0.924,cross
1.971,0.944,0.997,4.445,10.459,10.998,3.539,2.514,2.129,cross
2.084,1.065,1.683,1.129,0.739,0.817,0.446,0.957,0.83,cross
1.373,0.985,0.978,6.303,10.732,10.172,2.817,2.597,2.385,cross
2.213,0.949,2.041,1.319,2.035,0.97,0.52,0.953,0.656,cross
1.749,1.15,0.989,5.838,7.886,10.511,2.741,2.156,2.087,cross
1.838,1.657,1.659,1.704,5.057,1.581,1.253,1.11,0.877,cross
1.907,1.043,1.354,3.935,5.814,9.074,2.154,2.445,1.826,cross
1.995,0.843,1.913,2.651,9.016,5.546,2.035,1.372,1.27,cross
1.894,1.424,1.232,4.07,5.7,5.829,1.308,2.412,1.402,cross
2.289,1.24,2.183,4.307,7.047,5.601,1.894,2.14,2.063,cross
1.514,1.065,0.797,4.436,5.985,7.071,1.681,2.693,1.435,cross
1.29,1.261,2.145,3.254,8.11,5.218,1.863,1.564,1.442,cross
2.328,1.636,1.225,5.721,8.492,11.844,2.971,3.143,2.246,cross
1.266,1.244,1.7,2.107,5.573,2.651,1.246,1.157,0.9,cross
2.953,1.875,1.309,5.758,11.23,12.459,3.979,2.29,1.758,cross
0.71,1.208,1.75,1.585,4.027,1.462,0.753,1.447,0.822,cross
2.743,1.289,1.918,5.486,10.14,13.711,3.286,3.085,2.756,cross
1.499,1.108,1.715,2.093,3.648,1.761,0.86,1.258,1.175,cross
2.719,1.521,1.378,6.765,7.935,10.196,2.862,2.736,2.433,cross
2.895,1.374,2.623,2.227,4.426,2.098,0.965,1.242,1.03,cross
1.565,1.199,1.21,5.457,4.507,4.788,1.508,2.149,1.777,cross
1.635,0.869,1.727,4.331,6.585,5.342,1.515,1.817,1.998,cross
2.593,1.365,1.357,3.838,5.113,4.159,1.513,2.243,1.773,cross
1.029,1.336,2.192,4.683,8.001,8.048,2.182,1.688,1.818,cross
3.298,1.577,1.749,2.73,4.83,2.929,1.455,1.868,1.502,cross
1.456,0.803,1.501,4.165,8.191,10.049,2.184,1.781,1.675,cross
2.801,2.338,1.641,4.657,6.499,8.865,2.537,2.6,1.929,cross
1.692,0.989,2.167,1.997,5.858,3.16,1.517,1.353,1.153,cross
2.89,1.058,1.362,3.568,5.615,7.385,2.085,2.114,1.997,cross
1.347,1.364,1.515,2.961,7.762,5.285,2.039,1.511,1.531,cross
3.058,1.7,1.871,2.916,4.586,4.779,1.693,2.023,1.632,cross
0.832,0.963,1.586,3.024,7.58,7.6,2.167,1.616,1.573,cross
3.269,2.113,1.815,4.722,5.233,9.016,2.31,2.68,2.179,cross
1.071,1.603,1.823,4.04,7.341,6.043,2.39,1.527,1.436,cross
3.065,1.668,1.14,4.615,4.844,9.181,2.647,2.407,2.372,cross
0.562,0.552,1.451,2.336,7.772,3.507,1.729,1.559,1.226,cross
3.462,2.304,1.871,4.08,3.59,6.96,2.203,2.566,1.545,cross
0.582,0.984,1.575,1.999,7.28,3.969,1.927,1.197,1.071,cross
2.795,1.705,1.932,5.752,4.366,6.61,2.021,1.803,1.827,cross
0.599,0.811,1.651,2.991,7.344,5.218,1.442,0.972,1.415,cross
3.437,3.086,1.537,1.408,0.625,0.768,0.537,0.603,0.606,cross
0.509,0.827,1.671,6.046,12.391,10.74,3.169,2.962,2.144,cross
3.483,2.066,1.316,2.526,1.271,0.82,0.583,0.717,0.774,cross
0.593,0.835,1.558,7.029,11.701,11.402,3.068,3.99,1.959,cross
3.427,2.124,1.327,2.781,2.091,0.8,1.271,1.674,1.104,cross
0.866,0.552,1.333,5.213,10.824,11.08,2.503,3.065,1.645,cross
3.691,2.589,2.09,2.786,5.015,2.698,1.46,2.123,1.789,cross
0.517,0.477,0.957,3.737,7.447,7.686,1.898,2.011,1.544,cross
3.434,2.026,1.955,1.384,1.527,0.83,1.108,0.847,0.984,cross
0.66,0.556,1.392,4.0,11.939,12.81,3.473,2.54,1.399,cross
3.102,2.578,2.622,2.74,1.429,0.833,0.895,1.432,1.049,cross
0.621,0.679,1.375,4.115,11.398,10.294,2.629,2.743,1.658,cross
2.938,1.991,2.465,2.729,2.778,0.516,1.321,1.601,1.2,cross
1.159,0.512,1.256,4.848,10.277,9.659,2.15,1.665,1.729,cross
3.239,2.418,2.044,2.808,1.804,0.641,1.132,2.141,1.342,cross
0.326,0.633,1.109,4.76,10.319,9.89,2.439,1.832,1.665,cross
3.066,1.613,2.827,1.492,0.763,0.81,0.656,1.242,0.739,cross
0.539,0.373,0.975,4.927,13.604,14.687,4.565,2.757,2.596,cross
3.217,2.453,2.09,2.79,1.996,0.757,0.897,1.16,0.817,cross
0.544,0.53,1.113,7.8,12.83,13.373,3.48,2.962,3.244,cross
3.421,2.176,2.978,1.855,1.636,0.542,1.001,0.952,0.928,cross
1.031,0.966,1.472,3.446,13.313,14.276,3.807,2.747,2.497,cross
3.77,2.261,1.669,1.347,1.543,0.65,0.42,0.586,0.555,cross
0.373,0.527,0.639,6.036,14.54,15.836,4.466,3.43,2.242,cross
4.142,2.675,2.769,2.34,1.121,0.684,0.505,0.906,0.9,cross
0.349,0.541,0.855,6.783,12.388,16.013,3.812,3.804,2.465,cross
3.931,2.221,2.767,3.03,1.799,3.792,0.895,0.874,0.749,cross
0.614,0.618,0.712,4.422,13.615,14.663,3.801,3.01,1.741,cross
4.193,2.692,1.939,2.84,1.577,2.106,1.376,1.491,1.395,cross
0.465,0.388,0.527,4.081,12.834,14.287,3.621,2.018,1.929,cross
3.749,1.606,3.271,2.08,1.158,1.349,0.663,0.917,0.953,cross
0.516,0.649,0.515,5.153,11.161,11.125,2.885,3.525,2.163,cross
4.249,2.231,2.793,2.045,1.155,0.973,0.759,0.849,0.817,cross
0.199,0.603,0.815,3.533,11.474,11.992,3.793,2.785,2.644,cross
3.316,2.635,2.334,3.024,1.743,0.763,1.417,1.882,1.285,cross
0.367,0.441,0.664,4.235,12.26,13.303,3.389,2.187,2.104,cross
3.416,2.289,2.646,2.316,1.196,0.528,0.792,0.945,0.803,cross
0.513,0.562,0.606,6.53,12.059,11.91,2.984,2.885,3.088,cross
3.444,2.741,2.746,2.224,1.27,0.699,0.829,0.968,0.779,cross
0.223,0.504,0.365,3.205,12.258,13.093,3.755,2.713,1.988,cross
4.177,2.407,2.782,1.043,1.013,0.495,0.387,0.528,0.538,cross
0.334,0.433,0.298,5.498,10.883,10.444,2.631,3.374,2.871,cross
3.786,2.454,3.301,1.881,1.531,0.817,0.853,0.597,0.723,cross
0.087,0.536,0.417,3.85,12.148,13.837,4.05,2.675,2.437,cross
4.595,2.44,2.796,1.601,1.196,0.604,0.432,0.903,0.517,cross
0.178,0.756,0.296,4.506,12.488,13.091,4.188,3.233,2.675,cross
3.575,2.395,3.2,1.405,0.892,0.569,0.386,0.659,0.325,cross
0.344,0.638,0.479,3.983,11.694,13.159,4.131,3.021,3.038,cross
5.043,2.617,2.472,1.869,1.526,0.766,0.521,0.89,0.602,cross
0.246,0.646,0.33,5.52,13.277,13.687,4.094,3.455,2.795,cross
4.248,2.428,3.55,1.532,1.094,0.502,0.495,0.865,0.552,cross
0.65,0.63,0.276,5.747,13.027,13.101,4.058,3.255,2.626,cross
3.911,3.26,2.68,1.878,1.285,0.683,0.703,1.041,0.56,cross
0.238,0.637,0.359,2.942,12.726,11.794,3.666,2.819,2.266,cross
4.465,2.147,3.59,1.557,0.826,0.472,0.366,0.829,0.374,cross
0.372,0.814,0.257,4.928,12.024,14.029,4.476,3.171,2.743,cross
4.141,2.138,2.461,1.848,1.063,0.524,0.553,0.587,0.93,cross
0.365,0.925,0.228,5.284,10.936,11.342,2.991,3.111,2.417,cross
