X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Punch Type
1.422,2.156,1.228,2.24,5.165,2.116,0.735,1.273,1.368,right_nopunch
0.613,2.487,1.71,1.885,4.227,1.047,0.505,1.745,1.493,right_nopunch
0.104,0.117,0.088,3.087,8.234,3.453,0.819,3.405,2.729,right_nopunch
1.916,4.231,2.785,1.065,2.05,0.845,0.396,0.821,0.547,right_nopunch
0.087,0.21,0.093,3.477,8.687,2.57,0.965,2.742,2.964,right_nopunch
2.172,4.079,2.588,0.878,0.818,0.396,0.249,0.188,0.229,right_nopunch
0.183,0.308,0.107,3.244,8.196,3.175,0.939,3.117,3.184,right_nopunch
2.34,3.829,2.456,0.71,0.523,0.349,0.175,0.299,0.158,right_nopunch
0.098,0.183,0.124,2.741,7.491,3.711,1.054,3.806,3.2,right_nopunch
1.87,3.771,2.743,0.568,0.282,0.541,0.188,0.248,0.302,right_nopunch
0.116,0.273,0.218,2.888,7.913,3.235,1.387,3.103,2.229,right_nopunch
2.016,3.673,2.307,0.79,1.042,1.027,0.39,0.788,0.637,right_nopunch
0.129,0.214,0.13,2.426,8.095,2.791,0.879,3.329,2.629,right_nopunch
2.374,4.104,3.161,0.82,1.098,0.756,0.371,0.505,0.389,right_nopunch
0.222,0.367,0.341,3.283,7.922,2.632,0.775,2.741,2.873,right_nopunch
2.304,3.914,2.509,0.714,1.249,0.612,0.352,0.649,0.418,right_nopunch
0.117,0.333,0.178,3.191,8.578,2.521,0.894,2.726,2.481,right_nopunch
2.233,3.897,2.407,1.23,1.69,0.833,0.395,1.369,0.428,right_nopunch
0.219,0.369,0.291,2.122,8.486,2.925,0.486,2.732,2.601,right_nopunch
2.2,3.203,1.996,1.082,1.908,0.801,0.358,0.858,0.436,right_nopunch
0.347,0.742,0.638,1.959,8.038,3.139,1.096,2.452,2.839,right_nopunch
2.283,3.532,2.239,1.267,1.412,0.704,0.317,0.445,0.493,right_nopunch
0.288,0.383,0.266,3.107,8.9,2.621,0.778,2.537,2.796,right_nopunch
1.63,2.756,1.806,1.029,1.786,0.78,0.266,0.818,0.644,right_nopunch
0.545,1.401,1.022,2.339,8.644,2.125,0.936,2.651,2.552,right_nopunch
2.202,4.018,2.825,1.084,1.35,0.874,0.183,0.539,0.524,right_nopunch
0.34,0.346,0.259,2.226,9.314,2.435,0.52,1.595,2.065,right_nopunch
2.309,4.093,2.646,0.994,2.392,0.87,0.405,1.311,1.019,right_nopunch
0.399,0.433,0.277,2.906,10.439,2.391,0.8,2.19,2.148,right_nopunch
2.119,3.357,2.162,1.09,2.095,0.931,0.365,1.541,0.944,right_nopunch
0.37,1.312,0.996,2.84,8.414,2.02,1.089,2.117,1.769,right_nopunch
1.804,3.668,2.668,1.525,3.636,0.865,0.574,1.655,1.53,right_nopunch
0.316,0.55,0.478,2.684,8.879,1.963,0.907,1.672,2.331,right_nopunch
2.297,3.258,1.849,1.341,2.216,0.966,0.645,1.248,1.024,right_nopunch
0.316,0.709,0.584,2.802,7.737,2.382,0.808,2.354,2.13,right_nopunch
1.971,3.173,2.362,1.204,2.275,0.9,0.426,1.479,1.236,right_nopunch
0.186,0.594,0.372,2.699,9.045,2.671,0.693,2.474,2.472,right_nopunch
2.447,3.499,2.177,1.734,2.704,0.712,0.889,0.979,0.956,right_nopunch
