X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
2.737,5.042,1.817,1.531,1.685,0.949,1.587,8.891,4.615,jab
6.583,5.344,8.959,1.365,1.627,2.73,4.353,4.994,6.103,jab
2.794,8.514,3.62,2.12,1.742,1.451,4.027,8.977,7.459,jab
5.126,4.812,7.65,1.294,1.488,2.295,3.93,5.183,6.331,jab
2.504,10.682,5.711,2.701,2.025,1.421,2.698,9.731,7.21,jab
4.778,4.312,6.554,1.372,1.355,2.078,4.351,4.898,6.197,jab
3.536,11.531,7.706,2.997,2.282,1.879,3.854,9.361,6.355,jab
2.953,3.469,2.561,0.819,1.402,1.739,2.97,2.782,1.211,jab
5.501,12.731,11.485,3.304,2.36,2.146,5.954,9.887,10.842,jab
4.311,3.553,5.338,1.035,1.148,2.163,3.676,4.682,3.152,jab
3.502,11.115,8.333,3.188,1.824,1.763,3.934,8.932,8.469,jab
4.545,5.487,10.042,2.068,1.41,2.285,4.49,4.663,5.851,jab
2.972,10.712,6.291,2.394,2.426,1.333,6.308,8.344,8.256,jab
4.176,5.552,9.741,1.692,1.728,2.262,2.436,4.442,2.818,jab
2.288,9.558,4.377,2.191,2.165,1.389,3.368,10.049,7.999,jab
6.154,4.617,10.451,1.62,1.342,2.863,2.154,4.374,1.91,jab
3.029,10.002,5.04,2.143,2.159,1.557,4.198,8.185,9.265,jab
3.358,2.927,1.976,1.118,1.04,1.905,1.503,2.337,0.714,jab
4.797,10.749,8.887,2.524,1.594,2.391,6.647,10.744,12.797,jab
0.879,1.869,1.085,0.379,0.748,1.37,1.26,1.046,0.934,jab
7.101,12.284,14.602,4.168,2.634,2.771,4.469,12.882,11.265,jab
1.478,1.71,0.801,0.584,0.9,1.384,1.747,2.345,0.651,jab
4.93,14.346,12.551,3.887,2.714,2.179,8.176,10.265,12.401,jab
1.723,1.045,1.174,0.424,1.201,1.104,1.413,1.559,0.882,jab
7.495,13.729,11.681,3.048,2.23,2.722,6.781,11.283,11.295,jab
1.232,1.312,0.712,0.205,0.517,0.521,1.04,2.096,0.461,jab
6.747,16.216,16.663,4.314,3.354,3.435,6.209,12.377,12.741,jab
1.669,1.916,1.41,0.572,1.086,1.075,1.209,1.036,0.782,jab
6.262,14.742,14.049,4.221,2.44,2.547,7.075,11.934,8.629,jab
2.044,1.78,1.398,0.524,0.817,0.758,1.082,1.174,0.941,jab
4.011,14.486,14.417,4.114,2.522,2.411,7.03,12.097,11.37,jab
2.677,1.079,1.784,0.594,1.436,1.234,1.154,1.798,0.557,jab
5.178,14.017,15.228,3.877,3.431,2.596,8.436,11.327,11.086,jab
1.816,0.908,1.092,0.458,0.931,0.976,1.932,2.181,0.773,jab
4.451,15.412,13.423,4.033,2.867,2.482,6.287,12.39,12.427,jab
2.076,1.301,1.502,0.295,1.28,1.169,0.936,1.4,0.292,jab
4.829,14.571,14.036,4.168,2.971,2.203,7.27,12.921,12.64,jab
1.882,1.743,1.395,0.878,1.003,1.59,1.37,1.249,0.371,jab
4.457,16.169,12.747,4.226,2.826,1.961,6.945,12.539,11.832,jab
2.148,1.652,1.748,0.96,1.423,1.779,1.207,1.72,0.341,jab
5.956,15.944,14.551,4.488,2.374,2.53,6.915,12.213,11.445,jab
2.591,2.269,1.653,0.663,1.118,1.586,0.751,1.229,0.321,jab
4.155,12.383,11.276,3.569,2.074,1.969,6.87,13.485,10.87,jab
2.109,2.058,1.642,1.108,1.284,1.652,1.469,1.278,0.613,jab
5.145,13.808,12.683,4.006,2.685,1.907,6.751,12.509,12.123,jab
1.822,1.001,1.219,0.624,1.398,1.311,1.361,1.043,0.55,jab
6.524,13.272,13.189,4.064,2.469,2.502,6.181,10.428,10.526,jab
1.768,1.155,0.796,0.425,1.123,1.307,1.055,1.222,0.637,jab
3.315,14.83,11.01,3.604,2.277,2.296,6.738,12.599,11.197,jab
1.569,1.033,0.824,0.401,1.055,0.677,1.13,1.259,0.627,jab
4.498,13.908,12.491,3.935,3.239,2.157,7.156,11.785,11.831,jab
1.595,1.095,0.885,0.284,0.932,0.733,0.91,0.845,0.402,jab
4.374,12.738,11.135,3.753,2.54,3.168,6.811,12.57,12.052,jab
1.637,1.039,0.79,0.378,0.774,0.697,1.071,1.182,0.371,jab
