"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.815761997E0,4.206338823E-1,-3.491967022E-1,1.229678392E-1
1.835615018E0,3.940030634E-1,-2.814878225E-1,1.320223212E-1
1.855548247E0,3.780245781E-1,-2.474003732E-1,1.187069044E-1
1.875437726E0,3.428718746E-1,-2.185724974E-1,8.668334037E-2
1.895320382E0,3.007285893E-1,-1.834198087E-1,4.886756465E-2
1.915226997E0,2.735651433E-1,-1.818219572E-1,4.194355011E-2
1.935084914E0,2.639780641E-1,-1.924742907E-1,4.780233279E-2
1.955003039E0,2.543909550E-1,-1.999309212E-1,1.744319126E-2
1.974871632E0,2.271609455E-1,-1.876807362E-1,-4.600474983E-2
1.994781060E0,2.085193694E-1,-1.370155960E-1,-1.456706226E-1
2.014665487E0,2.244978547E-1,-9.973244369E-2,-2.586518824E-1
2.034600382E0,2.149107605E-1,-1.508636326E-1,-3.284912407E-1
2.054478924E0,2.085193694E-1,-3.251623809E-1,-3.716997504E-1
2.074312882E0,2.410755455E-1,-5.405392051E-1,-4.292223454E-1
2.094213299E0,3.225658834E-1,-6.673684716E-1,-4.985290468E-1
2.114119653E0,4.260266423E-1,-7.281533480E-1,-5.816838145E-1
2.133986164E0,5.208989382E-1,-8.736242056E-1,-7.570477724E-1
2.153875174E0,6.098458767E-1,-1.199851871E0,-9.952605367E-1
2.173774185E0,7.196980715E-1,-1.665158987E0,-1.270290375E0
2.193681789E0,7.964614034E-1,-2.103835106E0,-1.638062119E0
2.213572935E0,8.513209224E-1,-2.100106955E0,-2.092716932E0
2.233445903E0,9.643021822E-1,-1.640658617E0,-2.597504139E0
2.253336997E0,1.222820878E0,-1.092729330E0,-2.956221342E0
2.273241737E0,1.569288015E0,-6.157047153E-1,-3.169933796E0
2.293136372E0,1.890655518E0,-1.130478531E-1,-3.464670420E0
2.313031268E0,2.242981195E0,4.428706169E-1,-3.781843424E0
2.332916476E0,2.739246607E0,1.141596913E0,-4.116526604E0
2.352789185E0,3.410809517E0,1.993383884E0,-4.562659264E0
2.372721685E0,4.144222736E0,2.866408825E0,-5.099403858E0
2.392656528E0,4.777969360E0,3.669128656E0,-5.634550095E0
2.412521997E0,5.010856152E0,4.413726330E0,-5.941004276E0
2.432355174E0,4.378706932E0,4.736159325E0,-5.794934273E0
2.452285122E0,2.869271755E0,3.700552940E0,-5.236352444E0
2.472158195E0,7.351439595E-1,7.051177025E-1,-4.702271461E0
2.492066580E0,-1.646317601E0,-3.894159079E0,-4.125580788E0
2.511924393E0,-3.730312824E0,-8.280721664E0,-2.624667645E0
2.531823872E0,-5.134822845E0,-9.540760040E0,-7.948635817E-1
2.551739289E0,-6.251452923E0,-7.724803448E0,1.061038613E0
2.571605174E0,-7.785388947E0,-4.499610901E0,2.607290983E0
2.591567049E0,-9.415328026E0,-2.392713070E0,3.153555870E0
2.611397257E0,-1.037417126E1,-3.499756575E0,2.860416889E0
2.631282674E0,-1.051438236E1,-5.891337872E0,2.737848520E0
2.651171216E0,-1.050266457E1,-5.873162270E0,3.141838312E0
2.671070174E0,-1.103082085E1,-3.871256590E0,3.974384308E0
2.690958872E0,-9.473383904E0,-1.449316144E0,4.515389442E0
2.710832518E0,-7.004040241E0,5.995930433E-1,4.466388702E0
2.730741737E0,-5.828222752E0,1.764159083E0,3.944025278E0
2.750645018E0,-4.993013382E0,1.989655614E0,3.114142179E0
2.770581424E0,-3.412141085E0,1.418757200E0,2.350902796E0
2.790421997E0,-7.834123373E-1,1.463563561E0,2.224006891E0
2.810302935E0,6.567827463E-1,2.792242169E-1,2.859884262E0
2.830230903E0,1.822480559E0,-6.162372828E-1,2.307161570E0
2.850074757E0,3.491833925E0,-5.165048838E-1,1.762960672E0
2.869989289E0,4.416589260E0,-1.005313635E0,1.865356207E0
2.889879914E0,4.604735851E0,-1.413564205E0,2.079068661E0
2.909767362E0,4.305139065E0,-1.320289731E0,2.584854603E0
2.929647466E0,3.714600801E0,-1.120957971E0,3.150360107E0
2.949556268E0,3.077657938E0,-1.315496206E0,3.437640190E0
2.969438351E0,2.595839739E0,-1.805836320E0,3.393965483E0
2.989335018E0,2.416747332E0,-2.352167606E0,3.169600964E0
3.009234393E0,2.373605490E0,-2.726863384E0,2.830590487E0
3.029123039E0,2.151304722E0,-2.886248827E0,2.398305655E0
3.048996320E0,1.678540945E0,-2.823866129E0,1.864823580E0
3.068867570E0,1.202048898E0,-2.492911577E0,1.232141733E0
3.088799653E0,9.781502485E-1,-2.071811676E0,6.569824815E-1
3.108679705E0,9.302147627E-1,-1.793586135E0,3.095167577E-1
3.128568612E0,8.625058532E-1,-1.676343918E0,6.910699606E-2
3.148475487E0,7.175676227E-1,-1.647050023E0,-1.643121988E-1
3.168359080E0,5.453993082E-1,-1.652376175E0,-3.610474169E-1
3.188257310E0,4.851470590E-1,-1.697115898E0,-4.671046734E-1
3.208131685E0,4.819513559E-1,-1.761629105E0,-4.265592396E-1
3.228019237E0,4.681033492E-1,-1.717887998E0,-2.997299433E-1
3.247899757E0,4.968646169E-1,-1.452511787E0,-2.320210636E-1
3.267817101E0,5.842803121E-1,-1.082609653E0,-2.080533206E-1
3.287689185E0,6.418694854E-1,-8.070471883E-1,-1.355509013E-1
3.307582987E0,6.232278943E-1,-6.860100627E-1,-4.334167019E-2
3.327490539E0,5.592473149E-1,-6.252917647E-1,-1.564561017E-2
3.347377622E0,4.942015409E-1,-5.565176606E-1,-1.937392540E-2
3.367278664E0,4.457334578E-1,-4.515256584E-1,-1.777607575E-2
3.387131893E0,3.785571754E-1,-3.363473415E-1,5.126433913E-3
3.407050122E0,2.788913250E-1,-2.302900702E-1,6.378082931E-2
3.426918143E0,1.754971445E-1,-1.263632625E-1,1.464029700E-1
3.446832205E0,1.184405982E-1,2.336854860E-2,1.666423976E-1
3.466722518E0,9.074454010E-2,1.880802065E-1,1.591857672E-1
3.486613924E0,7.689651102E-2,3.197696507E-1,1.559900641E-1
3.506506007E0,3.794892505E-2,3.794226944E-1,1.639793068E-1
3.526379237E0,-5.193010904E-3,3.991295099E-1,1.453377306E-1
3.546271789E0,-4.254274443E-2,4.045222402E-1,1.235004514E-1
3.566172310E0,-8.834776282E-2,4.071853161E-1,1.362832487E-1
3.586056737E0,-1.326215118E-1,4.343487620E-1,1.426746547E-1
3.605973507E0,-1.645784974E-1,4.593817294E-1,1.314896941E-1
3.625854810E0,-1.640458852E-1,4.567186534E-1,1.010639817E-1
3.645727362E0,-1.496652365E-1,4.252942801E-1,7.816147059E-2
3.665612153E0,-1.587197185E-1,3.938033283E-1,6.644391268E-2
3.685546476E0,-1.778939217E-1,3.724986613E-1,5.472634733E-2
3.705393924E0,-1.746982187E-1,3.197696507E-1,5.046541616E-2
3.725306060E0,-1.539261788E-1,2.472672164E-1,3.821523488E-2
3.745185018E0,-1.326215118E-1,1.667755395E-1,2.916075476E-2
3.765083455E0,-1.213699877E-1,7.563154399E-2,8.322132751E-3
3.784962518E0,-1.203047559E-1,-2.083862014E-2,-1.990654133E-2
3.804870382E0,-1.005979404E-1,-1.050586104E-1,-4.547213390E-2
3.824768039E0,-5.266245827E-2,-1.594520658E-1,-7.263557613E-2
3.844669549E0,-3.994623839E-4,-2.063223273E-1,-8.601756394E-2
3.864585018E0,2.143781446E-2,-2.852161527E-1,-9.560466558E-2
3.884410591E0,4.966649041E-2,-4.210999310E-1,-1.291595101E-1
3.904323664E0,1.003316343E-1,-5.980617404E-1,-1.931400597E-1
3.924204185E0,1.765623689E-1,-7.888716459E-1,-2.960016131E-1
3.944116476E0,2.746303976E-1,-9.583768249E-1,-3.993957937E-1
3.963982778E0,3.822855055E-1,-1.004781008E0,-5.342143774E-1
3.983882153E0,5.139083862E-1,-9.631704092E-1,-6.770887375E-1
4.003793872E0,6.626415253E-1,-9.716922641E-1,-7.346779108E-1
4.023648768E0,7.959287763E-1,-1.067629814E0,-7.490585446E-1
4.043569914E0,9.025186896E-1,-1.160371661E0,-8.268871307E-1
4.063451737E0,1.000054121E0,-1.245124221E0,-9.579773545E-1
4.083333664E0,1.089600205E0,-1.288332820E0,-1.044860482E0
4.103228091E0,1.170091867E0,-1.227547884E0,-1.065099835E0
4.123113560E0,1.186603069E0,-1.149186730E0,-1.060306311E0
4.143016685E0,1.130611658E0,-1.222221732E0,-1.061371565E0
4.162895747E0,1.011239052E0,-1.417292595E0,-1.143993735E0
4.182786789E0,8.220270276E-1,-1.753639817E0,-1.148254633E0
4.202686164E0,7.580464482E-1,-2.088322878E0,-9.936626554E-1
4.222597674E0,7.734923363E-1,-2.224805832E0,-1.040599465E0
4.242457987E0,9.110405445E-1,-2.194979191E0,-1.143993735E0
4.262335382E0,1.148720622E0,-1.901773810E0,-1.341727614E0
4.282238924E0,1.501046538E0,-1.168360949E0,-1.851841092E0
4.302117570E0,1.992451787E0,-5.545869470E-2,-2.616678238E0
4.322042830E0,2.521206856E0,1.229545236E0,-3.529716253E0
4.341912570E0,2.944437265E0,2.490648031E0,-4.605801105E0
4.361810018E0,3.006220818E0,3.449490786E0,-5.650528431E0
4.381696007E0,2.476467133E0,3.919125557E0,-6.339135170E0
4.401615747E0,1.463763356E0,4.001148224E0,-6.277285099E0
4.421570955E0,8.122402243E-3,3.318400621E0,-5.257124901E0
4.441384653E0,-1.708167672E0,7.920007706E-1,-3.654415131E0
4.461271632E0,-2.936181784E0,-2.814811707E0,-2.047976971E0
4.481196580E0,-3.382314682E0,-4.508731842E0,-7.906026244E-1
4.501056632E0,-3.761803865E0,-3.150093794E0,4.939352274E-1
4.520965851E0,-4.759061813E0,-9.226915240E-1,1.279011965E0
4.540840747E0,-6.063306332E0,-4.959991202E-2,5.290879011E-1
4.560745955E0,-8.201162338E0,-2.024941444E0,-7.416019440E-1
4.580639393E0,-1.070519257E1,-4.584896088E0,-1.455241442E0
4.600552830E0,-1.237454605E1,-6.539998055E0,1.187069044E-1
4.620387987E0,-1.270496750E1,-6.493061543E0,2.883386135E0
4.640269914E0,-9.966985703E0,-3.862202168E0,3.614069223E0
4.660211528E0,-6.535537720E0,-1.796781778E0,4.159868240E0
