"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.597265110E0,1.934799910E0,2.581977844E-1,8.192443848E-1
1.617153599E0,1.212332368E0,6.765413284E-2,1.717967987E-1
1.637038860E0,1.147323608E0,3.797655106E-1,4.280090332E-3
1.656927245E0,1.316180825E0,7.550315857E-1,-2.377791405E-1
1.676849068E0,1.269634724E0,1.137565136E0,-3.782038689E-1
1.696745787E0,1.271081686E0,1.228405952E0,-7.032275200E-1
1.716573652E0,1.565325141E0,1.311206341E0,-1.207300186E0
1.736479172E0,1.934115648E0,1.400503159E0,-1.513832092E0
1.756394902E0,2.189600468E0,1.550874233E0,-1.550645351E0
1.776273860E0,2.272393703E0,1.624704361E0,-1.411533356E0
1.796152245E0,2.283545732E0,1.598832130E0,-1.360382080E0
1.816071620E0,2.270455837E0,1.360528469E0,-1.438041687E0
1.835961464E0,2.268815517E0,1.275413513E0,-1.521267414E0
1.855827558E0,2.231619120E0,1.385798454E0,-1.341211796E0
1.875781099E0,2.032196522E0,1.288529396E0,-1.034149647E0
1.895622402E0,1.826143265E0,1.066316605E0,-8.439989090E-1
1.915512818E0,1.628957629E0,8.652658463E-1,-7.848439217E-1
1.935406204E0,1.434368014E0,8.124060631E-1,-7.936911583E-1
1.955326047E0,1.235174656E0,7.830162048E-1,-6.606769562E-1
1.975201672E0,1.118613243E0,6.406531334E-1,-5.238242149E-1
1.995076568E0,8.582364917E-1,4.409298897E-1,-4.168963432E-1
2.014972037E0,5.809155107E-1,3.522815704E-1,-2.667775154E-1
2.034878547E0,3.837877512E-1,3.781428337E-1,-2.036247253E-1
2.054816152E0,1.181697845E-1,3.474850655E-1,-1.399397850E-1
2.074659224E0,-1.303808093E-1,2.252159119E-1,-4.768848419E-3
2.094533808E0,-3.622422218E-1,2.144484520E-1,4.633808136E-2
2.114422558E0,-4.711768031E-1,2.988634109E-1,1.579432487E-1
2.134306464E0,-5.944268107E-1,2.352080345E-1,3.453397751E-1
2.154231672E0,-5.632632971E-1,1.412801743E-1,3.690490723E-1
2.174102141E0,-4.120041132E-1,1.610202789E-1,3.030214310E-1
2.194013391E0,-2.636088729E-1,2.527294159E-1,3.346767426E-1
2.213888704E0,-3.123993874E-1,1.995129585E-1,3.445186615E-1
2.233785839E0,-5.327438116E-1,7.847070694E-2,2.564549446E-1
2.253666881E0,-6.109637022E-1,5.798482895E-2,2.549834251E-1
2.273585422E0,-7.046458721E-1,-7.671833038E-3,3.225250244E-1
2.293462402E0,-9.087231159E-1,-3.365993500E-2,3.412985802E-1
2.313337870E0,-8.714202642E-1,8.153915405E-4,3.288121223E-1
2.333228131E0,-7.239754200E-1,3.200960159E-2,2.867074013E-1
2.353145422E0,-7.236617804E-1,4.921913147E-3,3.405671120E-1
2.373045683E0,-9.322341681E-1,-8.057594299E-3,4.219470024E-1
2.392967558E0,-1.109099030E0,-8.840751648E-2,4.239306450E-1
2.412828027E0,-1.237238169E0,-3.064603806E-1,5.099577904E-1
2.432762141E0,-1.400419831E0,-5.330696106E-1,5.891828537E-1
2.452629172E0,-1.362183928E0,-7.775087357E-1,3.524379730E-1
2.472484224E0,-1.044617057E0,-9.261384010E-1,-3.627696037E-1
2.492402297E0,-7.856647968E-1,-1.108029366E0,-1.646337032E0
2.512288443E0,-5.482770205E-1,-1.583309174E0,-2.905052185E0
2.532190422E0,-3.822758198E-1,-2.361324787E0,-3.537471771E0
2.552069849E0,-9.416651726E-2,-3.182543993E0,-3.890181541E0
2.571979016E0,6.575353146E-1,-4.052855492E0,-4.338466644E0
2.591826412E0,1.571103454E0,-4.887938499E0,-4.807234287E0
2.611767870E0,2.712195396E0,-5.803235054E0,-5.187633991E0
2.631643547E0,3.769960165E0,-6.554739952E0,-5.496986389E0
2.651515370E0,4.592871189E0,-7.014455318E0,-5.514000893E0
2.671445683E0,5.658133030E0,-6.587913513E0,-5.435512543E0
2.691309277E0,6.799745083E0,-5.557391644E0,-5.350061417E0
2.711207089E0,7.344365120E0,-4.788056374E0,-5.564047337E0
2.731105735E0,7.351303101E0,-3.195129871E0,-5.294121265E0
2.750972610E0,6.604683399E0,1.784571648E0,-4.916591167E0
2.770877037E0,4.539713860E0,7.842041016E0,-6.899389267E0
2.790800995E0,-8.487195969E-1,1.677024269E1,-1.220287800E1
2.810698443E0,-1.111287594E1,3.086285210E1,-1.816880417E1
2.830540995E0,-1.788114166E1,4.722822571E1,-2.285576630E1
2.850459068E0,-1.292386627E1,5.562257767E1,-3.646991730E1
2.870324016E0,-1.376305008E1,4.955006027E1,-5.262206268E1
2.890243079E0,-2.266589355E1,2.219502640E1,-5.424926376E1
2.910139329E0,-2.126239395E1,7.305991173E0,-5.401221085E1
2.930019068E0,-2.224908257E1,-8.312755585E0,-5.674524307E1
2.949898287E0,-2.880036354E1,-2.442626572E1,-5.337553406E1
2.969785266E0,-3.494955063E1,-3.755741882E1,-4.410374832E1
2.989727870E0,-2.967819405E1,-4.038452911E1,-2.636195946E1
3.009569120E0,-2.129330635E1,-3.952225113E1,-1.671102905E1
3.029468183E0,-1.388026047E1,-3.746786499E1,-1.266572094E1
3.049378235E0,-8.115112305E0,-2.982261658E1,-8.434115410E0
3.069266672E0,-5.028936386E0,-2.421366119E1,-7.141572952E0
3.089167454E0,-3.264695168E0,-1.884077263E1,-6.390522003E0
3.109046047E0,-2.643425941E0,-1.367262459E1,-4.609941959E0
3.128963443E0,-2.152189016E0,-9.135671616E0,-3.262813807E0
3.148866933E0,-1.630330443E0,-4.198883057E0,-2.367419481E0
3.168772870E0,-4.966381788E-1,1.613140106E-3,-1.517143965E0
3.188626152E0,3.467025757E-1,2.736148834E0,-3.097634315E-1
3.208497037E0,-8.558328152E-1,3.976469040E0,1.177681446E0
3.228404016E0,-1.892251849E0,4.844440460E0,2.400592804E0
3.248307714E0,-1.972766757E0,5.223710060E0,2.996047020E0
3.268200631E0,-1.863951206E0,4.898173809E0,2.208390236E0
3.288053704E0,-1.070239425E0,4.023498058E0,1.671523571E0
3.307978547E0,5.225080848E-1,3.259341240E0,2.146059036E0
3.327872089E0,2.914588451E0,2.517530441E0,1.423257828E0
3.347768339E0,3.824555397E0,1.290116787E0,5.510802269E-1
3.367627402E0,3.135144711E0,1.345005035E-1,1.251160145E0
3.387525891E0,2.897893429E0,-4.481568336E-1,1.658035755E0
3.407447818E0,3.272331953E0,-6.847338676E-1,4.485602379E-1
3.427303495E0,2.887498617E0,-3.099193573E-1,-1.297870159E0
3.447226672E0,2.097533941E0,1.398191452E-1,-1.637250423E0
3.467102141E0,1.527960300E0,8.544411659E-1,-1.360029221E0
3.487016724E0,1.394062877E0,1.017655849E0,-1.277266026E0
3.506908860E0,1.428773880E0,7.420744896E-1,-1.420038700E0
3.526786620E0,1.316676617E0,9.512839317E-1,-1.563126564E0
3.546686152E0,1.441191554E0,1.184302807E0,-1.486330986E0
3.566556933E0,1.682558060E0,1.205292225E0,-1.463670731E0
3.586450943E0,1.851432323E0,1.343367100E0,-1.669939995E0
3.606363860E0,2.074811697E0,1.600582600E0,-1.809481144E0
3.626226099E0,2.367977142E0,1.730678558E0,-1.676157951E0
3.646126933E0,2.400123119E0,1.807994843E0,-1.337991238E0
3.666033547E0,2.303534031E0,1.803952694E0,-1.110570431E0
3.685909329E0,1.966408372E0,1.613571167E0,-1.159662247E0
3.705815214E0,1.561967492E0,1.239366531E0,-1.151813507E0
3.725774485E0,1.331483960E0,8.912315369E-1,-7.096819878E-1
3.745599068E0,1.073841691E0,5.553188324E-1,-1.449394226E-1
3.765471516E0,7.285290956E-1,3.406400681E-1,2.819681168E-2
3.785396777E0,4.675039649E-1,2.430500984E-1,-9.042358398E-2
3.805283027E0,1.426036954E-1,2.561354637E-1,-1.790323257E-1
3.825161464E0,4.460763931E-2,1.849274635E-1,-7.172822952E-2
3.845058599E0,-2.277469635E-2,-1.107311249E-2,-3.119325638E-2
3.864971724E0,-1.394891739E-1,1.217088699E-1,4.156875610E-2
3.884854381E0,-1.911146641E-1,4.433779716E-1,2.011365891E-1
3.904786829E0,-4.549949169E-1,4.799394608E-1,2.605710030E-1
3.924632922E0,-6.252228022E-1,3.126077652E-1,2.237739563E-1
3.944502141E0,-6.300133467E-1,1.763916016E-1,1.720004082E-1
3.964429277E0,-6.752965450E-1,3.182649612E-2,1.849393845E-1
3.984278704E0,-7.691365480E-1,-6.634712219E-3,3.062667847E-1
4.004200631E0,-7.202556133E-1,5.624103546E-2,4.479031563E-1
4.024099068E0,-6.746455431E-1,-6.752681732E-2,5.094256401E-1
4.043966204E0,-1.012635350E0,-2.996125221E-1,5.646467209E-1
4.063862037E0,-1.580871224E0,-3.753566742E-1,7.496805191E-1
4.083752037E0,-2.140784979E0,-2.955641747E-1,8.309369087E-1
4.103661777E0,-2.515266895E0,-1.369853020E-1,5.331645012E-1
4.123531152E0,-2.494050503E0,-8.814811707E-3,-1.397562027E-2
4.143435631E0,-2.128804922E0,-5.293321609E-2,-6.890864372E-1
4.163326777E0,-1.847618341E0,-3.064060211E-1,-9.624261856E-1
4.183212558E0,-2.080962181E0,-1.179404259E0,-9.921312332E-1
4.203088964E0,-2.374026537E0,-1.854709625E0,-1.387585640E0
4.223001777E0,-1.637679935E0,-2.020549774E0,-1.827202797E0
4.242893235E0,-6.182682514E-2,-2.086825371E0,-2.343242645E0
4.262808652E0,1.617470026E0,-2.690205574E0,-3.108930111E0
4.282665579E0,2.603299379E0,-3.755414963E0,-3.671507359E0
4.302568495E0,3.171734571E0,-4.825268745E0,-4.175869942E0
4.322461985E0,3.839584351E0,-5.842319965E0,-4.648645401E0
4.342348808E0,4.845812798E0,-6.174254417E0,-4.840934753E0
4.362235787E0,6.175968170E0,-5.963916302E0,-4.961965561E0
4.382136152E0,7.479821682E0,-5.669336796E0,-5.556369781E0
4.402023027E0,8.466781616E0,-4.492368698E0,-6.200276375E0
4.421941047E0,9.157468796E0,-2.805893898E0,-6.684439182E0
4.441809433E0,9.796477318E0,-1.221532583E0,-6.935811043E0
4.461752558E0,9.894008636E0,2.399481773E0,-7.220198631E0
4.481602349E0,8.569354057E0,1.069761086E1,-9.871849060E0
