"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.542621417E0,-1.540113688E0,-1.040906334E1,1.218825817E0
1.562620417E0,-9.475395083E-1,-1.121577358E1,1.098484278E0
1.582620417E0,-3.833767474E-1,-1.136122799E1,1.296097755E0
1.602619083E0,-8.434960246E-2,-1.069992161E1,1.668252349E0
1.622619083E0,1.595359445E-1,-9.532395363E0,1.814088106E0
1.642618083E0,6.871129274E-1,-8.031058311E0,1.549270749E0
1.662618083E0,1.040223598E0,-6.283272743E0,1.292183638E0
1.682618083E0,1.019990206E0,-4.463485718E0,1.309585571E0
1.702617083E0,8.919996619E-1,-2.832517624E0,1.336898685E0
1.722617083E0,8.597140908E-1,-1.642024040E0,1.247277856E0
1.742616083E0,7.186185718E-1,-1.073131204E0,9.000794291E-1
1.762616083E0,5.772005320E-1,-8.330519199E-1,5.409972072E-1
1.782615083E0,5.085378289E-1,-5.946636200E-1,3.651426435E-1
1.802615083E0,5.697082877E-1,-5.553787351E-1,3.864329457E-1
1.822615083E0,6.826810241E-1,-9.529214501E-1,3.554643989E-1
1.842614083E0,9.231939316E-1,-1.525492072E0,4.178206995E-2
1.862614083E0,1.123137951E0,-1.634442091E0,-1.365745515E-1
1.882613083E0,1.057673335E0,-1.095160484E0,-1.807934791E-2
1.902613083E0,9.727758169E-1,-4.099373817E-1,1.800466776E-1
1.922612083E0,1.072907686E0,-1.891225278E-1,1.630339324E-1
1.942612083E0,1.347678304E0,-3.963998258E-1,-6.084797159E-2
1.962612083E0,1.556413293E0,-5.505782962E-1,-2.539246380E-1
1.982611083E0,1.458639979E0,-3.943085074E-1,-1.973876506E-1
2.002611083E0,1.194756150E0,-1.380112171E-1,-7.257440686E-2
2.022610083E0,1.161536813E0,-9.069405496E-2,-6.093539298E-2
2.042610083E0,1.236080170E0,-3.566103429E-2,-2.017204650E-2
2.062610083E0,1.133027554E0,-1.182284020E-2,4.205718637E-3
2.082609083E0,9.045731425E-1,-6.768922321E-3,-4.512920603E-2
2.102609083E0,5.994044542E-1,-7.165121287E-2,-1.113411114E-1
2.122608083E0,3.113832474E-1,-1.622112989E-1,-2.186191678E-1
2.142608083E0,1.192154139E-1,-1.305130273E-1,-2.638628185E-1
2.162607083E0,-3.482700512E-2,-5.011089612E-3,-2.663281560E-1
2.182607083E0,-1.734627485E-1,6.383839995E-2,-2.705775201E-1
2.202607083E0,-2.522563338E-1,2.816969343E-2,-2.652480006E-1
2.222606083E0,-2.764391005E-1,-4.842752218E-2,-2.695555687E-1
2.242606083E0,-2.414528430E-1,-8.015541732E-2,-2.586588860E-1
2.262605083E0,-1.853370667E-1,-7.187850773E-2,-2.237197906E-1
2.282605083E0,-1.355371624E-1,-1.006183922E-1,-1.724896282E-1
2.302605083E0,-1.002428532E-1,-1.663742810E-1,-1.299875677E-1
2.322604083E0,-5.969842523E-2,-2.407069206E-1,-1.061566100E-1
2.342604083E0,4.372607451E-3,-2.379352301E-1,-8.985853940E-2
2.362603083E0,5.308460817E-2,-1.781263351E-1,-4.898453131E-2
2.382603083E0,7.336505502E-2,-1.444480717E-1,2.185707213E-3
2.402603083E0,7.851327956E-2,-1.629004925E-1,3.737172857E-2
2.422602083E0,7.926731557E-2,-1.961367130E-1,3.986969590E-2
2.442602083E0,9.557357430E-2,-1.956048906E-1,1.950150542E-2
2.462601083E0,9.941840172E-2,-1.473547816E-1,7.474538870E-3
2.482601083E0,7.959329337E-2,-4.576237127E-2,1.234199852E-2
2.502601083E0,3.110066615E-2,4.093400016E-2,5.585363600E-3
2.522600083E0,-2.383067273E-2,6.035272777E-2,-4.127090052E-2
2.542600083E0,-5.575741827E-2,6.243801862E-2,-1.034009904E-1
2.562599083E0,-7.290412486E-2,1.358289570E-1,-1.162856221E-1
2.582599083E0,-8.963016421E-2,2.651101649E-1,-9.028279036E-2
2.602599333E0,-1.053925082E-1,3.415768743E-1,-6.541790813E-2
2.622598333E0,-1.150717810E-1,3.157175481E-1,-9.293694794E-2
2.642598333E0,-1.180196702E-1,2.622196376E-1,-1.522686630E-1
2.662597333E0,-1.086030826E-1,2.748370469E-1,-2.018826902E-1
2.682597333E0,-1.107405797E-1,4.301346838E-1,-1.908222586E-1
2.702597333E0,-1.226762682E-1,6.216728091E-1,-1.663341373E-1
2.722596333E0,-1.340792477E-1,7.012646794E-1,-1.904107928E-1
2.742596333E0,-1.667557359E-1,7.012769580E-1,-3.051559627E-1
2.762596333E0,-1.878481060E-1,7.738931775E-1,-5.014632344E-1
2.782595333E0,-2.473339736E-1,1.075459838E0,-6.353145242E-1
2.802595333E0,-3.366345763E-1,1.510043383E0,-7.173577547E-1
2.822594333E0,-4.375669956E-1,1.866524220E0,-8.947431445E-1
2.842594333E0,-5.587277412E-1,2.100860357E0,-1.234167218E0
2.862594333E0,-6.695780158E-1,2.372675896E0,-1.716994166E0
2.882593333E0,-8.476835489E-1,2.856465578E0,-2.103477001E0
2.902593333E0,-1.056774616E0,3.607778072E0,-2.362272978E0
2.922593333E0,-1.265934944E0,4.450079918E0,-2.578021526E0
2.942592333E0,-1.316746473E0,5.314227104E0,-2.953507185E0
2.962592333E0,-1.251002669E0,6.590667725E0,-3.313874960E0
2.982591333E0,-1.301785707E0,8.411299706E0,-3.110450268E0
3.002591333E0,-1.259882569E0,1.040905190E1,-2.785593271E0
3.022591333E0,-4.314661324E-1,1.176251221E1,-2.832669497E0
3.042590333E0,8.433083296E-1,1.293419075E1,-3.447415829E0
3.062590333E0,1.804397345E0,1.335346222E1,-4.462053776E0
3.082590333E0,2.871696711E0,1.238207340E1,-5.864744186E0
3.102589333E0,4.900063992E0,1.084211159E1,-7.626413822E0
3.122589333E0,4.628799915E0,9.616027832E0,-9.220347404E0
3.142588333E0,-5.266719818E0,-9.854140878E-2,8.646859169E0
3.162588333E0,-4.706178188E0,-1.772978067E0,1.240513682E0
3.182588333E0,7.086031884E-2,-2.146264315E0,-5.543899536E-1
3.202587333E0,9.344021082E-1,-3.297812462E0,2.284620523E0
3.222587333E0,2.035425305E-1,-2.326830626E0,2.493764162E0
3.242587333E0,-1.201545000E0,-4.891891003E0,1.474985957E0
3.262586333E0,-1.920490861E0,-5.032190800E0,-5.128074288E-1
3.282586333E0,-1.628964424E0,-5.969096184E0,-6.068816781E-1
3.302585333E0,-1.204372644E0,-7.598752022E0,1.207329392E0
3.322585333E0,-1.004761577E0,-8.526443481E0,2.202846289E0
3.342585333E0,-1.056637645E0,-9.326210022E0,2.185404301E0
3.362584333E0,-1.338011146E0,-1.006459713E1,1.591538191E0
3.382584333E0,-1.011114359E0,-1.053514481E1,1.185683131E0
3.402584333E0,-9.783416986E-2,-1.026296520E1,1.093824625E0
3.422583333E0,3.244532347E-1,-9.323632240E0,1.492590189E0
3.442583333E0,1.778327972E-1,-7.699014664E0,1.867094517E0
3.462583333E0,1.332561076E-1,-6.058597565E0,1.964431882E0
3.482582333E0,2.936504185E-1,-5.167531490E0,1.988576412E0
3.502582333E0,3.726041913E-1,-4.296135426E0,2.064401150E0
3.522581333E0,3.961928785E-1,-3.572592974E0,1.926902413E0
3.542581333E0,4.777881205E-1,-2.948515654E0,1.555320263E0
