"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.576855902E0,2.390782386E-1,-4.168390036E-1,8.430653811E-1
1.596740068E0,1.111836955E-1,-3.155752718E-1,7.306166887E-1
1.616651162E0,8.402025700E-2,-3.299559355E-1,6.266899109E-1
1.636541162E0,2.033929378E-1,-4.344153404E-1,5.009258389E-1
1.656428714E0,3.584509194E-1,-4.983958900E-1,4.135101438E-1
1.676295746E0,4.288228750E-1,-4.200347066E-1,3.404751122E-1
1.696175277E0,4.016594291E-1,-2.905423045E-1,2.211024314E-1
1.716079548E0,3.174394369E-1,-2.324205339E-1,1.166430190E-1
1.735952985E0,2.049907744E-1,-1.978004575E-1,8.994561434E-2
1.755881996E0,6.371425092E-2,-1.077216864E-1,1.016631797E-1
1.775757048E0,-7.536523789E-2,5.272903293E-2,1.288931966E-1
1.795628089E0,-1.915422082E-1,1.966020763E-1,1.262301207E-1
1.815539339E0,-2.955355942E-1,2.275604010E-1,1.187734827E-1
1.835416371E0,-3.509277105E-1,2.446041405E-1,1.032610238E-1
1.855302985E0,-3.925383687E-1,3.416069150E-1,6.065170467E-2
1.875225641E0,-4.890085459E-1,4.951336384E-1,5.159722641E-2
1.895120693E0,-6.126421690E-1,6.816825867E-1,6.011908874E-2
1.914992829E0,-7.325474620E-1,7.904028893E-1,-1.344856713E-2
1.934863818E0,-7.667014599E-1,7.408030033E-1,-4.167724028E-2
1.954746318E0,-7.496577501E-1,6.629744172E-1,-2.796236658E-3
1.974667621E0,-7.458628416E-1,6.192998290E-1,6.331478804E-2
1.994550068E0,-7.346779108E-1,5.579823852E-1,1.187734827E-1
2.014420016E0,-6.766226888E-1,4.882096052E-1,1.608501822E-1
2.034330016E0,-6.030550599E-1,4.652405083E-1,1.757634431E-1
2.054219443E0,-5.758916140E-1,4.599143565E-1,1.608501822E-1
2.074110902E0,-5.940005779E-1,3.879445493E-1,1.736329794E-1
2.094027152E0,-5.822830200E-1,2.925396264E-1,1.826874614E-1
2.113880589E0,-5.108458400E-1,3.219000995E-1,1.480673850E-1
2.133753454E0,-4.101147056E-1,4.790885448E-1,7.769543678E-2
2.153663193E0,-3.056553006E-1,5.905385613E-1,7.323476952E-3
2.173531423E0,-2.038589716E-1,5.217644572E-1,-4.860125855E-2
2.193420225E0,-1.047257185E-1,3.165739477E-1,-1.013968661E-1
2.213333350E0,-1.411433797E-2,1.321554780E-1,-1.344190985E-1
2.233214912E0,6.264901906E-2,1.081211492E-1,-1.525280476E-1
2.253129339E0,1.202381775E-1,1.539927423E-1,-1.370821744E-1
2.272996006E0,1.863491982E-1,1.172422096E-1,-9.447285533E-2
2.292878298E0,2.550567389E-1,-2.509955317E-2,-8.861406893E-2
2.312785121E0,2.598502934E-1,-1.967352182E-1,-1.360169351E-1
2.332669339E0,2.342846841E-1,-2.857487500E-1,-1.723014414E-1
2.352534600E0,2.422739416E-1,-2.745638192E-1,-1.840189993E-1
2.372434860E0,2.513284087E-1,-2.969337106E-1,-1.850842386E-1
2.392332100E0,2.177735716E-1,-3.784905970E-1,-2.015953511E-1
2.412237516E0,1.415428370E-1,-4.115128219E-1,-2.154433727E-1
2.432115173E0,-3.395430278E-3,-4.019257426E-1,-2.095845938E-1
2.452044027E0,-1.574547589E-1,-4.418719709E-1,-1.834863871E-1
2.471884548E0,-3.056553006E-1,-6.071162224E-1,-1.765623689E-1
2.491789079E0,-4.591154456E-1,-9.658334851E-1,-2.250304818E-1
2.511695225E0,-6.291532516E-1,-1.463696718E0,-3.246963322E-1
2.531583141E0,-8.780848980E-1,-2.023876190E0,-4.904732406E-1
2.551470746E0,-1.152049541E0,-2.719939470E0,-7.378070354E-1
2.571350381E0,-1.339131117E0,-3.613803148E0,-1.050652623E0
2.591263037E0,-1.333804846E0,-4.444751263E0,-1.620419145E0
2.611119860E0,-1.185604334E0,-5.007061481E0,-2.551033258E0
2.631039600E0,-8.380720615E-1,-5.639210701E0,-3.942693710E0
2.650892881E0,-5.241612196E-1,-6.650316238E0,-5.817304134E0
2.670804131E0,-5.406723619E-1,-8.191708565E0,-7.990845680E0
2.690706683E0,-1.039068222E0,-1.047723293E1,-9.629839897E0
2.710574443E0,-2.603429556E0,-1.252447701E1,-1.066012001E1
2.730467464E0,-4.822309971E0,-1.266788387E1,-1.114992714E1
2.750360850E0,-5.030163288E0,-1.092869186E1,-1.031791401E1
2.770249287E0,-1.778339982E0,-6.486670017E0,-6.999979019E0
2.790119235E0,2.424936295E0,7.824136615E-1,-1.929070473E0
2.810061266E0,2.043316603E0,5.429093361E0,5.076168060E0
2.829935850E0,3.936701715E-1,8.798691750E0,7.200176239E0
