"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718903395517295E9,"2024-06-20 19:09:55.517 UTC+02:00"
"PAUSE",3.005968861249858E2,1.718903696105145E9,"2024-06-20 19:14:56.105 UTC+02:00"
