"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717881870702181E9,"2024-06-08 23:24:30.702 UTC+02:00"
"PAUSE",1.205999664166666E2,1.717881991302211E9,"2024-06-08 23:26:31.302 UTC+02:00"
