"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.616651162E0,2.065526009E0,1.074176788E0,8.988487720E-1
1.636541162E0,2.129286766E0,5.535917282E-1,1.183628917E0
1.656428714E0,2.278834820E0,2.833642960E-1,1.561889291E0
1.676295746E0,2.186396122E0,4.191260338E-1,1.476163268E0
1.696175277E0,1.956552982E0,1.086188316E0,7.618870735E-1
1.716079548E0,1.882156849E0,1.565832138E0,1.333261728E-1
1.735952985E0,1.879441738E0,1.605892181E0,-3.610181808E-2
1.755881996E0,1.874523640E0,1.632941246E0,-3.877127171E-2
1.775757048E0,1.740473747E0,1.645047665E0,-1.401652098E-1
1.795628089E0,1.646307945E0,1.722013474E0,5.908751488E-2
1.815539339E0,1.799824715E0,1.432464600E0,1.889826059E-1
1.835416371E0,1.843235016E0,1.224065304E0,1.909756660E-2
1.855302985E0,1.797152519E0,1.678853989E0,9.154677391E-3
1.875225641E0,1.789541245E0,1.910789967E0,-5.433750153E-2
1.895120693E0,1.429852009E0,1.533109188E0,3.488913774E-1
1.914992829E0,8.587322235E-1,1.150648117E0,6.111773252E-1
1.934863818E0,4.318337440E-1,8.534131050E-1,2.843786478E-1
1.954746318E0,1.667399406E-1,8.408575058E-1,-1.076468229E-1
1.974667621E0,-5.817413330E-5,6.816687584E-1,-2.095406055E-1
1.994550068E0,-2.443232536E-1,9.419488907E-2,-3.459068537E-1
2.014420016E0,-4.352669716E-1,-5.040283203E-1,-8.376159072E-1
2.034330016E0,-6.182494164E-1,-8.453183174E-1,-1.259862900E0
2.054219443E0,-7.075519562E-1,-1.126181126E0,-1.262132406E0
2.074110902E0,-7.832875252E-1,-1.568646908E0,-1.014381647E0
2.094027152E0,-6.382436752E-1,-1.855025768E0,-8.813323975E-1
2.113880589E0,-4.425272942E-1,-1.712669373E0,-9.563690424E-1
2.133753454E0,-5.715961456E-1,-1.597895145E0,-9.958997369E-1
2.153663193E0,-1.003990173E0,-1.591958046E0,-8.646626472E-1
2.173531423E0,-1.497643948E0,-1.615061283E0,-6.399646401E-1
2.193420225E0,-1.710480213E0,-1.507439137E0,-5.766131878E-1
2.213333350E0,-1.667366505E0,-1.195646763E0,-6.797527671E-1
2.233214912E0,-1.520154476E0,-7.680788040E-1,-5.981777310E-1
2.253129339E0,-1.331953049E0,-7.273254395E-1,-2.046366930E-1
2.272996006E0,-1.216180801E0,-9.155969620E-1,-1.328452826E-1
2.292878298E0,-1.169514656E0,-7.213492393E-1,-3.270196915E-2
