"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717882739015210E9,"2024-06-08 23:38:59.015 UTC+02:00"
"PAUSE",3.005882146249987E2,1.717883039603351E9,"2024-06-08 23:43:59.603 UTC+02:00"
