"event","experiment time","system time","system time text"
"START",0.000000000E0,1718967838.508,"2024-06-21 13:03:58.508 UTC+02:00"
"PAUSE",3.000920897E2,1718968138.600,"2024-06-21 13:08:58.600 UTC+02:00"
