"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717921793870017E9,"2024-06-09 10:29:53.870 UTC+02:00"
"PAUSE",3.006085512083337E2,1.717922094478597E9,"2024-06-09 10:34:54.479 UTC+02:00"
