"event","experiment time","system time","system time text"
"START",0.000000000E0,1718966157.685,"2024-06-21 12:35:57.685 UTC+02:00"
"PAUSE",3.000927082E2,1718966457.778,"2024-06-21 12:40:57.778 UTC+02:00"
