"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.574924651E0,-3.473567963E-1,3.451004982E0,3.681293964E0
1.594815588E0,-2.649426460E-1,2.863246918E0,4.644200802E0
1.614681682E0,-2.458069324E0,2.171477318E0,1.465659142E-1
1.634581057E0,-2.100667477E0,2.090610504E0,1.155648947E0
1.654467463E0,7.971799374E-2,1.756146431E0,4.548199654E0
1.674383817E0,7.203388214E-2,1.598742485E0,2.105483770E0
1.694282098E0,-8.919308186E-1,2.733065605E0,-1.018769264E0
1.714159338E0,-8.309035301E-1,3.844686508E0,1.242825031E0
1.734039494E0,-1.153323650E-1,3.746591568E0,2.313917637E0
1.753930848E0,-7.720854282E-1,3.344394684E0,2.996277809E-2
1.773812411E0,-2.372858286E0,3.342218399E0,-9.828858376E-1
1.793708401E0,-3.575751305E0,2.975553513E0,-9.434809685E-1
1.813619026E0,-3.551770687E0,2.807211876E0,2.123951912E-2
1.833499755E0,-3.061285973E0,2.295006752E0,-4.510474205E-2
1.853383921E0,-3.050529242E0,2.380399704E0,-5.756998062E-2
1.873252203E0,-3.250174046E0,2.670906067E0,4.220967293E-1
1.893186005E0,-3.057625294E0,2.221828461E0,5.490252972E-1
1.913053192E0,-2.728290558E0,1.570731163E0,4.525442123E-1
1.932959963E0,-2.043693066E0,7.882156372E-1,-3.891055584E-1
1.952824078E0,-1.337445974E0,8.272609711E-1,-1.010572076E0
1.972723817E0,-6.659457684E-1,8.137264252E-1,-1.448041677E0
1.992630171E0,-3.346827030E-1,4.202079773E-1,-1.734781623E0
2.012496890E0,-1.753051281E-1,-1.757755280E-1,-1.802635908E0
2.032395536E0,-1.617023945E-1,-1.126391888E0,-1.690379381E0
2.052312203E0,4.865503311E-2,-1.252841949E0,-1.391904473E0
2.072185171E0,4.677090645E-1,-9.245405197E-1,-1.335476041E0
2.092061057E0,7.368407249E-1,3.171148300E-1,-1.223816037E0
2.111944494E0,1.031365156E0,8.469619751E-1,-9.117034674E-1
2.131852463E0,1.144943237E0,7.430505753E-1,-3.693759441E-1
2.151712723E0,1.460882187E0,1.166824341E0,-1.741805077E-1
2.171602619E0,1.728068113E0,1.220400810E0,-2.035176754E-1
2.191501421E0,1.742596149E0,7.930345535E-1,-3.872752190E-2
2.211402463E0,1.557382107E0,1.380748749E-1,6.679503918E-1
2.231284963E0,8.306293488E-1,-3.556814194E-1,1.026468039E0
2.251216109E0,-2.458143234E-2,-5.541238785E-1,1.083387613E0
2.271081005E0,-7.498724461E-1,-3.071632385E-1,9.701912403E-1
2.290982880E0,-9.477200508E-1,-1.366310120E-1,6.484422684E-1
2.310841578E0,-5.607168674E-1,-1.107196808E-1,4.677848816E-1
2.330759442E0,-1.975126266E-1,-4.209899902E-2,2.532188892E-1
2.350656005E0,-8.940219879E-3,1.771259308E-2,1.277263165E-1
2.370552984E0,1.319441795E-1,3.539657593E-2,2.572731972E-1
2.390448192E0,2.682359219E-1,-4.029464722E-2,3.754043579E-1
2.410345588E0,3.259079456E-1,4.382133484E-2,4.593853951E-1
2.430219598E0,3.261909485E-1,2.498083115E-1,4.099888802E-1
2.450107828E0,4.873201847E-1,3.042020798E-1,4.925899506E-1
2.470006005E0,8.388268948E-1,1.987476349E-1,7.008247375E-1
2.489900484E0,9.602048397E-1,3.765773773E-2,8.027663231E-1
2.509814234E0,8.953199387E-1,-2.398595810E-1,9.398033619E-1
2.529679286E0,1.160028934E0,-5.858097076E-1,1.160171986E0
2.549559807E0,1.706769466E0,-1.051478386E0,1.226000786E0
2.569446057E0,1.941859007E0,-1.460898876E0,1.147937298E0
2.589325171E0,1.954809189E0,-1.527313232E0,9.344367981E-1
2.609219911E0,2.018238306E0,-1.355376720E0,6.170156002E-1
2.629141994E0,2.250164270E0,-1.447774887E0,3.593761921E-1
2.649033921E0,2.492472649E0,-1.771899223E0,2.912855148E-2
2.668916109E0,2.310005665E0,-1.817728996E0,-5.953814983E-1
2.688788557E0,1.753652096E0,-1.405548096E0,-1.134419918E0
2.708683088E0,1.114177465E0,-1.341848850E0,-1.654563546E0
2.728592463E0,-1.168749332E-1,-1.624682426E0,-1.545179486E0
2.748476890E0,-1.430447578E0,-1.569374561E0,-1.378954291E0
2.768382984E0,-1.196106195E0,-1.702390194E0,-1.927092671E0
2.788270432E0,-6.069324017E-1,-1.938371658E0,-2.018427610E0
2.808163401E0,-9.458725452E-1,-2.022576809E0,-1.292277694E0
2.828036161E0,-1.675565958E0,-2.191357613E0,-1.225240231E0
2.847927411E0,-3.070492744E-1,-2.469368458E0,-2.007122278E0
2.867812307E0,-2.580833435E-1,-2.030935287E0,-1.664300680E0
2.887705432E0,-1.161039352E0,-1.738663673E0,-1.192909122E0
2.907595744E0,-2.208604097E0,-1.831309319E0,-7.209993005E-1
2.927490744E0,-3.185332775E0,-2.011740685E0,-2.448193878E-1
