"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717924734372004E9,"2024-06-09 11:18:54.372 UTC+02:00"
"PAUSE",3.006071797916666E2,1.717925034979308E9,"2024-06-09 11:23:54.979 UTC+02:00"
