"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.513358771E0,9.466941357E-1,-2.290649414E-1,-7.307466269E-1
1.533280177E0,1.064714909E0,5.724906921E-2,-6.517397761E-1
1.553195333E0,1.018702507E0,2.953367233E-1,-5.699989200E-1
1.573046271E0,9.605131149E-1,6.180067062E-1,-3.623415232E-1
1.592951323E0,9.822120667E-1,8.453130722E-1,-1.500194073E-1
1.612851583E0,9.994769096E-1,9.705018997E-1,2.835690975E-2
1.632728042E0,1.105473518E0,1.168980598E0,2.338043451E-1
1.652620594E0,1.289459944E0,1.345114708E0,1.420292854E-1
1.672512000E0,1.480165482E0,1.535518646E0,-2.959752083E-2
1.692393667E0,1.532217741E0,1.755977631E0,1.060625315E-1
1.712313510E0,1.506377935E0,1.873768806E0,1.617659330E-1
1.732250125E0,1.493178368E0,1.854984283E0,1.624798775E-2
1.752083042E0,1.533815384E0,1.785455704E0,-1.006908417E-1
1.771984656E0,1.661974669E0,1.713788033E0,-2.337908745E-1
1.791863198E0,1.734319210E0,1.783119202E0,-2.963622212E-1
1.811752000E0,1.749939680E0,1.682426453E0,-3.101656437E-1
1.831641323E0,1.759002209E0,1.452694893E0,-3.621021509E-1
1.851514240E0,1.707869530E0,1.229727745E0,-4.071929455E-1
1.871420542E0,1.561561823E0,1.019610405E0,-4.879649878E-1
1.891311167E0,1.454179525E0,7.843675613E-1,-6.338328123E-1
1.911226115E0,1.270537853E0,5.008420944E-1,-7.851248384E-1
1.931088354E0,1.106328964E0,2.615833282E-1,-8.438468575E-1
1.950990229E0,8.449413776E-1,5.725669861E-2,-7.118847370E-1
1.970880229E0,5.384888649E-1,-1.531658173E-1,-4.758243561E-1
1.990772885E0,3.511128426E-1,-3.763103485E-1,-4.209052324E-1
2.010655698E0,1.479415894E-1,-4.948825836E-1,-4.212480783E-1
2.030565073E0,-1.091117859E-1,-6.390624046E-1,-4.048810005E-1
2.050433042E0,-3.715648651E-1,-7.759199142E-1,-1.952500343E-1
2.070346323E0,-5.726394653E-1,-8.508005142E-1,-5.059516430E-2
2.090237729E0,-7.456350327E-1,-8.522562981E-1,-7.663321495E-2
2.110130646E0,-1.025773048E0,-6.798505783E-1,-1.733803749E-2
2.130010958E0,-1.417921543E0,-5.670480728E-1,1.596853733E-1
2.149886375E0,-1.839682579E0,-6.711421013E-1,2.797582150E-1
2.169789656E0,-2.149833679E0,-7.881040573E-1,1.954504251E-1
2.189692885E0,-2.252976418E0,-8.281078339E-1,1.021795273E-1
2.209557417E0,-2.166734695E0,-8.121466637E-1,8.940386772E-2
2.229460802E0,-2.024965286E0,-8.172049522E-1,3.164529800E-2
2.249341792E0,-1.864222050E0,-8.935637474E-1,-4.278969765E-2
2.269254240E0,-1.622766972E0,-9.905042648E-1,-1.127227545E-1
2.289158562E0,-1.506710529E0,-1.124813080E0,-2.208094597E-1
2.309023979E0,-1.533904076E0,-1.174869061E0,-2.338182926E-1
2.328914917E0,-1.501311779E0,-1.181449413E0,-2.480709553E-1
2.348826896E0,-1.317234993E0,-1.177728176E0,-3.210989237E-1
2.368700750E0,-1.049684525E0,-1.064250946E0,-2.970290184E-1
2.388603302E0,-9.340190887E-1,-1.062210083E0,-2.220222950E-1
2.408493198E0,-1.026576519E0,-1.094456196E0,-1.185168028E-1
2.428409240E0,-1.071934700E0,-1.003111362E0,-2.034876347E-1
2.448295385E0,-9.493117332E-1,-8.183388710E-1,-2.604233027E-1
2.468200594E0,-6.542730331E-1,-6.146059036E-1,-2.424255610E-1
2.488049708E0,-4.340825081E-1,-5.189790726E-1,-1.375349760E-1
2.507940750E0,-3.940701485E-1,-4.534997940E-1,6.243956089E-2
2.527849552E0,-2.745327950E-1,-3.962206841E-1,1.715141535E-1
2.547725281E0,-6.148386002E-2,-2.483310699E-1,2.515634298E-1
2.567641427E0,2.263612747E-1,1.039800644E-1,3.532906771E-1
2.587518979E0,5.103526115E-1,5.369873047E-1,2.429908514E-1
2.607427885E0,6.750931740E-1,8.001642227E-1,-1.956784725E-2
2.627314656E0,7.963562012E-1,9.831314087E-1,-3.658723831E-1
2.647204969E0,1.007678986E0,1.184501648E0,-5.940655470E-1
2.667101948E0,1.178111076E0,1.282888412E0,-6.552209258E-1
2.686983198E0,1.360259533E0,1.367913246E0,-6.608991623E-1
2.706894135E0,1.577440977E0,1.426767349E0,-7.086052299E-1
2.726764604E0,1.802185297E0,1.457377434E0,-6.923242211E-1
2.746641896E0,1.976456881E0,1.534188271E0,-5.899072886E-1
2.766545646E0,2.009569883E0,1.639950752E0,-4.653535485E-1
2.786450385E0,1.915741444E0,1.731059074E0,-3.322904110E-1
2.806365542E0,1.703871965E0,1.705824852E0,-1.953251362E-1
2.826281948E0,1.477483988E0,1.701520920E0,-1.406686306E-1
2.846109604E0,1.248731613E0,1.750646591E0,-8.462131023E-2
2.865995958E0,9.838190079E-1,1.718591690E0,9.122502804E-2
2.885885750E0,7.663755417E-1,1.481580734E0,8.206582069E-2
2.905787312E0,6.525125504E-1,1.201321602E0,-5.851161480E-2
2.925677521E0,6.234412193E-1,1.032777786E0,-2.141036987E-1
2.945580073E0,5.895509720E-1,7.657423019E-1,-3.030102253E-1
2.965484552E0,5.566263199E-1,4.103794098E-1,-3.628814220E-1
2.985342104E0,6.166968346E-1,5.928802490E-2,-4.246665239E-1
3.005249344E0,6.521372795E-1,-2.763528824E-1,-4.503709078E-1
3.025140646E0,5.811855793E-1,-4.787797928E-1,-5.185940266E-1
3.045038094E0,4.157636166E-1,-6.322231293E-1,-4.764817953E-1
3.064917833E0,3.186156750E-1,-8.413467407E-1,-3.585952520E-1
3.084821323E0,2.332689762E-1,-9.956827164E-1,-3.407245874E-1
3.104734656E0,1.353271008E-1,-1.033668518E0,-3.584488630E-1
3.124602625E0,4.289865494E-2,-9.842252731E-1,-3.786978722E-1
3.144497781E0,-1.981539726E-1,-1.011144161E0,-4.404646158E-1
3.164381896E0,-5.195555687E-1,-1.082247257E0,-5.085711479E-1
3.184295594E0,-6.964926720E-1,-1.128304482E0,-5.275681019E-1
3.204226583E0,-8.298368454E-1,-1.095876217E0,-5.756622553E-1
3.224073146E0,-1.032844543E0,-9.641232491E-1,-5.544683933E-1
3.243954240E0,-1.263142824E0,-8.226270676E-1,-5.010296106E-1
3.263842000E0,-1.437782049E0,-7.764587402E-1,-3.944485188E-1
3.283726896E0,-1.563632965E0,-7.223281860E-1,-1.667813063E-1
3.303627104E0,-1.634961367E0,-6.290931702E-1,9.844338894E-2
3.323514292E0,-1.676299095E0,-4.950885773E-1,2.757927179E-1
3.343402052E0,-1.815758705E0,-4.004163742E-1,4.753488302E-1
3.363301115E0,-1.948652744E0,-3.890571594E-1,5.627930164E-1
3.383208823E0,-1.940629959E0,-3.839225769E-1,4.441454411E-1
3.403074708E0,-1.794342518E0,-3.465270996E-1,3.048762083E-1
3.422966010E0,-1.683204651E0,-3.331336975E-1,3.439717293E-1
3.442894031E0,-1.536689281E0,-3.425168991E-1,4.385133982E-1
3.462764865E0,-1.152472496E0,-3.272581100E-1,2.532286644E-1
3.482650229E0,-7.402262688E-1,-3.630266190E-1,-1.569867134E-2
3.502541062E0,-6.067819595E-1,-3.308677673E-1,-3.675341606E-3
3.522442573E0,-7.794852257E-1,-3.132610321E-1,2.034224272E-1
3.542329552E0,-7.016606331E-1,-3.058366776E-1,1.840229034E-1
3.562245802E0,-3.625974655E-1,-2.998523712E-1,2.705895901E-2
3.582109448E0,-1.007127762E-2,-3.044080734E-1,5.789959431E-2
3.602005750E0,2.863969803E-1,-2.436952591E-1,5.331599712E-2
3.621913198E0,6.102848053E-1,-2.438564301E-1,-1.551449299E-1
3.641795073E0,9.281923771E-1,-2.882413864E-1,-3.245557547E-1
3.661675177E0,1.081242800E0,-2.099475861E-1,-2.847123146E-1
3.681565281E0,1.083979607E0,-5.969905853E-2,-2.194844484E-1
3.701440021E0,1.118085384E0,1.350536346E-1,-2.870290279E-1
3.721363198E0,1.281043530E0,3.327093124E-1,-3.212603331E-1
3.741270698E0,1.413166523E0,4.870243073E-1,-2.926552296E-1
3.761117625E0,1.424285889E0,7.310171127E-1,-1.795762777E-1
3.781006219E0,1.388702393E0,1.044374466E0,-1.382044554E-1
3.800927885E0,1.351024151E0,1.326223373E0,-2.307841778E-1
3.820796115E0,1.333260536E0,1.476576805E0,-2.794988751E-1
3.840702781E0,1.288937807E0,1.539699554E0,-2.034081817E-1
3.860574604E0,1.198379278E0,1.623696327E0,-2.252393961E-1
3.880489344E0,1.081528425E0,1.650451660E0,-3.508814573E-1
3.900392417E0,9.596619606E-1,1.632984161E0,-4.158160686E-1
3.920283927E0,8.592689037E-1,1.557232857E0,-4.793504477E-1
3.940178562E0,7.937176228E-1,1.452630043E0,-4.670266509E-1
3.960037677E0,7.434549332E-1,1.323993683E0,-4.406378269E-1
3.979925437E0,7.159984112E-1,1.188457489E0,-4.493537545E-1
3.999841323E0,7.088267803E-1,1.066267967E0,-4.974792600E-1
4.019722677E0,6.535434723E-1,8.576135635E-1,-5.160299540E-1
4.039618510E0,5.904960632E-1,6.081886292E-1,-5.217043757E-1
4.059483458E0,5.347747803E-1,2.861452103E-1,-5.376093984E-1
4.079378667E0,5.010495186E-1,-3.350734711E-2,-6.475247145E-1
4.099270437E0,4.358131886E-1,-3.532190323E-1,-7.040187716E-1
4.119182260E0,3.799929619E-1,-6.677732468E-1,-6.392591000E-1
4.139070750E0,3.241546154E-1,-8.791756630E-1,-6.122742891E-1
4.158968927E0,2.088694572E-1,-1.006953716E0,-6.039086580E-1
4.178876062E0,-3.076648712E-2,-1.122623920E0,-4.919829369E-1
4.198745073E0,-3.358445168E-1,-1.167240143E0,-3.742654324E-1
4.218637000E0,-5.522150993E-1,-1.169267178E0,-3.514078856E-1
4.238543615E0,-6.858205795E-1,-1.093794346E0,-2.283535004E-1
4.258432833E0,-8.645467758E-1,-1.014551640E0,-6.219720840E-2
4.278345073E0,-1.043421745E0,-8.622994423E-1,6.420147419E-2
4.298222781E0,-1.332050323E0,-7.068748474E-1,1.829886436E-1
4.318074396E0,-1.543933868E0,-6.335697174E-1,2.798408270E-1
4.337987365E0,-1.646697521E0,-6.249704361E-1,3.395297527E-1
4.357895281E0,-1.720201492E0,-5.571613312E-1,4.645421505E-1
4.377756271E0,-1.763083458E0,-4.010019302E-1,5.085461140E-1
4.397676844E0,-1.767269135E0,-3.196897507E-1,4.383623600E-1
4.417573510E0,-1.694473267E0,-3.061590195E-1,3.605148792E-1
4.437466323E0,-1.643468380E0,-3.353815079E-1,3.316757679E-1
4.457355073E0,-1.592125416E0,-3.477745056E-1,3.541692495E-1
4.477213615E0,-1.502968788E0,-3.395853043E-1,2.360136509E-1
4.497133615E0,-1.222396851E0,-3.512535095E-1,6.170248985E-2
4.517023927E0,-8.996543884E-1,-3.945055008E-1,-9.646499157E-2
