X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
5.92,4.834,5.119,0.389,0.634,0.434,1012.916336,cross
7.504,5.765,2.706,0.253,0.855,0.656,1012.918625,cross
8.805,4.629,2.144,0.627,1.21,1.03,1012.918625,cross
8.77,5.464,1.38,0.286,0.423,0.268,1012.914429,cross
11.383,13.345,5.835,1.161,4.186,2.298,1012.912674,cross
9.632,13.293,5.682,1.08,3.793,2.157,1012.912674,cross
9.519,15.046,5.062,1.354,3.42,2.154,1012.920761,cross
9.434,17.381,5.571,1.526,3.736,2.408,1012.920761,cross
8.958,14.924,5.93,1.517,3.851,2.44,1012.9245,cross
8.051,11.731,5.689,1.196,2.062,1.588,1012.920685,cross
10.092,4.102,2.032,0.892,1.203,1.251,1012.913208,cross
8.715,4.435,2.435,0.645,1.614,1.18,1012.903748,cross
9.103,15.789,6.567,1.36,4.446,2.559,1012.90329,cross
13.233,20.918,7.563,1.927,5.379,3.167,1012.90329,cross
10.426,19.873,8.297,1.864,4.581,3.492,1012.918167,cross
6.127,6.761,6.354,0.94,1.842,1.517,1012.920303,cross
8.63,4.965,2.821,0.179,0.565,0.383,1012.920303,cross
8.672,5.222,1.934,0.205,0.273,0.168,1012.924347,cross
8.743,13.896,3.667,0.998,3.294,2.312,1012.924881,cross
11.996,17.971,8.374,1.592,5.957,3.286,1012.925568,cross
10.978,17.961,6.487,1.289,3.917,2.529,1012.925568,cross
12.008,20.849,5.043,1.708,4.564,2.694,1012.926178,cross
13.286,22.912,7.287,1.247,5.846,4.027,1012.928314,cross
10.462,17.793,6.754,1.499,4.81,2.651,1012.928314,cross
14.847,16.532,4.951,1.569,5.134,3.225,1012.926178,cross
11.833,15.706,5.06,1.349,3.767,2.829,1012.906189,cross
11.996,16.205,4.732,1.248,3.853,2.679,1012.90329,cross
11.806,17.042,4.907,1.267,4.127,2.717,1012.90329,cross
11.319,15.127,4.483,1.142,4.017,2.699,1012.91069,cross
8.74,20.361,4.298,1.841,5.975,2.928,1012.926407,cross
10.837,11.858,6.378,1.222,3.995,3.175,1012.926788,cross
14.968,17.01,5.426,1.423,5.454,3.262,1012.935638,cross
12.745,13.945,6.912,1.504,5.119,2.52,1012.94075,cross
15.06,16.617,4.973,1.611,4.84,3.503,1012.94075,cross
9.774,15.694,6.296,2.119,4.341,2.714,1012.933426,cross
10.945,11.435,4.392,1.386,3.989,2.316,1012.928009,cross
7.577,10.94,5.712,1.208,2.687,1.954,1012.9245,cross
10.545,14.731,5.908,1.828,4.794,2.894,1012.920761,cross
11.252,16.062,3.969,1.52,4.639,2.529,1012.920761,cross
11.406,8.463,5.489,1.383,2.733,2.205,1012.918625,cross
12.105,13.949,5.875,1.626,5.085,3.221,1012.9245,cross
13.67,13.962,6.579,1.511,5.313,3.358,1012.9245,cross
12.304,15.796,5.159,2.05,4.833,3.216,1012.930679,cross
15.728,15.566,8.629,2.249,6.041,3.593,1012.931747,cross
12.219,16.217,7.275,1.7,4.653,2.629,1012.930679,cross
8.004,4.313,1.676,0.564,1.249,0.99,1012.920761,cross
8.103,6.082,0.936,0.353,0.79,0.523,1012.916794,cross
8.975,3.238,1.451,0.32,1.089,0.524,1012.914047,cross
17.265,15.702,5.993,1.394,4.182,2.969,1012.914047,cross
9.627,12.347,3.767,1.365,2.909,2.424,1012.914047,cross
12.81,12.632,6.386,1.526,4.273,2.37,1012.917328,cross
11.186,13.573,5.502,1.032,3.782,2.91,1012.921371,cross
11.004,14.793,8.166,1.707,4.378,2.909,1012.921371,cross
9.581,4.047,1.672,0.236,0.645,0.488,1012.908325,cross
8.268,3.896,0.834,0.578,0.552,0.446,1012.908325,cross
7.983,6.183,1.074,0.322,0.669,0.584,1012.910004,cross
7.39,4.721,1.394,0.507,0.52,0.405,1012.91626,cross
17.287,15.344,6.934,1.368,4.074,3.176,1012.92366,cross
15.787,15.027,6.402,1.457,4.39,3.322,1012.929001,cross
12.593,14.514,7.465,1.604,3.176,2.96,1012.929611,cross
13.409,14.698,4.765,1.119,4.091,3.064,1012.930603,cross
15.142,15.904,6.495,1.255,4.338,2.635,1012.937393,cross
9.703,12.375,3.732,1.332,2.811,2.201,1012.943039,cross
7.396,5.852,5.018,0.654,1.53,1.666,1012.944489,cross
9.614,4.233,1.171,0.444,1.301,0.823,1012.944489,cross
