X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.479,4.791,1.364,0.302,0.187,0.149,1012.988281,lft_nopunch
8.251,5.131,2.174,0.331,0.332,0.284,1012.988129,lft_nopunch
8.485,4.569,2.076,0.178,0.698,0.173,1012.988129,lft_nopunch
8.754,4.814,1.507,0.226,0.418,0.214,1012.9879,lft_nopunch
8.552,4.808,1.228,0.624,0.909,0.208,1012.986221,lft_nopunch
8.715,4.505,1.253,0.552,0.379,0.189,1012.985306,lft_nopunch
8.222,4.991,1.153,0.375,0.253,0.304,1012.983017,lft_nopunch
8.586,4.905,0.892,0.715,0.389,0.163,1012.982407,lft_nopunch
8.305,5.152,1.777,0.345,0.371,0.169,1012.981949,lft_nopunch
8.123,5.003,1.6,0.187,0.139,0.121,1012.981949,lft_nopunch
8.764,4.805,1.951,0.246,0.269,0.179,1012.981949,lft_nopunch
8.685,4.733,1.439,0.313,0.168,0.212,1012.981949,lft_nopunch
8.353,4.742,0.817,0.413,0.252,0.366,1012.982178,lft_nopunch
8.359,5.229,2.239,0.311,0.258,0.22,1012.981644,lft_nopunch
8.481,4.071,2.476,0.221,0.21,0.181,1012.981567,lft_nopunch
8.203,4.986,1.812,0.267,0.256,0.244,1012.98111,lft_nopunch
8.725,4.785,1.767,0.139,0.231,0.259,1012.979736,lft_nopunch
8.658,4.701,1.236,0.522,0.389,0.391,1012.978897,lft_nopunch
8.612,4.847,1.697,0.272,0.332,0.399,1012.978897,lft_nopunch
8.077,5.031,2.631,0.214,0.223,0.323,1012.979889,lft_nopunch
8.441,4.731,1.417,0.204,0.159,0.147,1012.981339,lft_nopunch
7.674,5.613,1.846,0.173,0.243,0.456,1012.981339,lft_nopunch
8.595,5.234,2.418,0.59,0.441,0.199,1012.981339,lft_nopunch
7.498,6.351,3.844,0.575,0.491,0.315,1012.981186,lft_nopunch
8.819,3.768,4.397,1.068,0.775,0.682,1012.97966,lft_nopunch
8.529,5.705,4.883,1.202,0.77,0.425,1012.978668,lft_nopunch
7.859,3.792,4.2,0.679,1.375,0.522,1012.977829,lft_nopunch
8.43,4.933,2.086,0.403,0.513,0.577,1012.977829,lft_nopunch
8.527,4.802,1.85,0.585,0.994,0.699,1012.977753,lft_nopunch
8.524,4.882,2.151,0.476,0.627,0.468,1012.996745045045,lft_nopunch
8.341,5.221,2.548,0.274,0.624,0.388,1012.996745045045,lft_nopunch
8.134,5.302,1.079,0.6,0.502,0.69,1012.996745045045,lft_nopunch
7.528,5.746,2.245,0.474,0.513,0.314,1012.996745045045,lft_nopunch
8.052,5.709,1.643,0.466,0.428,0.362,1012.996745045045,lft_nopunch
8.186,5.649,1.052,0.586,0.37,0.32,1012.996745045045,lft_nopunch
7.686,5.296,1.537,0.594,0.359,0.274,1012.996745045045,lft_nopunch
8.489,5.0,1.309,0.625,0.62,0.393,1012.996745045045,lft_nopunch
7.608,5.837,2.633,0.191,0.206,0.267,1012.996745045045,lft_nopunch
