"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.594815588E0,9.730237722E-1,2.597770452E0,3.708342552E0
1.614681682E0,7.837451696E-1,2.715012550E0,3.618263721E0
1.634581057E0,8.668999672E-1,2.034927845E0,3.575587749E0
1.654467463E0,8.296167850E-1,1.018495917E0,3.788234949E0
1.674383817E0,9.868718386E-1,7.482596040E-1,3.704081535E0
1.694282098E0,1.175018549E0,7.994573712E-1,3.300025225E0
1.714159338E0,1.094526887E0,6.310173869E-1,2.937047243E0
1.734039494E0,9.425980449E-1,8.633713722E-1,2.517079115E0
1.753930848E0,9.553808570E-1,1.657569170E0,2.006965637E0
1.773812411E0,1.090265989E0,2.252901316E0,1.606704235E0
1.793708401E0,1.171290278E0,2.241183758E0,1.328478694E0
1.813619026E0,1.088135481E0,1.775344014E0,1.097123384E0
1.833499755E0,9.335435629E-1,1.227947354E0,8.988569379E-1
1.853383921E0,7.826799750E-1,8.031857014E-1,6.542528272E-1
1.873252203E0,5.625761747E-1,3.533244729E-1,3.994623721E-1
1.893186005E0,3.120467067E-1,-1.530606747E-1,3.067205250E-1
1.913053192E0,9.300816059E-2,-5.804854035E-1,3.301556706E-1
1.932959963E0,-4.021254554E-2,-7.606429458E-1,3.147097826E-1
1.952824078E0,-6.477948278E-2,-6.492595077E-1,1.798246503E-1
1.972723817E0,-1.004647911E-1,-4.013931155E-1,4.527240526E-3
1.992630171E0,-1.681736708E-1,-1.914090663E-1,-9.786828607E-2
2.012496890E0,-2.288919389E-1,-3.255618364E-2,-1.724345982E-1
2.032395536E0,-2.875463367E-1,5.006595328E-2,-2.603828907E-1
2.052312203E0,-3.109814525E-1,7.390053943E-3,-3.734307587E-1
2.072185171E0,-3.035248220E-1,-1.300915778E-1,-4.389425814E-1
2.092061057E0,-2.587850392E-1,-2.537917793E-1,-4.597146213E-1
2.111944494E0,-2.097177505E-1,-3.299559355E-1,-4.298880994E-1
2.131852463E0,-1.905435622E-1,-3.710339665E-1,-3.696358502E-1
2.151712723E0,-1.948044896E-1,-4.109802246E-1,-3.296896219E-1
2.171602619E0,-1.612496525E-1,-4.451342523E-1,-2.348173112E-1
2.191501421E0,-1.015300229E-1,-4.414059222E-1,-8.075797558E-2
2.211402463E0,-5.785546824E-2,-3.699687421E-1,7.003907114E-2
2.231284963E0,-4.394086078E-2,-1.717022508E-1,1.340196282E-1
2.251216109E0,-5.412715301E-2,7.882724702E-2,7.643046975E-2
2.271081005E0,-6.957302988E-2,1.667755395E-1,-1.398118329E-3
2.290982880E0,-9.460600466E-2,-4.860125482E-3,-4.720313847E-2
2.310841578E0,-1.105845049E-1,-2.426068187E-1,-7.543181628E-2
2.330759442E0,-1.260303855E-1,-3.491967022E-1,-9.087768942E-2
2.350656005E0,-1.452711523E-1,-3.219666779E-1,-8.981245756E-2
2.370552984E0,-1.734998226E-1,-2.318879068E-1,-5.572500080E-2
2.390448192E0,-2.219679356E-1,-1.519954354E-1,-2.430062927E-2
2.410345588E0,-2.683721483E-1,-1.663760841E-1,-3.335510939E-2
2.430219598E0,-3.131119311E-1,-2.697702646E-1,-6.637733430E-2
2.450107828E0,-3.499290347E-1,-3.518597782E-1,-1.133141592E-1
2.470006005E0,-3.669727743E-1,-3.155752718E-1,-1.335535944E-1
