"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717924302196838E9,"2024-06-09 11:11:42.197 UTC+02:00"
"PAUSE",3.005856173749999E2,1.717924602782546E9,"2024-06-09 11:16:42.783 UTC+02:00"
