"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718922121851729E9,"2024-06-21 00:22:01.852 UTC+02:00"
"PAUSE",3.006652669999748E2,1.718922422492099E9,"2024-06-21 00:27:02.492 UTC+02:00"
