X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.011,4.64,2.418,0.593,0.706,0.642,1012.946854,rght_nopunch
7.896,5.302,2.539,0.519,0.45,0.292,1012.946243,rght_nopunch
6.772,5.927,3.976,0.442,0.354,0.295,1012.945786,rght_nopunch
8.131,5.656,3.259,0.324,0.511,0.244,1012.943649,rght_nopunch
8.13,4.538,3.712,0.288,0.413,0.269,1012.942886,rght_nopunch
9.131,3.864,3.353,0.487,0.438,0.489,1012.942886,rght_nopunch
6.641,6.181,3.336,0.375,0.406,0.509,1012.942886,rght_nopunch
6.902,5.104,3.439,0.372,2.178,0.389,1012.94342,rght_nopunch
7.581,6.285,3.101,0.931,2.169,0.736,1012.942886,rght_nopunch
6.729,6.519,3.799,0.863,0.858,0.95,1012.9422,rght_nopunch
7.54,6.429,4.785,1.544,3.906,1.109,1012.941818,rght_nopunch
7.783,4.361,3.189,1.014,0.62,0.837,1012.941818,rght_nopunch
8.524,4.827,4.406,0.744,1.421,1.24,1012.941818,rght_nopunch
8.334,4.969,2.915,1.107,0.992,0.837,1012.941818,rght_nopunch
7.717,6.444,3.255,0.85,0.817,0.78,1012.941589,rght_nopunch
8.173,5.059,2.928,0.743,0.708,0.656,1012.940369,rght_nopunch
7.909,4.661,2.757,0.988,0.752,0.795,1012.939682,rght_nopunch
7.365,6.275,3.825,0.965,0.94,0.651,1012.938385,rght_nopunch
8.175,3.345,4.074,0.297,0.538,0.611,1012.938385,rght_nopunch
5.597,6.705,3.223,0.328,0.764,0.492,1012.938461,rght_nopunch
7.635,6.596,3.78,0.51,0.921,0.779,1012.938461,rght_nopunch
6.889,4.994,3.617,0.538,1.82,0.468,1012.938614,rght_nopunch
5.877,5.862,5.463,0.492,0.698,0.83,1012.938614,rght_nopunch
7.991,3.998,6.112,0.423,0.651,0.74,1012.939224,rght_nopunch
6.055,4.679,6.232,0.32,0.346,0.559,1012.940903,rght_nopunch
6.541,5.582,5.013,0.319,0.424,0.764,1012.941742,rght_nopunch
6.051,5.727,4.783,0.377,0.38,0.738,1012.941818,rght_nopunch
5.935,5.746,3.973,0.19,0.691,0.582,1012.942429,rght_nopunch
7.671,6.76,3.905,0.318,0.74,0.727,1012.941818,rght_nopunch
7.767,4.47,4.962,0.33,0.739,0.858,1012.9452878738738,rght_nopunch
6.758,4.673,3.846,0.404,0.412,0.595,1012.9452878738738,rght_nopunch
6.538,5.781,4.86,0.108,0.316,0.242,1012.9452878738738,rght_nopunch
5.731,7.9,3.872,0.177,0.228,0.209,1012.9452878738738,rght_nopunch
6.36,5.909,4.475,0.246,0.436,0.496,1012.9452878738738,rght_nopunch
7.078,5.449,4.684,0.196,0.35,0.365,1012.9452878738738,rght_nopunch
7.174,4.23,4.61,0.061,0.235,0.326,1012.9452878738738,rght_nopunch
7.752,4.252,4.444,0.045,0.06,0.038,1012.9452878738738,rght_nopunch
7.546,4.381,4.522,0.048,0.077,0.105,1012.9452878738738,rght_nopunch
