,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0,2.231,1.836,1.112,3.691,8.407,9.104,leftuppercut
1,0.539,2.309,1.328,2.264,3.003,2.083,cross
2,1.004,0.598,0.625,0.992,3.147,2.115,righthook
3,0.328,0.235,0.362,0.732,0.522,1.04,rightnopunch
4,1.444,0.717,1.161,2.078,4.221,3.935,righthook
5,0.504,0.916,1.07,2.946,3.732,3.551,lefthook
6,2.231,1.918,1.809,3.759,8.1,8.166,lefthook
7,0.228,0.369,0.323,1.368,1.655,1.321,leftnopunch
8,0.396,0.168,0.244,0.675,0.305,0.459,leftnopunch
9,3.077,2.285,1.841,9.123,10.771,10.778,rightuppercut
10,0.839,2.051,1.342,3.77,7.52,2.888,cross
11,2.182,1.996,1.351,4.844,11.039,9.371,leftuppercut
12,1.558,0.644,0.704,2.711,3.333,4.18,rightuppercut
13,0.916,2.329,1.698,5.319,6.658,4.97,jab
14,0.595,2.249,1.395,2.318,3.031,2.389,cross
15,1.295,1.595,2.247,9.685,8.744,8.175,lefthook
16,0.56,1.623,0.7,1.444,0.967,1.002,cross
17,0.115,0.144,0.164,0.234,0.226,0.097,rightnopunch
18,0.833,0.641,0.709,2.227,3.875,2.096,lefthook
19,2.124,2.502,2.439,3.326,8.121,9.11,rightuppercut
20,0.149,0.162,0.155,0.586,0.484,0.305,rightnopunch
21,0.986,1.938,1.722,2.284,5.694,1.937,cross
22,1.461,2.002,3.256,13.63,11.154,7.857,righthook
23,0.459,2.491,1.095,3.903,2.733,2.777,cross
24,0.833,2.573,1.975,5.648,8.758,5.365,jab
25,0.206,0.145,0.151,0.661,0.259,0.571,leftnopunch
26,1.839,2.109,1.439,3.603,6.68,5.566,leftuppercut
27,1.343,1.779,2.343,10.494,8.906,8.186,lefthook
28,0.401,0.496,0.871,2.452,2.569,1.805,rightnopunch
29,0.365,0.235,0.2,0.563,0.353,0.645,leftnopunch
30,0.63,0.174,0.275,0.422,0.387,0.61,leftnopunch
31,1.121,1.918,1.413,2.711,4.902,1.83,cross
32,0.854,2.518,1.642,4.937,6.646,4.944,jab
33,2.07,1.859,1.911,3.817,7.277,7.102,lefthook
34,0.464,0.231,0.301,0.526,0.45,0.468,leftnopunch
35,0.388,0.165,0.396,0.293,0.69,0.429,leftuppercut
36,1.091,0.518,0.665,2.255,3.729,3.664,rightuppercut
37,1.026,0.864,1.025,1.558,4.616,3.046,leftuppercut
38,0.32,0.189,0.114,0.298,0.665,0.974,leftnopunch
39,1.225,1.912,1.895,9.6,9.521,4.118,cross
40,1.188,1.309,0.706,2.393,4.216,3.955,lefthook
41,0.332,0.495,0.492,1.482,1.972,0.808,leftuppercut
42,2.83,2.711,2.852,8.978,12.677,13.58,rightuppercut
43,2.106,3.547,1.84,6.234,10.24,8.563,jab
44,0.225,0.357,0.27,0.65,1.034,0.452,rightnopunch
45,1.008,0.249,0.485,1.057,0.983,2.103,rightuppercut
46,0.272,0.284,0.403,1.505,2.103,1.836,leftnopunch
47,0.21,1.195,0.86,2.004,2.339,1.582,cross
48,1.176,2.304,1.433,2.107,3.699,1.674,jab
49,0.886,0.905,0.794,2.478,4.315,2.394,lefthook
50,1.218,2.273,1.99,11.046,9.226,5.447,cross
51,1.113,1.364,2.041,8.146,6.827,6.297,lefthook
52,0.258,0.298,0.285,1.171,1.345,0.686,rightnopunch
53,1.161,3.531,1.527,5.845,7.275,6.109,jab
54,2.026,1.894,1.595,2.936,7.516,8.05,rightuppercut
55,1.156,2.401,1.467,3.344,6.313,1.52,cross
56,0.186,0.271,0.43,2.043,2.156,1.703,leftnopunch
57,1.499,0.881,1.382,2.708,4.376,4.516,righthook
58,1.008,2.315,1.86,2.46,4.645,2.191,jab
59,1.443,1.111,0.908,2.458,3.331,6.051,righthook
60,1.464,2.137,3.903,15.405,12.835,7.663,righthook
61,2.027,1.944,1.633,3.422,7.359,7.322,rightuppercut
62,1.685,2.013,3.301,12.995,12.205,8.174,righthook
63,0.445,1.91,0.967,3.058,2.44,1.563,cross
64,0.273,0.262,0.148,0.447,0.69,0.863,leftnopunch
65,1.311,1.901,2.483,10.407,9.631,7.083,lefthook
66,1.357,1.801,2.653,11.735,10.833,7.368,lefthook
67,1.479,2.058,2.703,11.147,10.209,8.36,lefthook
68,0.55,1.839,0.978,3.196,2.361,2.577,cross
69,0.55,2.409,1.118,2.327,2.924,2.036,cross
70,1.278,1.918,2.202,11.376,8.186,6.967,lefthook
71,1.631,0.663,0.932,2.619,4.139,3.741,righthook
72,0.524,2.173,1.498,2.998,3.368,2.112,cross
73,1.771,2.072,1.44,6.913,7.642,5.906,leftuppercut
74,3.021,2.604,2.646,10.299,12.493,13.036,rightuppercut
75,0.841,0.904,1.061,1.992,5.104,3.597,leftuppercut
76,0.093,0.125,0.111,0.249,0.214,0.213,righthook
77,1.166,1.964,1.651,7.646,8.494,5.451,cross
78,0.615,0.692,0.49,1.418,3.918,2.213,leftuppercut
79,0.14,0.11,0.084,0.243,0.192,0.142,rightnopunch
80,1.775,1.192,1.5,3.254,7.68,6.008,righthook
81,0.645,0.214,0.262,0.659,0.486,0.663,leftnopunch
82,0.704,3.051,1.1,3.402,3.049,2.293,jab
83,1.17,2.066,1.62,2.805,5.542,1.998,cross
84,0.306,0.312,0.53,0.443,0.576,0.534,rightnopunch
85,1.758,1.619,1.575,3.771,5.736,5.538,righthook
86,0.574,2.443,1.251,2.264,3.426,2.301,cross
87,1.886,1.943,1.97,4.441,6.62,6.199,leftuppercut
88,2.372,2.242,1.648,4.816,9.898,10.404,leftuppercut
89,1.002,3.095,1.548,5.733,7.926,4.94,jab
90,0.202,0.253,0.31,0.491,0.366,0.271,rightnopunch
91,0.416,0.22,0.149,0.682,0.436,0.818,leftnopunch
92,2.36,2.094,2.133,4.082,9.009,7.513,lefthook
93,0.344,0.248,0.309,0.559,0.504,0.67,rightnopunch
94,1.841,1.401,1.91,4.391,7.294,6.362,lefthook
95,0.185,0.082,0.113,0.104,0.236,0.312,rightuppercut
96,0.828,1.587,1.583,2.671,5.2,1.364,cross
97,0.617,2.243,1.09,3.475,2.757,2.543,cross
98,1.93,2.372,1.383,3.101,8.683,10.195,leftuppercut
99,0.402,1.499,0.799,2.447,2.678,1.741,cross
100,1.203,1.959,1.702,5.874,6.609,3.985,cross
101,2.559,2.318,1.385,4.008,10.965,10.163,leftuppercut
102,2.797,2.358,1.134,3.89,7.474,7.493,leftuppercut
103,0.593,3.03,1.373,4.138,3.911,2.53,jab
104,0.325,0.331,0.336,0.604,0.461,0.384,leftnopunch
105,0.713,2.639,1.188,3.238,3.135,2.342,jab
106,1.058,2.365,1.677,8.739,8.573,4.539,cross
107,0.572,2.138,1.094,3.265,3.103,2.426,cross
108,2.107,2.339,0.82,3.339,5.951,5.761,leftuppercut
109,0.971,2.101,1.5,2.745,5.552,1.42,cross
110,1.183,2.635,1.719,2.456,5.632,3.287,jab
111,1.172,1.812,1.787,7.897,7.433,3.96,cross
112,0.106,0.04,0.148,0.139,0.366,0.114,leftuppercut
113,0.53,1.305,0.924,2.789,2.77,2.682,cross
114,1.317,2.082,1.344,2.52,4.097,1.901,jab
115,2.287,1.647,1.289,3.123,7.948,6.54,leftuppercut
116,1.115,0.653,0.794,2.12,3.731,2.336,righthook
117,2.23,1.287,1.916,4.213,6.878,6.178,righthook
118,2.146,2.118,1.561,3.112,5.293,5.457,leftuppercut
119,0.673,1.299,1.655,5.384,3.424,2.182,rightuppercut
120,1.945,1.133,1.573,3.283,6.925,5.425,righthook
121,0.973,0.872,0.711,2.384,3.544,2.596,leftuppercut
122,0.723,2.839,1.773,6.545,7.383,5.423,jab
123,0.431,0.283,0.33,0.632,0.544,0.431,leftnopunch
124,0.471,0.664,0.951,2.375,3.466,1.702,rightnopunch
125,1.896,0.771,0.861,2.551,3.935,4.398,rightuppercut
126,0.712,1.733,1.767,2.434,5.547,1.739,cross
127,2.635,2.077,1.717,4.976,7.133,6.561,righthook
128,1.439,3.107,2.487,11.565,8.787,4.926,cross
129,0.612,2.519,1.208,3.07,2.803,2.112,cross
130,2.723,2.116,1.615,5.708,6.799,7.127,righthook
131,0.389,0.409,0.686,2.015,2.155,1.757,rightnopunch
132,2.041,0.807,1.0,2.959,3.826,4.546,rightuppercut
133,1.123,2.076,1.582,2.155,3.759,1.551,jab
134,1.851,1.63,2.043,4.866,6.63,7.097,rightuppercut
135,1.552,2.013,1.642,3.505,6.006,5.503,leftuppercut
136,1.884,2.35,3.588,12.816,12.461,9.497,righthook
137,1.492,0.894,0.839,2.553,3.913,4.005,righthook
138,0.952,1.917,1.496,2.471,5.286,1.793,cross
139,1.965,2.473,3.042,12.992,11.876,7.615,righthook
140,0.072,0.202,0.132,0.275,0.145,0.229,leftnopunch
141,0.443,0.163,0.163,0.135,0.301,0.655,righthook
142,1.515,0.761,0.904,2.621,3.611,4.298,rightuppercut
143,1.797,2.73,3.252,14.741,12.699,9.045,righthook
144,1.318,2.042,1.985,11.462,8.966,4.655,cross
145,0.129,0.153,0.202,0.303,0.191,0.254,rightnopunch
146,2.978,1.941,1.957,3.869,10.481,8.34,righthook
147,0.476,0.514,0.791,1.985,2.852,2.467,righthook
148,0.775,1.791,1.461,2.769,5.599,1.537,cross
