,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
149,0.853,1.077,0.821,2.028,4.359,2.725,lefthook
150,1.919,1.5,2.793,6.408,7.181,7.504,lefthook
151,0.072,0.117,0.11,0.375,0.255,0.135,rightnopunch
152,0.464,0.232,0.154,0.766,0.39,0.669,leftnopunch
153,0.079,0.076,0.129,0.113,0.194,0.143,leftuppercut
154,0.474,1.152,0.621,2.93,1.959,2.399,leftuppercut
155,0.334,0.336,0.39,2.005,1.983,1.863,leftnopunch
156,1.93,3.136,1.713,6.287,8.517,8.359,jab
157,0.131,0.299,0.23,1.361,1.242,0.998,leftnopunch
158,1.842,2.558,1.619,4.113,5.176,5.592,leftuppercut
159,0.733,0.265,0.293,0.765,0.564,0.841,leftnopunch
160,0.105,0.09,0.035,0.103,0.069,0.314,leftnopunch
161,1.716,2.0,2.055,10.028,7.999,7.349,lefthook
162,1.255,1.84,2.617,9.405,10.642,5.094,righthook
163,1.423,2.304,1.286,2.019,3.877,1.857,jab
164,0.482,0.514,0.89,2.44,2.45,1.822,rightnopunch
165,1.327,1.753,1.973,9.2,8.636,5.454,cross
166,0.966,0.951,0.868,2.103,4.283,2.888,lefthook
167,0.375,0.308,0.434,1.266,1.635,1.962,leftnopunch
168,0.262,0.301,0.349,1.318,1.252,1.479,leftnopunch
169,2.087,2.045,3.093,12.112,11.64,8.793,righthook
170,0.808,0.833,0.49,2.144,4.381,3.303,lefthook
171,0.461,0.491,0.771,2.163,3.6,1.968,rightnopunch
172,0.101,0.101,0.053,0.258,0.279,0.161,leftnopunch
173,1.601,1.76,3.273,12.709,10.553,8.531,righthook
174,1.835,1.747,1.483,3.661,5.788,5.758,rightuppercut
175,2.572,2.189,2.354,6.406,8.62,8.536,righthook
176,0.355,0.075,0.045,0.103,0.181,0.346,rightuppercut
177,0.422,0.218,0.125,0.346,0.497,0.813,righthook
178,1.056,1.78,1.633,2.713,5.273,1.453,cross
179,0.52,1.951,1.624,1.897,5.347,1.384,cross
180,1.029,3.01,1.762,5.301,6.982,5.338,jab
181,2.182,1.587,1.159,2.746,6.743,6.769,leftuppercut
182,0.333,0.173,0.155,0.332,0.282,0.323,leftnopunch
183,1.204,2.749,2.521,10.751,9.288,4.93,cross
184,0.746,2.543,1.506,4.915,6.46,5.256,jab
185,0.519,2.196,1.429,3.902,5.883,4.827,jab
186,2.539,1.224,1.9,3.208,7.654,6.885,lefthook
187,0.907,2.966,1.478,4.524,6.529,4.091,jab
188,1.052,3.347,1.375,5.135,7.924,4.67,jab
189,1.885,0.827,0.733,2.57,3.858,4.404,rightuppercut
190,0.22,0.29,0.279,1.283,1.345,1.257,leftnopunch
191,1.231,0.796,0.893,1.574,4.381,3.452,leftuppercut
192,0.348,0.177,0.187,0.412,0.361,0.404,leftnopunch
193,0.289,0.535,0.466,2.434,1.65,2.57,lefthook
194,1.37,1.365,2.874,13.44,11.38,8.654,righthook
195,0.261,0.367,0.482,2.226,2.3,2.369,rightnopunch
196,0.332,0.157,0.089,0.273,0.515,0.268,leftnopunch
197,1.563,2.209,2.049,6.393,6.655,6.917,rightuppercut
198,0.128,0.141,0.242,0.166,0.709,0.293,lefthook
199,1.39,1.582,2.026,7.998,7.19,6.136,lefthook
200,2.084,1.887,1.535,3.149,5.724,6.642,rightuppercut
201,0.394,0.214,0.205,0.5,0.778,1.122,righthook
202,1.707,1.903,1.873,4.339,6.469,6.843,rightuppercut
203,2.369,1.66,1.765,3.19,9.464,7.377,lefthook
204,1.302,1.563,1.57,8.61,5.625,4.889,lefthook
205,1.172,2.3,1.947,8.947,8.813,5.008,cross
206,1.096,1.48,1.702,7.541,7.751,6.212,lefthook
207,0.226,0.305,0.402,1.526,1.717,1.767,leftnopunch
208,1.81,1.634,1.948,4.268,6.309,6.195,righthook
209,0.989,0.879,0.894,2.295,4.055,2.541,leftuppercut
210,0.279,0.569,0.831,2.214,2.67,2.47,rightnopunch
211,2.716,2.04,2.283,8.107,11.478,12.213,rightuppercut
212,1.364,1.918,2.63,10.503,9.394,7.69,righthook
213,0.062,0.049,0.126,0.301,0.159,0.141,rightnopunch
214,1.156,0.55,1.094,2.922,4.179,3.173,righthook
215,2.082,2.378,1.605,3.338,5.845,6.281,leftuppercut
216,0.474,0.088,0.149,0.233,0.417,0.551,rightuppercut
217,1.209,1.37,2.066,9.441,8.333,7.924,lefthook
218,1.024,1.472,1.886,8.66,8.782,4.442,cross
219,1.471,3.149,1.497,5.037,6.448,6.461,jab
220,0.406,0.187,0.264,0.633,0.437,0.508,leftnopunch
221,1.984,0.797,0.997,2.549,3.636,4.08,rightuppercut
222,1.965,2.132,1.782,3.239,5.157,6.022,rightuppercut
223,0.783,1.768,1.444,4.624,5.78,3.986,jab
224,1.364,2.579,1.957,9.501,9.553,6.325,cross
225,0.795,0.883,0.609,1.799,3.685,2.536,lefthook
226,0.228,0.061,0.078,0.078,0.161,0.196,rightuppercut
227,0.166,0.133,0.342,0.217,0.257,0.487,leftnopunch
228,2.742,2.605,2.076,10.662,10.874,11.722,rightuppercut
229,0.765,2.809,1.034,3.557,2.909,3.057,cross
230,2.003,3.084,2.326,11.024,11.029,6.743,cross
231,1.45,2.243,2.026,8.662,7.884,4.808,cross
232,0.256,0.217,0.46,0.526,0.523,0.669,rightnopunch
233,1.558,1.805,2.415,10.16,10.411,7.574,lefthook
234,0.79,0.522,0.56,1.055,2.509,1.274,righthook
235,1.29,3.451,1.458,5.976,6.201,5.296,jab
236,1.263,2.141,1.425,2.166,3.703,1.541,jab
237,0.656,2.79,1.39,4.37,3.718,2.54,jab
238,0.285,0.212,0.263,0.346,0.518,0.219,rightnopunch
239,1.081,1.615,2.453,6.429,7.446,7.218,lefthook
240,2.518,2.422,2.077,5.187,10.083,7.896,leftuppercut
241,2.183,1.949,2.166,5.197,6.36,7.221,rightuppercut
242,0.381,0.339,0.198,1.105,1.545,1.453,leftnopunch
243,1.537,2.142,1.324,2.072,4.34,1.533,jab
244,1.57,0.748,1.123,2.211,3.841,4.019,righthook
245,0.513,2.329,1.267,2.273,1.253,1.444,cross
246,0.544,0.152,0.6,1.044,1.243,1.672,righthook
247,1.416,1.916,2.5,10.083,7.946,7.63,lefthook
248,2.008,2.043,2.085,3.884,6.076,7.886,rightuppercut
249,0.156,0.171,0.159,0.326,0.313,0.496,leftnopunch
250,0.908,2.916,1.374,5.038,8.95,4.8,jab
251,1.328,2.938,2.229,12.195,10.847,5.601,cross
252,0.13,0.097,0.22,0.493,0.361,0.141,rightnopunch
253,0.629,2.055,1.464,2.908,3.185,2.382,cross
254,1.826,2.119,1.689,3.867,6.452,7.441,rightuppercut
255,0.827,1.767,1.621,2.448,5.16,1.592,cross
256,1.014,0.679,0.813,1.988,4.773,2.629,lefthook
257,1.307,1.904,1.164,2.285,3.401,1.722,jab
258,2.423,1.958,1.591,8.671,9.953,8.102,rightuppercut
259,0.366,0.602,0.519,2.578,2.451,2.525,righthook
260,2.513,2.143,1.488,4.105,10.916,11.165,leftuppercut
261,0.149,0.132,0.165,0.166,0.466,0.119,lefthook
262,0.39,0.314,0.324,0.826,0.721,0.992,rightnopunch
263,0.614,3.02,1.369,3.789,3.22,2.307,jab
264,2.257,1.601,1.704,4.103,7.161,6.466,righthook
265,0.316,0.545,0.719,1.918,2.503,1.586,rightnopunch
266,0.901,2.626,1.678,2.703,5.991,1.998,cross
267,0.629,2.291,1.202,2.914,2.887,2.356,cross
268,0.25,0.317,0.259,1.15,1.256,1.464,leftnopunch
269,0.225,0.083,0.5,0.331,0.655,0.215,leftuppercut
270,3.329,3.171,2.61,9.354,15.692,15.444,rightuppercut
271,1.135,2.309,1.293,2.45,6.059,1.933,cross
272,0.595,2.404,1.049,3.939,3.437,2.259,jab
273,0.619,2.461,1.457,3.092,3.135,3.173,cross
274,0.945,1.822,1.521,2.343,5.531,1.942,cross
275,2.231,2.126,1.686,3.452,7.936,7.769,lefthook
276,2.256,1.956,1.384,4.286,7.904,7.67,leftuppercut
277,1.891,2.121,1.986,4.602,9.009,8.558,rightuppercut
278,1.59,2.316,1.197,3.361,5.442,7.667,leftuppercut
279,0.352,0.581,0.766,2.069,2.73,2.178,rightnopunch
280,0.79,1.609,1.762,2.656,5.727,1.211,cross
281,1.882,1.751,2.21,4.592,7.309,7.746,lefthook
282,0.064,0.063,0.085,0.301,0.167,0.12,rightnopunch
283,1.266,1.716,1.859,8.532,8.187,6.802,cross
284,0.772,1.873,1.725,2.784,5.199,1.32,cross
285,0.196,0.182,0.235,0.59,0.424,0.811,rightnopunch
286,1.065,1.626,1.45,2.574,5.415,1.408,cross
287,2.409,1.795,1.637,4.068,6.261,6.596,leftuppercut
288,0.328,0.593,0.919,2.435,3.15,2.124,rightnopunch
289,1.363,1.625,2.051,9.271,8.755,7.666,lefthook
290,0.43,0.546,0.71,2.338,2.799,1.892,rightnopunch
291,2.835,2.267,2.587,8.1,11.751,12.04,rightuppercut
292,0.612,2.927,1.194,3.032,3.236,2.265,jab
293,2.255,1.992,1.712,2.855,6.303,6.846,leftuppercut
294,0.323,0.153,0.292,0.573,1.312,0.742,lefthook
295,0.199,0.233,0.394,1.612,1.65,1.481,leftnopunch
296,0.867,1.896,1.962,2.652,5.204,1.479,cross
297,0.216,0.179,0.284,0.259,0.988,0.472,lefthook
298,1.797,1.636,1.635,3.674,4.871,5.795,leftuppercut
299,0.912,1.995,1.805,2.978,5.841,1.77,cross
300,1.305,3.172,1.521,5.663,7.11,5.289,jab
301,0.846,0.509,0.585,1.831,3.3,2.383,leftuppercut
302,1.818,3.412,1.631,5.203,6.149,6.765,jab
303,0.729,2.355,1.259,3.733,2.686,2.771,cross
304,1.944,1.944,2.693,12.255,11.113,8.719,lefthook
305,1.523,1.784,2.448,10.805,9.06,6.752,lefthook
306,0.948,1.041,0.768,2.141,4.335,3.015,lefthook
307,0.209,0.129,0.282,0.248,0.71,0.251,leftuppercut
308,1.087,2.49,1.832,2.413,3.482,2.165,jab
309,2.865,1.762,1.95,4.687,8.081,7.48,righthook
310,1.11,0.78,0.833,2.748,3.683,3.419,rightuppercut
311,1.983,2.286,1.768,3.705,8.52,8.036,lefthook
312,0.526,2.277,1.409,2.922,2.556,2.166,cross
313,0.817,2.343,1.58,4.881,6.431,4.338,jab
314,2.025,2.234,1.988,4.392,7.105,8.982,rightuppercut
315,1.85,2.123,2.905,12.973,11.683,8.009,righthook
316,0.418,0.521,0.297,1.126,1.387,0.71,lefthook
317,0.366,2.053,1.048,4.283,3.486,2.297,jab
318,0.324,0.167,0.397,0.52,0.489,0.447,rightnopunch
319,2.014,1.958,1.571,3.817,8.123,8.184,rightuppercut
320,0.339,0.354,0.397,1.937,1.902,1.645,leftnopunch
321,0.565,2.774,1.298,3.56,3.338,1.996,jab
322,1.404,2.174,1.29,2.066,4.098,1.742,jab
323,0.551,2.021,1.264,3.108,3.098,2.054,cross
324,0.26,0.229,0.233,1.509,1.317,1.508,leftnopunch
325,1.947,1.976,1.707,4.034,6.507,6.431,leftuppercut
326,1.333,1.892,3.957,16.863,14.945,8.079,righthook
327,0.062,0.126,0.098,0.415,0.219,0.198,rightnopunch
328,1.891,1.365,1.655,3.897,6.911,5.917,righthook
329,1.392,2.697,1.573,3.951,6.879,5.169,jab
330,2.422,1.691,1.709,4.533,8.054,7.962,righthook
331,1.157,2.638,1.396,5.383,7.133,4.658,jab
332,1.911,1.985,1.709,3.204,6.132,6.334,leftuppercut
333,1.656,1.742,2.23,5.315,6.319,5.861,rightuppercut
334,0.625,1.917,1.509,1.623,4.597,1.773,cross
335,1.063,0.97,0.671,1.794,3.92,2.333,lefthook
336,1.037,1.658,1.881,8.696,8.364,5.022,cross
337,1.399,1.944,2.347,9.378,8.489,6.092,lefthook
338,0.721,2.081,1.578,2.301,5.529,2.027,cross
339,0.362,0.229,0.281,0.636,0.552,0.877,rightnopunch
340,0.269,0.127,0.126,0.462,0.337,0.215,rightnopunch
341,0.966,0.233,0.336,0.713,0.463,1.327,rightuppercut
342,1.159,1.785,1.337,2.382,2.43,1.64,jab
343,0.25,0.126,0.133,0.161,0.622,0.237,lefthook
344,1.965,2.007,2.675,12.436,10.249,8.776,lefthook
345,1.004,0.824,0.448,1.415,2.224,3.401,righthook
346,0.218,0.301,0.341,1.885,1.605,1.64,leftnopunch
347,0.428,0.27,0.255,0.661,0.498,0.485,leftnopunch
348,1.256,2.836,1.451,4.749,6.344,6.22,jab
349,1.582,1.868,2.733,8.575,8.204,6.261,lefthook
350,1.502,1.883,3.148,12.889,11.173,7.64,righthook
351,0.234,0.34,0.371,1.306,1.766,0.958,rightnopunch
352,1.079,0.894,1.063,2.069,3.91,3.232,leftuppercut
353,0.993,0.949,1.695,6.176,5.339,2.649,rightuppercut
354,2.722,2.207,1.761,3.703,6.454,7.212,righthook
355,1.879,0.723,0.844,2.443,3.907,4.531,rightuppercut
356,0.371,0.197,0.142,0.543,0.479,0.574,leftnopunch
357,1.633,2.016,1.596,3.647,6.75,7.242,rightuppercut
358,1.165,2.184,1.424,3.387,6.083,5.503,jab
359,2.985,2.486,2.259,9.308,12.715,13.123,rightuppercut
360,0.103,0.137,0.15,0.196,0.301,0.201,rightnopunch
361,0.51,0.369,0.637,0.599,0.634,0.604,rightnopunch
362,0.339,0.181,0.191,0.386,0.34,0.402,leftnopunch
363,1.52,2.454,1.472,2.656,4.525,1.765,jab
364,0.246,0.309,0.354,1.281,0.525,0.675,rightnopunch
365,2.724,2.335,2.579,10.317,12.413,11.311,rightuppercut
366,0.83,1.388,0.568,1.392,5.112,4.178,lefthook
367,1.757,1.8,1.861,4.877,6.217,6.455,lefthook
368,0.504,2.672,1.171,3.82,3.474,2.571,jab
369,0.611,1.38,1.708,2.605,5.55,1.632,cross
370,2.038,1.269,1.909,3.16,6.802,5.329,lefthook
371,1.721,1.122,0.872,2.437,3.142,5.573,righthook
372,1.917,2.005,2.823,12.16,11.873,8.305,righthook
373,1.701,2.597,2.146,7.667,8.771,6.755,cross
374,1.202,0.949,0.878,2.611,4.342,2.112,leftuppercut
375,0.963,1.698,1.655,2.467,5.124,1.487,cross
376,0.684,2.42,1.445,3.242,2.979,2.682,cross
377,0.201,0.294,0.115,0.336,0.314,0.363,leftnopunch
378,1.243,1.669,3.558,15.879,13.408,6.583,righthook
379,1.437,0.612,0.635,1.766,3.43,3.401,rightuppercut
380,1.128,1.034,0.875,2.999,4.635,2.976,lefthook
381,0.557,1.708,1.671,1.977,4.359,1.762,cross
382,0.636,2.218,1.295,3.858,2.219,2.631,cross
383,0.202,0.294,0.229,0.769,0.441,0.261,rightnopunch
384,1.06,1.277,0.949,2.82,4.303,2.047,lefthook
385,0.173,0.161,0.191,0.36,0.39,0.441,righthook
386,1.162,2.704,2.252,9.596,9.17,4.63,cross
387,0.566,2.52,1.421,3.976,2.847,2.713,cross
388,0.598,0.375,0.51,0.925,1.481,1.543,leftuppercut
389,0.425,0.234,0.409,0.673,0.382,1.046,rightnopunch
390,3.081,2.218,2.0,6.371,11.71,12.593,rightuppercut
391,2.148,2.598,2.546,3.796,7.705,9.0,rightuppercut
392,1.274,2.714,1.539,2.877,5.172,2.63,jab
393,2.586,2.243,1.87,4.626,6.181,7.526,leftuppercut
394,1.073,0.515,0.519,1.761,2.894,2.53,rightuppercut
395,1.843,0.779,1.097,2.943,4.788,3.817,righthook
396,1.17,1.95,1.367,2.004,3.939,1.695,jab
397,0.597,0.178,0.165,0.619,0.63,0.595,leftnopunch
398,0.381,0.317,0.258,1.37,1.766,1.779,leftnopunch
399,1.285,0.825,1.136,3.233,4.532,2.994,righthook
400,1.091,0.822,0.675,1.844,3.893,2.732,lefthook
401,0.343,1.493,1.072,3.238,3.065,2.074,jab
402,0.948,1.022,0.677,2.421,4.523,3.673,lefthook
403,0.407,0.432,0.368,1.78,1.836,1.246,leftnopunch
404,1.604,1.88,1.886,7.225,5.997,6.489,lefthook
405,2.14,1.381,1.811,4.157,6.894,6.102,righthook
406,0.352,0.134,0.142,0.422,0.339,0.482,leftnopunch
407,1.879,2.049,1.71,4.76,6.862,7.389,rightuppercut
408,0.318,0.305,0.238,1.264,1.494,1.615,leftnopunch
409,0.353,0.132,0.15,0.216,0.485,0.581,leftnopunch
410,0.95,0.418,0.306,0.739,0.758,1.187,rightuppercut
411,0.665,2.999,1.442,4.489,3.445,2.632,jab
412,0.183,0.09,0.223,0.217,0.49,0.204,leftuppercut
413,0.164,0.17,0.221,0.283,0.344,0.186,rightnopunch
414,1.134,2.139,1.357,2.755,5.47,1.881,cross
415,0.301,0.167,0.266,0.501,0.255,0.46,leftnopunch
416,1.101,0.587,0.952,2.966,3.676,3.045,righthook
417,1.123,1.685,3.105,13.666,12.2,7.507,righthook
418,0.606,2.672,1.441,4.126,3.133,2.551,jab
419,0.618,0.552,0.812,1.329,3.234,1.801,leftuppercut
420,1.278,1.425,2.389,9.527,8.571,7.225,lefthook
421,0.27,0.428,0.412,2.083,1.782,1.817,leftuppercut
422,1.095,1.607,2.173,9.642,8.964,6.509,lefthook
423,1.38,1.753,1.984,9.104,7.915,6.109,lefthook
424,0.134,0.119,0.123,0.339,0.237,0.238,rightnopunch
425,0.463,1.453,1.542,1.61,5.853,1.652,cross
426,0.194,0.29,0.165,0.373,0.298,0.411,leftnopunch
427,2.678,1.66,1.255,3.358,7.182,6.103,righthook
428,1.075,0.807,1.038,2.064,4.533,2.781,leftuppercut
429,0.905,0.985,0.623,2.596,4.052,3.287,lefthook
430,0.245,0.203,0.451,0.44,0.651,0.32,leftuppercut
431,2.061,1.866,1.907,3.706,7.64,6.865,lefthook
432,0.568,2.243,1.466,2.753,2.83,2.145,cross
433,1.892,2.159,1.723,2.614,6.118,7.362,rightuppercut
434,1.432,1.848,3.768,14.031,13.08,7.418,righthook
435,2.588,2.451,1.448,4.554,11.672,10.414,leftuppercut
436,1.449,3.128,1.578,3.778,6.955,6.147,jab
437,2.379,1.622,1.484,2.616,7.914,6.813,lefthook
438,0.382,0.229,0.194,0.508,0.427,0.444,leftnopunch
439,0.138,0.261,0.204,1.129,1.055,1.194,leftnopunch
440,1.096,2.29,2.047,8.883,8.835,6.453,cross
441,1.631,0.817,1.493,3.87,4.466,4.6,righthook
442,0.176,0.102,0.127,0.169,0.441,0.132,lefthook
443,0.603,0.723,0.597,1.608,3.013,1.497,lefthook
444,0.097,0.131,0.115,0.277,0.204,0.082,rightnopunch
