,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
0,0.94,2.556,4.737,18.41,18.712,9.713,righthook
1,1.309,1.25,2.045,2.015,2.789,2.092,rightuppercut
2,0.731,0.976,1.708,4.684,4.073,3.633,righthook
3,0.7,2.188,1.335,3.443,4.564,4.659,rightuppercut
4,1.202,1.424,0.666,1.988,1.778,1.809,lefthook
5,1.905,2.984,2.954,3.459,6.389,2.536,jab
6,0.262,0.359,0.468,0.489,0.476,0.698,rightnopunch
7,1.174,0.154,0.365,0.209,0.956,1.079,rightuppercut
8,2.019,1.558,1.267,4.17,6.449,6.311,rightuppercut
9,0.366,0.171,0.254,0.431,0.554,0.411,rightnopunch
10,0.088,0.1,0.03,0.092,0.081,0.299,leftnopunch
11,0.485,0.235,0.42,0.816,0.991,0.893,rightnopunch
12,1.18,1.621,3.381,13.501,12.322,8.573,lefthook
13,1.419,1.912,2.469,6.498,4.152,4.134,rightuppercut
14,0.161,0.137,0.063,0.135,0.178,0.208,jab
15,1.846,2.526,3.914,14.188,14.388,11.954,lefthook
16,0.199,0.374,0.243,0.676,0.739,0.421,rightnopunch
17,0.251,0.185,0.273,0.248,0.474,0.475,leftnopunch
18,2.884,5.388,2.341,8.083,10.678,10.399,jab
19,0.121,0.06,0.023,0.109,0.066,0.073,rightuppercut
20,1.368,2.985,2.355,3.128,5.53,2.154,jab
21,2.571,1.662,2.55,4.81,10.2,12.016,lefthook
22,1.797,2.113,3.043,14.82,10.969,12.269,lefthook
23,1.575,2.382,1.912,7.708,7.123,3.998,cross
24,0.725,0.556,0.59,0.721,1.425,1.358,lefthook
25,0.419,0.441,0.157,0.451,0.32,0.114,rightnopunch
26,0.15,0.259,0.303,1.341,1.326,1.495,leftnopunch
27,0.398,0.305,0.595,1.723,3.982,1.359,rightnopunch
28,0.348,0.112,0.231,0.13,1.002,0.283,lefthook
29,1.697,5.853,3.164,9.479,13.512,7.238,jab
30,0.581,0.607,0.445,2.837,2.048,2.197,lefthook
31,3.97,1.938,1.342,4.277,10.187,9.321,righthook
32,2.453,2.876,4.529,18.598,17.921,13.015,righthook
33,0.63,1.035,0.844,3.522,3.73,4.076,cross
34,0.211,0.138,0.14,0.209,0.174,0.502,leftnopunch
35,0.536,1.402,0.953,1.927,4.215,1.594,cross
36,1.74,3.153,2.494,3.838,8.001,2.677,cross
37,0.635,0.654,0.999,3.382,2.906,2.995,rightnopunch
38,1.069,4.377,2.181,5.495,5.827,4.229,cross
39,1.895,1.398,1.085,5.746,2.519,3.747,righthook
40,0.17,0.552,0.476,2.082,2.286,2.6,rightnopunch
41,0.355,1.35,0.994,1.356,2.07,0.905,rightuppercut
42,0.924,1.158,1.574,5.444,3.813,3.505,lefthook
43,0.075,0.07,0.07,0.181,0.253,0.144,righthook
44,0.983,0.56,1.179,1.171,1.69,1.337,leftuppercut
45,0.195,0.115,0.096,0.256,0.588,0.852,leftnopunch
46,1.153,1.948,4.458,19.144,14.653,10.609,righthook
47,2.731,0.928,2.568,6.212,7.978,7.698,righthook
48,4.088,3.82,2.941,9.583,10.292,12.514,leftuppercut
49,3.731,2.867,1.572,8.395,16.345,15.105,rightuppercut
50,0.44,0.289,0.182,0.4,0.677,0.338,rightnopunch
51,1.642,1.612,1.217,6.306,9.261,5.927,lefthook
52,0.321,0.611,0.46,0.281,0.334,0.796,cross
53,2.556,1.588,1.747,2.567,8.583,6.939,lefthook
54,0.066,0.052,0.057,0.124,0.088,0.164,righthook
55,1.263,2.063,0.809,2.377,2.298,1.655,lefthook
56,2.671,1.25,2.135,5.348,8.636,6.872,righthook
57,2.035,4.483,3.261,18.079,16.188,7.505,cross
58,0.079,0.056,0.076,0.11,0.107,0.198,leftnopunch
59,0.274,0.305,0.32,0.598,0.452,1.043,rightnopunch
60,3.196,2.626,2.664,4.215,11.963,14.436,leftuppercut
61,0.507,1.144,0.541,1.101,2.281,1.354,jab
62,2.918,1.423,1.72,5.131,7.089,8.291,rightuppercut
63,0.641,0.694,1.038,3.72,3.492,1.763,cross
64,0.339,0.537,0.591,1.918,0.948,4.488,leftuppercut
65,1.292,0.547,0.626,0.465,2.05,1.356,leftuppercut
66,0.874,1.92,1.125,8.077,8.926,4.945,cross
67,0.365,0.203,0.191,0.58,0.309,0.748,leftnopunch
68,3.161,3.068,2.544,5.657,11.772,12.338,leftuppercut
69,1.6,2.034,2.092,10.751,12.457,5.713,righthook
70,0.044,0.055,0.036,0.073,0.052,0.118,cross
71,0.316,0.492,0.404,1.756,1.594,1.946,leftnopunch
72,0.409,0.548,0.377,1.638,1.471,3.323,leftuppercut
73,0.154,0.116,0.233,0.272,0.496,0.587,leftnopunch
74,0.23,0.204,0.127,0.631,0.457,0.563,leftnopunch
75,1.764,3.894,2.087,7.549,10.748,7.158,jab
76,0.127,1.15,0.274,0.973,0.684,0.945,cross
77,0.322,0.419,0.178,1.084,0.714,0.663,cross
78,0.424,0.218,0.863,0.672,1.227,0.654,leftuppercut
79,0.168,0.143,0.188,0.985,1.047,1.367,leftnopunch
80,0.491,0.632,0.207,1.266,1.057,0.751,jab
81,0.48,0.854,0.629,3.626,3.25,1.935,jab
82,0.277,0.15,0.16,0.386,0.267,0.484,leftnopunch
83,0.374,0.467,0.267,1.759,2.82,1.909,leftuppercut
84,3.837,2.914,2.102,5.44,17.932,18.865,leftuppercut
85,0.326,0.633,1.109,1.209,1.036,0.782,righthook
86,1.13,2.887,2.107,3.433,5.406,3.724,cross
87,0.139,0.076,0.053,0.17,0.315,0.205,rightuppercut
88,0.262,0.324,0.177,0.305,0.514,0.71,leftnopunch
89,0.668,0.319,0.29,0.94,0.657,1.207,leftnopunch
90,0.09,0.055,0.115,0.317,0.149,0.116,rightnopunch
91,0.166,0.541,0.321,1.668,2.149,1.599,leftnopunch
92,4.046,2.918,1.912,4.834,15.102,16.621,leftuppercut
93,1.384,1.565,1.008,2.775,5.246,3.644,jab
94,1.703,1.748,1.231,2.935,8.217,6.45,leftuppercut
95,0.253,0.419,0.182,0.869,0.651,0.426,jab
96,0.671,2.892,0.998,1.488,1.317,1.235,jab
97,0.59,1.004,1.462,6.307,4.92,2.457,jab
98,2.952,1.867,1.747,3.679,6.565,12.285,rightuppercut
99,0.5,0.295,0.522,0.935,0.354,1.513,rightnopunch
100,0.182,0.071,0.147,0.113,0.31,0.156,leftuppercut
101,1.151,1.293,0.75,2.002,4.861,1.657,lefthook
102,1.396,1.275,1.293,2.07,5.531,1.494,lefthook
103,1.282,2.065,1.94,3.77,8.71,2.13,cross
104,0.938,0.938,0.519,3.15,1.485,1.457,lefthook
105,1.176,4.732,1.986,6.283,4.857,5.014,cross
106,0.237,0.108,0.355,0.454,1.12,0.406,leftuppercut
107,0.251,0.32,0.219,0.462,0.239,0.246,rightnopunch
108,0.05,0.039,0.074,0.118,0.189,0.1,leftuppercut
109,0.211,0.41,0.35,0.827,0.699,0.393,rightnopunch
110,0.255,0.082,0.074,0.185,0.33,0.685,leftnopunch
111,0.796,1.057,0.786,5.58,5.258,3.57,cross
112,1.476,1.625,1.104,2.632,2.398,5.118,leftuppercut
113,0.283,0.278,0.258,0.526,0.619,0.633,rightnopunch
114,0.169,0.2,0.172,0.533,0.487,0.655,leftnopunch
115,0.06,0.05,0.038,0.087,0.07,0.04,rightuppercut
116,0.633,0.985,0.824,4.989,4.186,3.061,cross
117,0.08,0.101,0.048,0.105,0.224,0.276,jab
118,2.265,4.195,2.404,7.533,8.129,9.255,jab
119,0.892,1.366,1.52,5.155,3.661,3.722,leftuppercut
120,3.188,1.824,1.763,3.502,11.115,8.333,lefthook
121,1.207,1.94,1.16,5.13,8.85,3.754,lefthook
122,2.713,3.057,2.065,5.882,10.129,13.137,rightuppercut
123,0.499,0.757,0.832,2.638,2.124,2.718,rightnopunch
124,1.622,3.985,3.072,14.377,13.388,6.487,cross
125,0.384,0.34,0.543,0.465,0.586,0.532,rightnopunch
126,2.937,6.161,2.612,8.581,13.08,8.967,jab
127,0.877,1.381,0.888,2.84,4.14,3.355,leftuppercut
128,0.059,0.07,0.03,0.103,0.075,0.118,righthook
129,1.308,1.828,1.59,1.937,5.515,4.083,rightuppercut
130,0.537,0.433,0.17,1.101,1.417,1.374,leftnopunch
131,0.231,0.166,0.229,1.449,1.169,1.34,leftnopunch
132,4.26,2.601,2.415,4.14,11.58,13.109,leftuppercut
133,1.189,2.275,1.89,8.524,10.421,8.594,lefthook
134,0.822,1.3,2.455,11.953,8.065,3.419,righthook
135,0.123,0.666,0.224,1.579,2.104,2.548,jab
136,1.636,1.716,0.881,2.156,4.605,3.106,jab
137,0.147,0.113,0.148,0.139,0.274,0.123,lefthook
138,0.422,0.623,0.567,1.46,0.857,0.693,rightuppercut
139,0.981,0.842,1.135,3.655,2.882,2.738,cross
140,0.07,0.222,0.242,0.459,0.323,0.241,rightnopunch
141,1.123,0.977,1.385,2.637,5.58,1.451,righthook
142,1.012,1.755,1.013,5.138,6.848,6.496,lefthook
143,1.09,2.14,1.001,2.307,3.053,0.898,cross
144,0.213,0.393,0.355,1.165,0.959,0.402,cross
145,4.29,3.42,3.056,10.802,18.402,19.231,rightuppercut
146,1.701,4.633,2.854,7.453,11.066,6.299,jab
147,1.418,1.491,0.818,2.32,5.953,1.624,lefthook
148,0.092,0.358,0.184,0.433,0.361,0.242,rightnopunch
149,1.812,4.843,3.174,6.69,13.175,11.257,jab
150,2.001,2.962,3.135,14.867,14.026,6.673,cross
151,3.865,3.182,3.13,6.88,14.608,15.541,rightuppercut
152,2.57,1.094,2.399,5.834,7.37,7.111,righthook
153,0.232,0.114,0.143,0.298,0.814,0.115,lefthook
154,0.365,0.333,0.475,1.04,0.934,1.118,rightnopunch
155,0.733,0.884,0.87,2.41,1.242,0.523,leftuppercut
156,0.141,0.153,0.093,0.449,0.24,0.233,rightnopunch
157,0.544,0.159,0.581,0.559,0.967,0.772,rightnopunch
158,0.73,2.672,1.075,6.288,4.804,4.769,cross
159,0.46,0.176,0.201,0.395,0.378,0.332,leftnopunch
160,0.037,0.145,0.051,0.117,0.068,0.105,cross
161,0.702,1.196,1.101,4.202,6.314,2.394,lefthook
162,0.685,1.099,1.566,6.247,4.25,4.319,lefthook
163,0.591,0.231,0.248,0.778,0.238,0.704,leftnopunch
164,3.244,1.38,2.396,7.325,9.368,7.337,righthook
165,1.019,0.774,0.712,3.178,4.036,2.64,lefthook
166,0.57,0.2,0.453,0.734,0.359,0.699,rightnopunch
167,0.228,0.202,0.442,0.319,1.007,0.255,leftuppercut
168,1.395,2.411,1.312,2.283,5.019,2.076,jab
169,0.46,0.272,0.445,0.451,0.614,0.816,rightnopunch
170,2.295,3.568,2.606,2.943,6.838,3.038,jab
171,0.285,1.1,0.698,2.434,2.404,1.502,leftuppercut
172,3.299,1.799,1.84,5.111,14.103,12.602,righthook
173,0.25,0.397,0.162,0.801,0.516,0.299,jab
174,1.172,1.177,0.82,3.643,5.829,5.058,leftuppercut
175,0.89,4.479,2.734,8.314,7.294,5.122,jab
176,0.204,0.273,0.208,0.437,0.341,0.337,rightnopunch
177,0.413,0.064,0.114,0.087,0.259,0.227,rightuppercut
178,0.253,0.342,0.502,1.212,0.962,0.579,lefthook
179,0.303,0.542,0.343,1.856,1.128,1.718,jab
180,2.85,2.964,2.044,8.198,12.749,10.322,leftuppercut
181,1.644,3.993,3.223,12.537,12.073,8.468,cross
182,2.018,2.405,2.133,6.212,6.409,11.544,rightuppercut
183,0.053,0.094,0.071,0.207,0.063,0.179,cross
184,2.092,3.301,3.135,13.324,12.557,5.368,cross
185,1.463,1.604,1.619,2.833,2.642,1.542,leftuppercut
186,0.113,0.128,0.074,0.147,0.156,0.107,rightnopunch
187,0.584,0.9,1.384,1.478,1.71,0.801,lefthook
188,2.224,2.74,1.55,2.197,6.27,1.761,jab
189,0.306,0.322,0.227,0.393,0.411,0.253,rightnopunch
190,0.406,0.189,0.188,0.609,0.734,0.709,leftnopunch
191,0.041,0.072,0.021,0.096,0.077,0.111,jab
192,0.974,1.8,1.283,3.225,1.9,1.026,leftuppercut
193,0.458,0.931,0.976,1.816,0.908,1.092,lefthook
194,0.432,1.051,0.433,1.724,0.888,0.586,leftuppercut
195,0.303,0.724,0.955,1.38,1.425,1.098,rightuppercut
196,2.818,1.3,3.262,4.555,9.109,7.944,lefthook
197,0.485,0.235,0.202,0.206,1.674,1.044,lefthook
198,1.44,2.994,2.724,13.188,13.088,7.711,cross
199,0.401,0.405,0.271,0.256,1.292,0.713,lefthook
200,0.404,1.369,0.463,2.721,3.343,3.02,jab
201,0.374,2.279,1.694,3.881,4.617,3.079,cross
202,1.985,3.484,2.644,9.141,10.421,8.451,cross
203,0.118,0.058,0.026,0.12,0.191,0.138,rightuppercut
204,0.222,0.865,1.174,0.934,1.589,0.933,rightuppercut
205,0.874,1.072,0.559,2.689,2.746,1.894,lefthook
206,3.681,1.177,3.738,4.888,12.978,10.295,lefthook
207,0.739,1.382,1.371,6.632,3.104,1.837,cross
208,1.346,2.575,2.298,10.912,15.267,5.349,cross
209,1.025,2.662,2.12,1.336,5.958,1.908,cross
210,1.387,1.903,1.35,1.739,2.347,1.151,jab
211,2.178,4.202,2.737,3.322,7.679,3.72,jab
212,1.696,0.305,0.383,0.817,1.244,1.86,rightuppercut
213,0.495,0.26,0.509,0.584,0.684,0.519,rightnopunch
214,0.36,0.262,0.127,0.722,0.33,0.587,rightnopunch
215,1.769,3.032,1.487,5.152,8.92,8.103,jab
216,3.161,3.716,3.11,7.03,14.015,14.395,rightuppercut
217,2.593,2.826,1.67,5.097,6.019,9.953,leftuppercut
218,2.084,2.727,4.028,18.012,14.826,12.339,lefthook
219,1.568,1.363,2.16,9.517,5.689,7.442,cross
220,0.276,0.67,0.713,1.817,3.138,1.853,rightnopunch
221,0.582,0.984,1.575,3.676,4.682,3.152,righthook
222,4.154,3.079,2.099,5.838,13.559,14.854,leftuppercut
223,0.222,1.108,0.662,1.573,1.247,1.638,leftuppercut
224,1.131,1.971,1.784,7.638,5.866,3.612,righthook
225,1.605,0.961,1.04,3.566,6.388,4.662,leftuppercut
226,0.159,0.071,0.067,0.139,0.225,0.232,righthook
227,4.733,3.222,2.049,5.925,21.838,21.288,leftuppercut
228,1.695,1.663,1.53,3.83,1.419,2.427,righthook
229,0.592,1.649,1.171,1.582,2.291,0.793,cross
230,0.69,0.744,0.279,1.123,0.662,0.549,cross
231,1.836,1.757,1.937,3.914,1.453,1.983,righthook
232,0.21,1.481,0.314,2.359,2.349,2.526,jab
233,1.927,1.835,1.293,3.445,7.585,4.52,lefthook
234,0.62,1.393,1.197,6.31,5.506,3.696,cross
235,0.465,1.977,2.493,10.708,9.321,4.666,righthook
236,3.312,1.704,2.84,5.592,12.136,8.984,lefthook
237,0.265,0.157,0.119,0.343,0.57,0.833,leftnopunch
238,0.046,0.082,0.06,0.138,0.099,0.111,cross
239,3.255,2.343,3.667,6.749,11.693,11.41,righthook
240,1.716,2.997,3.824,8.45,8.969,12.346,lefthook
241,4.065,3.023,2.902,4.238,11.669,11.939,leftuppercut
242,0.459,1.619,1.51,1.912,2.838,2.577,rightuppercut
243,0.678,0.292,0.361,0.523,0.259,0.608,leftnopunch
244,0.369,0.107,0.062,0.192,0.391,0.614,righthook
245,1.073,2.154,2.466,3.288,8.569,2.379,cross
246,4.086,2.261,2.841,6.782,15.062,12.203,righthook
247,1.861,0.29,0.665,1.62,1.022,2.397,rightuppercut
248,0.652,2.09,0.511,2.09,2.269,2.609,jab
249,0.919,4.523,2.109,6.213,5.064,3.222,cross
250,0.176,0.14,0.072,0.095,0.147,0.106,lefthook
251,1.328,0.146,0.184,0.118,0.551,1.169,rightuppercut
252,0.015,0.024,0.019,0.079,0.049,0.118,jab
253,1.527,1.4,1.686,4.294,8.366,4.989,leftuppercut
254,0.347,0.742,0.638,1.108,0.852,0.473,jab
255,3.743,3.026,1.52,5.381,7.368,12.252,leftuppercut
256,2.51,1.099,2.709,4.733,8.216,10.366,lefthook
257,1.453,5.322,2.562,7.973,13.965,7.199,jab
258,1.612,1.941,1.75,4.351,4.119,4.548,leftuppercut
259,0.479,0.583,0.402,1.487,2.995,1.495,rightnopunch
260,3.023,1.979,3.064,6.906,15.854,12.43,lefthook
261,1.127,1.311,0.45,1.994,1.857,1.225,lefthook
262,0.266,0.671,0.611,3.372,2.898,2.252,cross
263,1.785,2.513,4.119,16.942,14.225,11.48,lefthook
264,0.993,1.464,1.149,2.311,1.139,0.64,leftuppercut
265,1.035,0.937,0.323,1.153,2.514,1.881,jab
266,0.685,3.688,1.791,6.304,6.302,4.602,jab
267,0.14,0.196,0.152,0.187,0.273,0.593,leftnopunch
268,0.554,0.197,0.33,0.451,0.329,0.436,leftnopunch
269,0.274,0.643,0.362,1.665,1.038,1.471,leftuppercut
270,2.865,3.046,1.067,4.628,9.92,7.541,leftuppercut
271,0.266,1.577,0.671,0.809,0.554,0.686,jab
272,2.139,2.926,3.775,20.285,17.214,13.735,righthook
273,1.666,1.476,2.331,2.485,8.374,3.879,lefthook
274,2.12,1.742,1.451,2.794,8.514,3.62,lefthook
275,0.994,0.779,1.002,1.579,1.772,1.189,righthook
276,3.462,2.304,1.871,5.954,9.887,10.842,righthook
277,0.176,0.103,0.371,0.371,0.997,0.278,leftuppercut
278,1.647,1.24,1.278,3.037,6.368,5.746,righthook
279,3.318,2.549,2.498,4.296,11.613,11.867,leftuppercut
280,1.448,3.186,2.859,3.753,10.404,3.359,cross
281,0.381,1.121,0.464,2.492,2.644,2.773,jab
282,0.109,0.135,0.209,0.419,0.517,0.288,rightnopunch
283,0.271,0.16,0.086,0.263,0.292,0.215,rightnopunch
284,2.242,3.196,4.081,22.086,16.676,11.316,lefthook
285,4.654,2.794,2.109,8.679,19.853,19.57,rightuppercut
286,0.465,0.358,0.595,0.666,0.535,0.9,rightnopunch
287,0.532,0.621,0.767,2.587,3.59,1.633,lefthook
288,0.378,0.774,0.697,1.637,1.039,0.79,lefthook
289,0.452,0.517,0.417,0.634,1.811,0.938,lefthook
290,0.543,0.26,0.449,0.706,2.382,1.465,lefthook
291,0.233,0.436,0.166,0.547,0.335,0.33,leftnopunch
292,2.044,1.393,1.681,3.73,7.28,6.36,leftuppercut
293,0.246,0.243,0.429,1.317,1.428,1.266,leftnopunch
294,4.403,3.025,3.074,4.182,14.05,14.356,leftuppercut
295,0.495,0.98,0.47,1.449,0.799,0.838,leftuppercut
296,0.097,0.147,0.09,0.137,0.32,0.438,jab
297,0.028,0.028,0.025,0.08,0.043,0.062,jab
298,3.323,3.047,2.44,6.337,12.27,14.434,rightuppercut
299,1.144,0.941,1.357,5.27,3.342,3.45,lefthook
300,1.052,0.652,1.057,0.997,1.76,1.386,leftuppercut
301,0.692,0.258,0.194,0.185,0.668,1.403,rightuppercut
302,0.589,0.411,0.413,2.384,3.386,1.791,cross
303,0.714,2.917,1.218,3.746,3.048,2.666,jab
304,0.364,0.444,0.31,0.98,0.779,0.48,cross
305,0.103,0.111,0.126,0.152,0.548,0.162,leftuppercut
306,0.346,0.403,0.706,1.188,1.83,1.125,lefthook
307,0.093,0.163,0.083,0.176,0.169,0.254,leftnopunch
308,0.357,0.581,0.558,3.328,3.602,1.181,cross
309,0.926,1.593,1.398,4.923,4.982,3.111,cross
310,0.703,2.762,1.837,7.804,5.333,3.706,jab
311,0.844,1.143,0.857,1.53,2.439,1.298,leftuppercut
312,0.39,0.264,0.298,0.366,0.583,0.715,leftnopunch
313,2.317,2.223,4.135,14.242,13.893,11.313,lefthook
314,0.3,0.371,0.503,0.433,0.767,0.632,rightnopunch
315,2.612,3.053,2.927,6.162,8.229,13.659,rightuppercut
316,2.202,1.601,2.185,4.228,9.273,8.002,lefthook
317,0.425,0.17,0.171,0.638,0.339,0.391,rightnopunch
318,0.572,0.253,0.299,0.446,0.471,0.751,leftnopunch
319,1.452,3.245,2.596,3.665,8.349,2.304,cross
320,0.213,0.193,0.206,0.622,0.858,0.649,leftnopunch
321,0.407,0.289,0.242,0.799,0.788,0.49,leftnopunch
322,1.62,1.342,2.863,6.154,4.617,10.451,lefthook
323,2.355,3.912,2.237,6.534,10.687,7.524,jab
324,0.568,1.226,0.377,1.953,2.791,0.721,cross
325,0.859,2.227,2.894,2.788,8.055,2.284,cross
326,1.488,2.968,2.333,6.909,8.649,5.093,jab
327,0.741,1.152,0.671,1.222,4.09,1.373,leftuppercut
328,0.503,0.386,0.385,0.858,0.531,1.115,rightnopunch
329,0.437,0.791,0.31,2.118,1.143,4.548,leftuppercut
330,3.915,1.873,1.655,6.9,17.901,12.863,rightuppercut
331,0.256,0.327,0.441,1.865,1.719,1.496,leftnopunch
332,1.545,3.629,2.09,2.533,7.571,2.732,jab
333,0.99,0.983,1.323,4.592,4.157,3.611,righthook
334,1.255,1.783,2.899,13.771,6.815,6.354,lefthook
335,1.435,1.058,2.901,12.32,6.098,10.082,lefthook
336,0.014,0.029,0.018,0.042,0.037,0.059,jab
337,0.354,0.506,0.491,2.098,2.683,1.942,rightnopunch
338,0.425,0.502,0.588,2.098,2.543,2.184,rightnopunch
339,1.074,0.357,1.059,1.219,1.874,1.557,leftuppercut
340,0.127,0.303,0.526,0.494,0.367,0.422,rightnopunch
341,0.282,0.205,0.437,0.167,0.704,0.173,lefthook
342,1.054,3.806,3.2,2.741,7.491,3.711,cross
343,1.153,1.592,0.914,3.859,2.4,2.978,jab
344,2.286,1.5,1.509,6.401,8.405,6.744,rightuppercut
345,1.172,1.426,0.997,3.877,3.91,3.447,cross
346,1.163,3.237,1.507,7.309,11.534,4.38,cross
347,1.718,4.457,2.297,6.727,10.489,7.049,jab
348,0.023,0.059,0.106,0.349,0.248,0.079,rightnopunch
349,0.069,0.086,0.066,0.19,0.146,0.247,righthook
350,0.212,0.069,0.119,0.147,0.457,0.147,leftuppercut
351,0.626,1.281,0.541,2.126,0.851,1.225,righthook
352,0.373,0.692,1.219,2.3,1.894,2.53,lefthook
353,0.932,3.583,2.531,5.902,5.943,4.708,cross
354,2.138,4.748,3.501,16.617,15.719,10.859,cross
355,1.792,0.728,0.472,1.331,1.188,2.097,rightuppercut
356,0.015,0.028,0.015,0.057,0.046,0.095,jab
357,0.635,0.772,0.896,2.683,2.268,2.455,lefthook
358,1.036,1.518,1.945,6.691,5.227,5.136,rightuppercut
359,0.027,0.042,0.016,0.068,0.074,0.08,jab
360,1.093,1.946,1.173,3.28,6.594,3.176,lefthook
361,1.744,2.625,4.26,16.568,16.5,12.224,lefthook
362,1.694,1.375,1.328,2.639,7.966,5.665,leftuppercut
363,1.766,1.923,1.462,4.121,8.012,5.853,lefthook
364,2.746,2.877,2.185,3.822,9.229,9.962,rightuppercut
365,0.346,0.252,0.377,0.181,1.232,0.308,lefthook
366,0.705,0.239,0.711,0.748,1.052,0.748,leftuppercut
367,3.785,3.447,2.752,11.376,10.512,14.972,rightuppercut
368,0.253,0.148,0.295,0.493,0.494,0.32,rightnopunch
369,0.931,2.657,1.465,4.093,6.05,6.193,jab
370,0.03,0.045,0.033,0.084,0.054,0.061,rightnopunch
371,0.398,0.399,1.006,1.973,2.635,2.185,rightnopunch
372,1.951,4.089,3.541,15.495,13.263,6.432,cross
373,2.267,3.479,3.537,15.634,17.218,10.054,cross
374,0.481,0.801,1.139,3.12,4.445,3.277,lefthook
375,0.141,0.095,0.071,0.138,0.281,0.221,rightuppercut
376,1.376,1.251,0.865,2.916,6.741,4.649,lefthook
377,1.444,3.175,2.224,2.676,6.783,2.717,jab
378,0.919,1.088,0.741,1.822,0.809,0.766,righthook
379,0.031,0.04,0.02,0.086,0.062,0.126,jab
380,2.63,1.561,2.531,4.74,12.764,10.912,lefthook
381,0.679,1.261,0.436,4.758,6.562,3.691,cross
382,0.593,0.835,1.558,2.154,4.374,1.91,righthook
383,0.642,1.101,0.377,5.291,4.63,2.809,cross
384,0.069,0.077,0.137,0.243,0.268,0.205,rightnopunch
385,2.256,1.685,2.099,6.681,7.729,5.44,righthook
386,3.739,2.694,3.3,4.797,11.631,13.52,rightuppercut
387,0.775,0.671,1.062,2.021,1.788,2.896,cross
388,0.54,0.644,0.797,2.703,2.963,2.148,rightnopunch
389,0.223,0.41,0.35,1.812,1.391,1.44,leftnopunch
390,0.478,0.526,0.26,0.865,0.768,1.942,leftnopunch
391,1.322,3.609,3.089,16.364,11.623,7.147,cross
392,0.919,1.279,1.406,4.992,3.969,2.828,cross
393,0.615,1.071,0.406,2.57,2.494,1.031,cross
394,0.793,2.546,1.802,7.039,3.623,2.645,rightuppercut
395,0.818,3.347,1.435,5.542,6.455,3.509,jab
396,0.118,0.047,0.064,0.092,0.247,0.081,leftuppercut
397,0.073,0.049,0.028,0.102,0.065,0.071,rightuppercut
398,0.027,0.051,0.06,0.143,0.095,0.14,leftnopunch
399,4.382,3.118,2.943,13.315,17.686,19.727,rightuppercut
400,0.936,1.501,1.117,5.564,3.225,3.086,lefthook
401,2.059,2.798,4.78,20.349,18.142,14.036,lefthook
402,1.179,4.996,2.063,5.188,5.327,3.595,cross
403,5.038,3.578,2.401,10.268,19.918,18.664,rightuppercut
404,0.869,2.084,1.13,3.039,2.46,2.303,cross
405,0.746,2.12,1.17,2.624,1.43,1.453,cross
406,0.907,1.575,0.974,2.129,2.713,0.923,cross
407,1.827,2.137,3.023,9.173,13.392,10.448,lefthook
408,1.35,2.243,2.729,12.993,13.742,7.333,cross
409,0.834,1.846,1.91,8.122,6.136,2.158,rightuppercut
410,0.399,0.589,0.736,3.199,2.827,2.73,righthook
411,0.036,0.055,0.048,0.095,0.067,0.123,jab
412,0.72,0.278,0.333,0.538,0.836,0.536,leftnopunch
413,2.084,1.065,1.683,4.917,9.743,9.786,righthook
414,1.118,1.824,2.667,10.522,5.6,3.229,righthook
415,1.2,1.477,0.599,4.095,3.701,4.489,cross
416,0.417,0.371,0.45,1.174,0.576,1.297,rightnopunch
417,1.817,2.819,2.394,2.583,7.342,2.785,jab
418,2.285,4.012,2.664,13.456,16.54,7.86,cross
419,1.189,2.555,3.038,4.021,10.235,2.459,cross
420,1.254,5.216,2.716,8.103,8.07,4.661,jab
421,0.753,0.357,0.358,0.841,1.446,2.127,righthook
422,0.859,4.27,2.022,5.782,5.338,4.394,cross
423,0.196,0.515,0.449,2.128,1.711,1.305,rightuppercut
424,0.37,0.317,0.266,0.878,0.773,0.834,rightnopunch
425,0.616,2.326,2.224,2.11,5.648,1.457,cross
426,0.115,0.06,0.255,0.224,0.563,0.149,leftuppercut
427,4.366,3.248,2.141,6.301,14.404,17.218,leftuppercut
428,0.5,0.628,1.02,2.449,3.418,2.232,rightnopunch
429,1.028,1.253,1.694,9.185,4.126,3.648,lefthook
430,1.9,0.689,0.766,1.118,2.774,4.65,rightuppercut
431,0.152,0.334,0.182,0.754,0.849,0.932,leftnopunch
432,0.398,0.194,0.429,0.202,1.438,0.413,leftuppercut
433,0.115,0.314,0.588,0.537,0.332,0.336,rightnopunch
434,0.462,1.032,1.344,1.284,2.309,1.601,rightuppercut
435,0.215,0.232,0.122,0.347,0.395,0.422,leftnopunch
436,0.107,0.156,0.108,0.215,0.276,0.393,leftnopunch
437,3.414,3.923,2.334,6.548,12.059,11.423,leftuppercut
438,0.741,1.27,0.687,3.774,4.998,2.075,leftuppercut
439,0.112,0.155,0.118,0.827,1.26,1.404,leftnopunch
440,0.992,4.536,2.548,7.121,6.265,4.118,jab
441,1.055,3.015,2.599,7.184,10.888,5.166,jab
442,3.123,1.779,1.696,4.981,13.393,9.886,lefthook
443,0.076,0.589,0.192,0.217,0.098,0.66,cross
444,1.341,1.086,0.954,3.881,7.307,3.349,lefthook
445,1.962,2.934,3.429,13.287,10.86,10.274,lefthook
446,0.932,1.667,1.323,3.026,2.514,2.129,jab
