,X (rad/s),Y (rad/s),Z (rad/s),X (m/s^2),Y (m/s^2),Z (m/s^2),Punch Type
4313,0.055,0.175,0.059,0.586,0.169,0.192,rightnopunch
4314,0.632,1.584,0.953,2.86,2.736,2.305,leftuppercut
4315,0.171,0.215,0.086,1.134,1.003,1.089,leftnopunch
4316,0.297,2.182,0.756,0.507,0.468,1.212,cross
4317,3.962,3.004,2.15,5.099,10.508,13.056,righthook
4318,2.621,0.973,2.374,5.888,8.755,7.561,righthook
4319,0.201,0.793,0.538,0.662,1.232,0.797,rightuppercut
4320,0.338,0.431,0.083,0.684,0.616,0.469,leftnopunch
4321,1.931,0.554,0.942,2.03,3.706,5.301,rightuppercut
4322,0.197,0.138,0.43,0.399,0.765,0.167,leftuppercut
4323,0.38,0.27,0.507,0.575,0.583,0.549,rightnopunch
4324,0.329,0.892,0.36,1.483,0.796,0.614,leftuppercut
4325,2.072,6.164,2.753,8.062,11.506,7.023,jab
4326,0.167,0.101,0.063,0.281,0.217,0.139,rightnopunch
4327,1.23,3.214,2.634,13.054,13.99,6.073,cross
4328,2.354,3.859,3.969,15.325,14.512,7.504,cross
4329,2.39,1.739,2.632,5.6,7.897,10.888,lefthook
4330,4.446,3.096,2.415,5.743,18.536,20.246,leftuppercut
4331,0.882,1.26,0.708,1.732,0.923,0.903,righthook
4332,0.021,0.059,0.023,0.09,0.048,0.136,jab
4333,0.03,0.038,0.02,0.179,0.069,0.092,cross
4334,0.211,0.082,0.185,0.255,0.503,0.261,leftuppercut
4335,0.812,0.272,0.53,0.536,0.489,0.545,leftnopunch
4336,0.177,0.361,0.105,0.641,0.543,0.562,leftnopunch
4337,0.803,3.27,1.836,6.613,5.036,4.307,jab
4338,0.946,1.038,0.87,2.185,1.646,1.948,leftuppercut
4339,1.187,2.392,1.729,2.549,5.863,2.671,jab
4340,2.164,1.108,2.373,3.873,6.337,8.091,lefthook
4341,0.062,0.092,0.045,0.077,0.133,0.109,lefthook
4342,1.421,4.181,2.73,9.042,11.337,5.868,jab
4343,0.862,1.49,1.003,4.726,5.287,3.61,jab
4344,0.446,0.761,1.03,2.176,2.919,2.622,rightnopunch
4345,0.326,0.325,0.254,0.537,0.531,0.287,rightnopunch
4346,1.008,0.304,0.264,0.427,1.217,1.536,rightuppercut
4347,0.17,0.222,0.17,0.636,0.637,0.603,leftnopunch
4348,3.437,3.086,1.537,6.308,8.344,8.256,righthook
4349,1.921,2.273,3.696,14.897,13.615,12.302,righthook
4350,0.272,0.414,0.481,1.418,2.211,1.913,rightnopunch
4351,0.679,1.036,0.552,1.471,0.784,0.974,leftuppercut
