X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),X (hPa),Punch Type
8.862,17.105,7.35,1.047,4.915,2.157,1012.9702,jab
11.83,20.152,7.165,1.988,6.826,3.275,1012.968521,jab
9.395,17.349,6.489,1.407,5.286,2.468,1012.966995,jab
9.224,16.54,5.538,1.363,4.197,2.165,1012.966995,jab
11.296,19.968,8.492,1.905,6.77,3.609,1012.967834,jab
10.743,16.114,7.055,1.399,5.91,2.922,1012.969971,jab
8.405,4.449,3.422,0.375,1.086,0.351,1012.97081,jab
8.442,5.218,2.486,0.364,0.43,0.394,1012.974167,jab
8.312,4.769,2.364,0.535,0.892,0.387,1012.974167,jab
8.669,4.618,2.387,0.285,0.534,0.232,1012.971725,jab
10.622,13.798,5.907,1.361,4.772,2.435,1012.971725,jab
10.836,18.905,7.383,1.508,6.67,3.121,1012.969131,jab
11.057,20.121,9.006,1.575,5.361,3.685,1012.968903,jab
8.186,5.633,2.781,0.284,0.864,0.308,1012.965393,jab
8.719,14.197,6.168,1.165,3.686,2.365,1012.965393,jab
9.103,15.18,6.801,1.286,4.78,2.096,1012.964935,jab
8.168,14.157,4.813,1.152,3.632,2.316,1012.967072,jab
9.086,4.528,2.388,0.392,0.489,0.72,1012.967072,jab
6.795,13.684,4.633,1.187,4.403,2.402,1012.972336,jab
11.342,18.433,5.099,1.295,5.311,2.03,1012.974243,jab
9.176,10.85,6.391,1.022,2.492,1.987,1012.974777,jab
8.753,4.768,2.035,0.371,0.589,0.368,1012.974777,jab
7.999,6.539,2.829,0.428,1.46,0.777,1012.970581,jab
12.008,23.144,9.474,2.059,7.325,4.221,1012.969208,jab
10.65,18.235,7.429,1.42,6.282,2.407,1012.965164,jab
8.971,20.235,6.859,1.436,6.329,3.087,1012.962189,jab
10.25,17.2,6.321,1.122,4.907,1.763,1012.958832,jab
12.378,21.734,8.721,1.897,6.45,3.59,1012.958832,jab
10.008,15.645,5.882,0.903,4.828,1.935,1012.960739,jab
7.159,16.075,5.794,1.12,4.967,1.998,1012.962875,jab
9.5,18.45,8.546,1.67,5.113,3.905,1012.965546,jab
7.341,13.314,7.398,1.128,4.409,2.562,1012.968979,jab
6.564,10.095,6.59,0.634,2.554,2.197,1012.968979,jab
8.725,1.95,3.613,0.264,0.422,0.124,1012.964096,jab
8.937,3.342,3.137,0.34,0.521,0.15,1012.959747,jab
8.361,4.472,2.712,0.477,0.406,0.428,1012.956772,jab
8.182,5.31,1.855,0.263,0.456,0.3,1012.954178,jab
9.512,19.58,7.454,1.777,6.296,3.298,1012.954178,jab
7.454,15.695,5.913,0.933,4.446,2.14,1012.958221,jab
