"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718919464456968E9,"2024-06-20 23:37:44.457 UTC+02:00"
"PAUSE",3.005960499166395E2,1.718919765046284E9,"2024-06-20 23:42:45.046 UTC+02:00"
