"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717922226137610E9,"2024-06-09 10:37:06.138 UTC+02:00"
"PAUSE",3.006077781250024E2,1.717922526745514E9,"2024-06-09 10:42:06.746 UTC+02:00"
