"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.719069214244338E9,"2024-06-22 17:13:34.244 UTC+02:00"
"PAUSE",3.005727592916810E2,1.719069514817083E9,"2024-06-22 17:18:34.817 UTC+02:00"
