"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717881605079623E9,"2024-06-08 23:20:05.080 UTC+02:00"
"PAUSE",1.205669129166672E2,1.717881725646600E9,"2024-06-08 23:22:05.647 UTC+02:00"
