"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718918602679723E9,"2024-06-20 23:23:22.680 UTC+02:00"
"PAUSE",3.006456842083717E2,1.718918903317290E9,"2024-06-20 23:28:23.317 UTC+02:00"
