"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.572578444E0,3.293700457E0,5.707651973E-1,-3.371462524E-1
1.592440319E0,2.924330950E0,-5.682352185E-1,-3.659075499E-1
1.612338027E0,2.447772264E0,-1.286734939E0,-2.422739416E-1
1.632235684E0,1.950508237E0,-9.237567782E-1,-3.142437339E-1
1.652129017E0,1.424416304E0,5.006595328E-2,-4.341490269E-1
1.671983236E0,8.711608648E-1,8.399362564E-1,-3.931375742E-1
1.691905788E0,3.488638103E-1,1.104846358E0,-1.975341439E-1
1.711791517E0,-4.826837033E-2,1.124020576E0,3.595161438E-2
1.731703861E0,-2.412087023E-1,1.209838390E0,1.446719617E-1
1.751578548E0,-3.109814525E-1,1.217827678E0,2.070546746E-1
1.771469642E0,-3.323526978E-1,9.438630342E-1,2.800897062E-1
1.791358913E0,-3.109814525E-1,4.732297659E-1,2.971334457E-1
1.811249381E0,-2.332194597E-1,5.858781561E-2,2.966008186E-1
1.831106829E0,-1.185737476E-1,-1.695717871E-1,2.528596818E-1
1.851032559E0,-4.181039706E-2,-2.404097766E-1,2.145113051E-1
1.870914902E0,-3.701684624E-2,-1.567889899E-1,1.868152469E-1
1.890793913E0,-7.276873291E-2,7.922670804E-3,1.079214215E-1
1.910706465E0,-1.100518852E-1,-2.243646979E-2,1.784265228E-2
1.930575006E0,-1.772281379E-1,-3.699687421E-1,-1.045259926E-2
1.950482663E0,-2.497305721E-1,-8.235582709E-1,-6.191667169E-3
1.970376413E0,-2.848832607E-1,-1.118827581E0,-1.205044892E-2
1.990255579E0,-2.971334457E-1,-1.164632559E0,-7.436657697E-2
2.010128340E0,-2.955355942E-1,-1.051118731E0,-1.415428370E-1
2.030040059E0,-2.997965217E-1,-9.099087119E-1,-1.681736708E-1
2.049932559E0,-3.029922247E-1,-7.883390188E-1,-1.623148769E-1
2.069806361E0,-2.896768153E-1,-6.519225836E-1,-1.356840581E-1
2.089691465E0,-2.673069239E-1,-5.378761292E-1,-1.244991124E-1
2.109627454E0,-2.444044054E-1,-5.538545847E-1,-1.260969639E-1
2.129499225E0,-2.337520719E-1,-6.572487950E-1,-1.133141592E-1
2.149381465E0,-2.299571782E-1,-6.092467308E-1,-8.448629081E-2
2.169274798E0,-2.113156021E-1,-3.689035177E-1,-5.093145370E-2
2.189161986E0,-1.756303012E-1,-1.375482082E-1,-3.122464381E-2
2.209055006E0,-1.479342431E-1,-7.523208112E-2,2.929390874E-3
2.228919277E0,-1.121823564E-1,-7.097115368E-2,7.909355313E-2
2.248839538E0,-5.892070010E-2,3.402087837E-2,1.921414137E-1
2.268711465E0,-6.125089712E-3,2.227668613E-1,3.083183765E-1
2.288602402E0,4.127778113E-2,3.650420308E-1,4.569849670E-1
2.308523913E0,1.292260885E-1,3.618463576E-1,7.619079351E-1
2.328418756E0,3.035248220E-1,2.035260797E-1,1.262367725E0
2.348283131E0,5.114449859E-1,1.145125479E-1,1.663694263E0
2.368202559E0,7.054505944E-1,2.994636297E-1,1.723946452E0
2.388066256E0,9.505873322E-1,5.047207475E-1,1.755370855E0
2.407944746E0,1.277347565E0,6.427350044E-1,1.882266760E0
2.427841777E0,1.603508592E0,8.980579972E-1,1.957432270E0
2.447743704E0,1.902040124E0,1.265297055E0,2.004302502E0
2.467647767E0,2.158361912E0,1.624546885E0,2.062424183E0
2.487578340E0,2.337986708E0,2.022145271E0,2.064022064E0
