"event","experiment time","system time","system time text"
"START",0.000000000E0,1718966934.448,"2024-06-21 12:48:54.448 UTC+02:00"
"PAUSE",3.000649917E2,1718967234.513,"2024-06-21 12:53:54.513 UTC+02:00"
