"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.719067863882783E9,"2024-06-22 16:51:03.883 UTC+02:00"
"PAUSE",3.005888729167054E2,1.719068164471764E9,"2024-06-22 16:56:04.472 UTC+02:00"
