"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717883337718856E9,"2024-06-08 23:48:57.719 UTC+02:00"
"PAUSE",3.006107347916677E2,1.717883638329726E9,"2024-06-08 23:53:58.330 UTC+02:00"
