"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.718902458940606E9,"2024-06-20 18:54:18.941 UTC+02:00"
"PAUSE",3.007305360833125E2,1.718902759663173E9,"2024-06-20 18:59:19.663 UTC+02:00"
