"event","experiment time","system time","system time text"
"START",0.000000000E0,1718965534.226,"2024-06-21 12:25:34.226 UTC+02:00"
"PAUSE",3.001014384E2,1718965834.327,"2024-06-21 12:30:34.327 UTC+02:00"
