"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.719069684078716E9,"2024-06-22 17:21:24.079 UTC+02:00"
"PAUSE",3.005901115000015E2,1.719069984668908E9,"2024-06-22 17:26:24.669 UTC+02:00"
