"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.572578444E0,-4.789632797E0,2.879994392E0,6.389915943E-1
1.592440319E0,-3.584138870E0,1.612401009E0,-1.135218143E-1
1.612338027E0,-1.106448531E0,1.471265793E0,1.944160461E-2
1.632235684E0,4.629476070E-1,2.463552475E0,-2.516950369E-1
1.652129017E0,-2.095198631E-1,3.404891968E0,1.188544035E-1
1.671983236E0,-1.630285501E0,3.213081360E0,-1.283383369E-2
1.691905788E0,-2.060835361E0,2.633127213E0,-2.421193123E-1
1.711791517E0,-2.114251852E0,1.819908142E0,-9.602051377E-1
1.731703861E0,-2.425912619E0,1.162857056E0,-9.030215740E-1
1.751578548E0,-3.104774952E0,8.268928528E-1,-6.750309467E-1
1.771469642E0,-3.608977318E0,7.044095993E-1,-5.310763121E-1
1.791358913E0,-3.347303867E0,3.303146362E-1,-2.361226082E-2
1.811249381E0,-2.798636198E0,1.221456528E-1,-3.190221786E-1
1.831106829E0,-2.142238855E0,4.710741043E-1,-7.323397398E-1
1.851032559E0,-1.621129513E0,1.061431885E0,-8.903541565E-1
1.870914902E0,-1.549051285E0,1.003987312E0,-8.428612947E-1
1.890793913E0,-1.849098682E0,5.421161652E-1,-7.522011995E-1
1.910706465E0,-2.242137432E0,5.449666977E-1,-2.861150503E-1
1.930575006E0,-2.214145422E0,7.806901932E-1,6.412029266E-2
1.950482663E0,-1.708932400E0,9.829130173E-1,-9.741973877E-2
1.970376413E0,-1.129995346E0,8.064317703E-1,-1.623685360E-1
1.990255579E0,-3.371782303E-1,3.376712799E-1,1.122250557E-1
2.010128340E0,1.851975918E-1,3.089666367E-1,4.621427059E-1
2.030040059E0,3.225195408E-1,4.247627258E-1,3.217356205E-1
2.049932559E0,5.561504364E-1,1.304988861E-1,2.497756481E-1
2.069806361E0,8.896508217E-1,-3.045396805E-1,3.911993504E-1
2.089691465E0,7.904796600E-1,-2.396087646E-1,4.901740551E-1
2.109627454E0,5.075504780E-1,-1.450176239E-1,4.434723854E-1
2.129499225E0,6.239471436E-1,-4.797687531E-1,4.112133980E-1
2.149381465E0,9.963812828E-1,-7.829999924E-1,4.706637859E-1
2.169274798E0,1.176433563E0,-8.407821655E-1,4.216685295E-1
2.189161986E0,1.017157078E0,-5.628366470E-1,5.470156670E-1
2.209055006E0,9.674298763E-1,-5.051298141E-1,6.689810753E-1
2.228919277E0,1.485957384E0,-7.054386139E-1,9.205989838E-1
2.248839538E0,2.189153671E0,-6.441688538E-1,1.203977823E0
2.268711465E0,2.550807238E0,-3.556613922E-1,1.216526508E0
2.288602402E0,2.760050297E0,-7.730512619E-1,1.227428913E0
2.308523913E0,3.542972803E0,-2.250166416E0,1.000786066E0
2.328418756E0,4.426306725E0,-2.974529266E0,1.156384945E-1
2.348283131E0,4.982266426E0,-3.536861897E0,-1.122653008E0
2.368202559E0,4.434615135E0,-4.049012661E0,-1.360620260E0
2.388066256E0,3.029495001E0,-3.491979122E0,-1.476729870E0
2.407944746E0,2.249392509E0,-3.144138336E0,-2.129960299E0
2.427841777E0,1.724581718E0,-2.670393467E0,-2.299428463E0
2.447743704E0,7.481050491E-1,-1.747621059E0,-2.138725281E0
2.467647767E0,4.382786751E-1,-7.140707970E-1,-3.065496922E0
2.487578340E0,2.182097435E-1,-1.681551933E-1,-3.632827759E0
2.507403913E0,-7.463164330E-1,2.164115906E-1,-2.518293619E0
2.527288548E0,-2.565776110E0,6.525340080E-1,-1.122168660E0
2.547195006E0,-3.879266500E0,1.200538635E0,-9.340448976E-1
2.567090892E0,-5.061509132E0,2.098448753E0,-7.704696655E-1
2.586956986E0,-5.888103485E0,2.781540871E0,9.140033722E-1
2.606844121E0,-6.273886681E0,3.876342773E0,4.605037689E0
2.626771309E0,-7.234787464E0,5.861887455E0,7.033254147E0
2.646656829E0,-7.246202469E0,7.263913631E0,7.501903057E0
2.666520684E0,-5.367924690E0,8.405060768E0,7.512291908E0
2.686437559E0,-2.712458134E0,1.034507751E1,7.615698814E0
2.706300840E0,3.863458633E-1,1.169894028E1,6.954173088E0
2.726205840E0,4.668556213E0,1.216636181E1,6.234701157E0
2.746096986E0,9.823879242E0,1.452416801E1,5.251154900E0
2.765989381E0,1.345973587E1,1.885024643E1,2.558578014E0
2.785860111E0,1.405919647E1,2.361976433E1,-2.082708120E0
2.805791361E0,1.326593018E1,2.673241615E1,-7.542463779E0
2.825679121E0,1.106457424E1,2.608576775E1,-1.590810108E1
2.845591673E0,8.463874817E0,1.804538918E1,-3.153693581E1
2.865427663E0,1.130807495E1,5.962147713E0,-4.689085007E1
2.885319694E0,1.669414139E1,-2.207925320E0,-5.117641068E1
2.905214277E0,1.711759567E1,-1.443336678E1,-5.776726913E1
2.925110475E0,1.179840183E1,-2.448201370E1,-5.403140640E1
2.945004277E0,5.537483215E0,-3.479480743E1,-4.202973175E1
2.964903913E0,1.839141846E0,-4.147172546E1,-3.195664978E1
2.984791725E0,3.758716583E-2,-5.114568710E1,-2.486697769E1
3.004678079E0,-4.617530346E0,-5.677584839E1,-1.458845329E1
3.024595423E0,-1.023660088E1,-5.017243576E1,-5.482470989E0
3.044485996E0,-1.359400558E1,-4.242731857E1,-2.197937012E0
3.064330788E0,-1.024522209E1,-3.840242767E1,3.216743469E-2
3.084222454E0,-2.962589979E0,-3.035642624E1,4.823311329E0
3.104134329E0,-6.577968597E-2,-2.268479919E1,6.732012749E0
3.124031725E0,-9.330954552E-1,-1.756579781E1,5.893506527E0
3.143910788E0,-2.022228479E0,-1.324038219E1,5.365468979E0
3.163796621E0,-2.714382887E0,-7.175154686E0,4.583740711E0
3.183694694E0,-1.833856583E0,-4.718866348E-1,2.635198593E0
3.203590579E0,-5.160481930E-1,3.356305599E0,-8.394460678E-1
3.223506309E0,-1.750230789E-1,6.747884274E0,-4.153206348E0
3.243352923E0,1.300332546E-1,8.815259933E0,-4.248608112E0
3.263242246E0,1.496408224E0,7.906793594E0,-1.060804605E0
3.283136569E0,1.522783041E0,6.125758171E0,-1.232932091E0
3.303023548E0,-4.755373001E-1,4.910929680E0,-3.656164169E0
3.322933704E0,-3.221775770E0,4.832027435E0,-3.737627745E0
3.342803131E0,-4.692781925E0,5.153199196E0,-1.985474110E0
3.362703652E0,-4.553452015E0,4.933345795E0,9.793109894E-1
3.382593236E0,-3.785294056E0,3.541055679E0,2.264171839E-1
3.402509225E0,-4.042407036E0,3.281696320E0,-1.969377518E0
3.422384642E0,-4.571306705E0,3.308382034E0,-1.729609013E0
3.442260111E0,-4.591753006E0,2.619668007E0,-8.891403079E-1
3.462176829E0,-3.842558861E0,1.824795723E0,-1.229387522E-1
3.482068704E0,-3.315413237E0,1.497804642E0,-4.597272873E-1
3.501925736E0,-3.309369087E0,9.348659515E-1,-8.273703456E-1
3.521842350E0,-3.573417187E0,-4.540538788E-2,1.079067826E0
3.541736621E0,-3.385992527E0,-3.377027512E-1,2.526281357E0
3.561616725E0,-2.298490524E0,2.860918045E-1,1.590523839E0
3.581523131E0,-1.387109637E0,5.914936066E-1,-1.232662201E-1
3.601416465E0,-1.067817807E0,4.994745255E-1,-7.177184820E-1
3.621295319E0,-9.149106741E-1,5.881481171E-1,-5.474478006E-1
3.641174225E0,-9.309312105E-1,1.003582001E0,-3.569474220E-1
3.661077767E0,-9.041446447E-1,1.168537140E0,-3.323247433E-1
3.680957819E0,-4.259495735E-1,6.874294281E-1,-3.371119499E-2
3.700838756E0,1.432633400E-2,2.335872650E-1,2.199375629E-1
3.720720736E0,1.628599167E-1,1.822471619E-1,3.878840208E-1
3.740609590E0,7.058644295E-2,1.582860947E-1,4.088367224E-1
3.760522402E0,-5.371308327E-2,-8.036804199E-2,3.870782852E-1
3.780426621E0,-1.999258995E-2,-1.600360870E-1,4.119724035E-1
3.800289381E0,8.304119110E-4,6.416225433E-2,1.196247339E-1
