"event","experiment time","system time","system time text"
"START",0.000000000E0,1718968205.864,"2024-06-21 13:10:05.864 UTC+02:00"
"PAUSE",3.000441703E2,1718968505.908,"2024-06-21 13:15:05.908 UTC+02:00"
