"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.891849999E-2,-8.027054369E-2,-1.574179679E-1,1.166454926E-1
3.876749999E-2,-1.276349723E-1,6.000113487E-2,2.317741327E-2
5.861650000E-2,-1.785834134E-1,1.833119392E-1,-1.010549292E-1
7.846550000E-2,-1.910167933E-1,2.222267687E-1,-2.321697474E-1
9.831549998E-2,-1.761045754E-1,1.744601429E-1,-3.325206935E-1
1.181645000E-1,-1.220287904E-1,1.252252311E-1,-3.728335798E-1
1.380135000E-1,-6.655443460E-2,1.423548609E-1,-3.423753083E-1
1.578625000E-1,-5.134783685E-2,1.434636414E-1,-2.500560582E-1
1.777115000E-1,-9.375625849E-2,6.457115710E-2,-1.291432381E-1
1.975615000E-1,-1.347548813E-1,-5.436499417E-2,4.495502450E-3
2.174105000E-1,-1.732549816E-1,-1.611797512E-1,8.761655539E-2
2.372595000E-1,-2.097439915E-1,-2.799462378E-1,1.898476034E-1
2.571085000E-1,-2.492766380E-1,-3.782281876E-1,2.532081306E-1
2.769575000E-1,-2.520780861E-1,-3.592185378E-1,2.369271368E-1
2.968075000E-1,-1.861905009E-1,-1.479621083E-1,9.951516241E-2
3.166565000E-1,-1.327207386E-1,-1.853066869E-2,1.309045777E-2
3.365055000E-1,-1.225165948E-1,-2.168882489E-1,7.244683802E-2
3.563545000E-1,-9.490151703E-2,-4.640296400E-1,1.244485229E-1
3.762035000E-1,2.168185264E-2,-3.789991736E-1,3.579763323E-2
3.960535000E-1,1.865375489E-1,3.729628399E-2,-5.921348557E-2
4.159025000E-1,3.699820936E-1,5.972841978E-1,-9.713828564E-2
4.357506250E-1,5.116418004E-1,1.065077543E0,-9.255934507E-2
4.555996250E-1,5.579192042E-1,1.366024137E0,-1.158121452E-1
4.754486250E-1,5.289359689E-1,1.399926305E0,-1.243233308E-1
4.952986250E-1,4.248013198E-1,9.973335862E-1,-1.483900696E-1
5.151476250E-1,2.922633290E-1,3.173983097E-1,-2.226666510E-1
5.349966250E-1,1.692031771E-1,-3.156237602E-1,-2.642985284E-1
5.548456250E-1,1.185062900E-1,-8.826670647E-1,-2.411977947E-1
5.746946250E-1,6.712780148E-2,-1.603513002E0,-2.682801485E-1
5.945446250E-1,-2.959233336E-2,-2.357946396E0,-3.363385499E-1
6.143936250E-1,-3.624442220E-2,-2.617377520E0,-4.012545943E-1
6.342426250E-1,1.434441209E-1,-2.071557283E0,-4.008478224E-1
6.540916250E-1,4.191866219E-1,-1.099832773E0,-3.908434510E-1
6.739406250E-1,5.568082333E-1,-5.258722901E-1,-2.741308808E-1
6.937906250E-1,5.511023998E-1,-6.839789748E-1,-1.478796452E-1
7.136396250E-1,4.227834642E-1,-1.142650723E0,-8.972766995E-2
7.334886250E-1,3.102301955E-1,-1.340400696E0,6.327620894E-2
7.533376250E-1,2.083192319E-1,-1.032156110E0,3.621353209E-1
7.731866250E-1,1.486886591E-1,-1.175514907E-1,5.018600821E-1
7.930366250E-1,1.919204593E-1,7.956823111E-1,3.496084511E-1
8.128856250E-1,1.967279017E-1,1.092662573E0,1.459840238E-1
8.327346250E-1,9.072322398E-2,9.066388011E-1,7.439933717E-2
8.525836250E-1,-5.761992186E-2,8.639534712E-1,-1.307534128E-1
8.724336250E-1,-1.566478759E-1,1.401538730E0,-3.721195161E-1
8.922826250E-1,-9.252959490E-2,2.825951815E0,-6.771093607E-1
9.121316250E-1,4.249337688E-2,5.174113750E0,-7.319480181E-1
9.319806250E-1,1.236759573E-1,8.371946335E0,-8.618224859E-1
9.518296250E-1,4.221643209E-1,1.152013588E1,-8.490196466E-1
9.716796250E-1,6.057706475E-1,1.249647331E1,-1.453591585E0
9.915286250E-1,1.038753986E0,1.304753113E1,6.130440906E-2
1.011377625E0,-5.833894480E-3,1.151088238E1,1.135863185E0
1.031226625E0,-2.461652279E0,1.010819530E1,4.151161194E0
1.051075625E0,-5.817265987E0,7.438689232E0,6.533987045E0
1.070925625E0,-7.936548233E0,4.781917572E0,8.749887466E0
1.090774625E0,-6.329751968E0,3.839178085E0,9.395348549E0
1.110623625E0,-1.601487756E0,4.708195686E0,3.591250896E0
1.130472625E0,6.118744850E0,-6.719224453E-1,-5.558349490E-1
1.150321625E0,4.732506275E0,-7.176784515E0,-6.682889462E0
1.170171625E0,2.124433279E0,-8.942778587E0,-6.407174110E0
1.190020625E0,1.061254740E0,-5.405365944E0,-5.499844074E0
1.209869625E0,1.150604844E0,-2.583405733E0,-4.160131454E0
1.229718625E0,1.553881526E0,-2.186822891E0,-3.014095306E0
1.249568625E0,1.322067857E0,-3.597888947E0,-2.105445623E0
1.269417625E0,5.277470350E-1,-6.217672825E0,-9.046155810E-1
1.289266625E0,-2.592188492E-2,-8.552682877E0,-3.046747446E-1
1.309115625E0,-2.452248707E-2,-9.769782066E0,-9.526868910E-2
1.328964625E0,1.758043468E-1,-9.928807259E0,5.642955750E-2
1.348814625E0,3.771276772E-1,-9.047513962E0,-7.634082437E-2
1.368663625E0,6.246314645E-1,-7.419520855E0,-4.220157266E-1
1.388512625E0,6.938582063E-1,-5.907250881E0,-5.949110389E-1
1.408361625E0,5.637701750E-1,-4.603682995E0,-7.129422426E-1
1.428210875E0,2.671995461E-1,-3.281528234E0,-4.322897792E-1
1.448060875E0,5.019103736E-2,-1.754854918E0,4.273826256E-2
1.467909875E0,6.227321923E-2,-1.066193059E-1,3.836509287E-1
1.487758875E0,2.233591974E-1,1.246092916E0,4.569736719E-1
1.507607875E0,3.899914622E-1,1.671090484E0,4.773496091E-1
