"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.719068271333403E9,"2024-06-22 16:57:51.333 UTC+02:00"
"PAUSE",3.006083917916985E2,1.719068571941904E9,"2024-06-22 17:02:51.942 UTC+02:00"
